https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAL
1652918400000,2022-05-19 00:00:00,BAL/USD,7.9663,8.2739,7.5541,8.023,25079.11008026474,3125.90179238
1652832000000,2022-05-18 00:00:00,BAL/USD,8.741,8.8659,7.8951,7.917,43423.289644570286,5484.81617337
1652745600000,2022-05-17 00:00:00,BAL/USD,8.5902,9.0365,8.4133,8.7271,27248.068356392952,3122.23629343
1652659200000,2022-05-16 00:00:00,BAL/USD,9.7222,9.764,8.5675,8.5675,36807.462588568655,4296.17304798
1652572800000,2022-05-15 00:00:00,BAL/USD,9.3498,9.8016,9.1284,9.8016,28073.484828044067,2864.17368879
1652486400000,2022-05-14 00:00:00,BAL/USD,8.9572,9.55,8.4322,9.3888,31284.65167309728,3332.12462435
1652400000000,2022-05-13 00:00:00,BAL/USD,8.548,9.668,8.5048,8.948,26211.732825236602,2929.33983295
1652313600000,2022-05-12 00:00:00,BAL/USD,9.951,10.435,8.1623,8.543,90572.98888702248,10602.01204343
1652227200000,2022-05-11 00:00:00,BAL/USD,11.262,11.55,9.2,9.941,76955.31755700041,7741.2048644
1652140800000,2022-05-10 00:00:00,BAL/USD,10.356,12.143,10.061,11.299,76531.67761979304,6773.31424195
1652054400000,2022-05-09 00:00:00,BAL/USD,12.431,12.643,10.347,10.347,83819.3691928724,8100.83784603
1651968000000,2022-05-08 00:00:00,BAL/USD,13.094,13.242,12.357,12.41,37977.0101369166,3060.19420926
1651881600000,2022-05-07 00:00:00,BAL/USD,13.614,13.831,12.582,13.043,64797.667213937166,4968.00331319
1651795200000,2022-05-06 00:00:00,BAL/USD,13.519,13.924,12.953,13.582,74527.80596157908,5487.24826694
1651708800000,2022-05-05 00:00:00,BAL/USD,14.562,14.734,12.863,13.485,74077.85168439959,5493.35199736
1651622400000,2022-05-04 00:00:00,BAL/USD,12.849,14.653,12.618,14.54,88052.88595086799,6055.9068742
1651536000000,2022-05-03 00:00:00,BAL/USD,12.912,13.223,12.559,12.841,44022.06660737848,3428.24286328
1651449600000,2022-05-02 00:00:00,BAL/USD,12.775,13.143,12.251,12.889,77340.85656661449,6000.53197041
1651363200000,2022-05-01 00:00:00,BAL/USD,12.126,12.88,11.902,12.807,40686.628924201505,3176.9055145
1651276800000,2022-04-30 00:00:00,BAL/USD,13.727,13.878,11.737,12.111,73596.71384706696,6076.84863736
1651190400000,2022-04-29 00:00:00,BAL/USD,14.114,14.406,13.303,13.691,70103.69105729127,5120.42152197
1651104000000,2022-04-28 00:00:00,BAL/USD,14.459,14.637,13.859,14.133,30493.570137854666,2157.61481199
1651017600000,2022-04-27 00:00:00,BAL/USD,14.514,15.079,14.149,14.47,72582.81940050141,5016.08979962
1650931200000,2022-04-26 00:00:00,BAL/USD,16.177,17.16,14.477,14.568,169545.6235437036,11638.22237395
1650844800000,2022-04-25 00:00:00,BAL/USD,14.59,16.338,13.751,16.147,253951.6787526414,15727.48366586
1650758400000,2022-04-24 00:00:00,BAL/USD,14.817,15.237,14.439,14.582,56005.584716922705,3840.73410485
1650672000000,2022-04-23 00:00:00,BAL/USD,14.92,15.138,14.61,14.841,40930.17996577248,2757.91253728
1650585600000,2022-04-22 00:00:00,BAL/USD,15.255,16.041,14.853,14.898,129618.49526016768,8700.39570816
1650499200000,2022-04-21 00:00:00,BAL/USD,15.855,16.395,15.154,15.277,184076.5064577966,12049.257475800001
1650412800000,2022-04-20 00:00:00,BAL/USD,16.022,16.34,15.316,15.842,147848.30453148624,9332.67924072
1650326400000,2022-04-19 00:00:00,BAL/USD,15.088,16.059,14.897,16.047,168254.6277641362,10485.11421226
1650240000000,2022-04-18 00:00:00,BAL/USD,14.41,15.088,13.891,15.072,121366.11432880703,8052.42265982
1650153600000,2022-04-17 00:00:00,BAL/USD,15.181,15.579,14.384,14.441,33828.59022229148,2342.53792828
1650067200000,2022-04-16 00:00:00,BAL/USD,15.368,15.577,15.018,15.203,25131.34115573438,1653.05144746
1649980800000,2022-04-15 00:00:00,BAL/USD,15.378,15.506,14.953,15.359,31750.518070420392,2067.22560521
