https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BNT
1657584000000,2022-07-12 00:00:00,BNT/USD,0.47138,0.507,0.43703,0.43703,447.24127726892567,1023.36516319
1657497600000,2022-07-11 00:00:00,BNT/USD,0.509,0.509,0.47063,0.50726,114.32750726323941,225.38246119000001
1657411200000,2022-07-10 00:00:00,BNT/USD,0.48915,0.50919,0.48523,0.509,933.83241833042,1834.64129338
1657324800000,2022-07-09 00:00:00,BNT/USD,0.49508,0.50919,0.49156,0.50919,2878.8939570105626,5653.86978733
1657238400000,2022-07-08 00:00:00,BNT/USD,0.50666,0.51239,0.48999,0.50607,2207.3791664685605,4361.8060080000005
1657152000000,2022-07-07 00:00:00,BNT/USD,0.4975,0.51736,0.49098,0.50514,1484.7750276830832,2939.33370488
1657065600000,2022-07-06 00:00:00,BNT/USD,0.49461,0.518,0.48062,0.49023,448.5584226146166,914.99586442
1656979200000,2022-07-05 00:00:00,BNT/USD,0.50067,0.52797,0.47406,0.4876,3506.610654898916,7191.57230291
1656892800000,2022-07-04 00:00:00,BNT/USD,0.4855,0.543,0.4687,0.54189,1515.1794804067301,2796.10157118
1656806400000,2022-07-03 00:00:00,BNT/USD,0.47725,0.54577,0.475,0.505,593.4411300732,1175.13095064
1656720000000,2022-07-02 00:00:00,BNT/USD,0.495,0.544,0.47156,0.49216,2014.2396751996223,4092.65213589
1656633600000,2022-07-01 00:00:00,BNT/USD,0.53,0.62,0.48725,0.495,1940.9321744109,3921.07509982
1656547200000,2022-06-30 00:00:00,BNT/USD,0.987,0.995,0.475,0.53,4092.9585911774,7722.56337958
1656460800000,2022-06-29 00:00:00,BNT/USD,0.50651,1.1109,0.49091,0.5288,1077.2084290772482,2037.08099296
1656374400000,2022-06-28 00:00:00,BNT/USD,0.51122,0.53236,0.49452,0.50283,726.82436117691,1445.467377
1656288000000,2022-06-27 00:00:00,BNT/USD,0.53178,0.57182,0.50723,0.51303,1139.8920501792031,2221.88185911
1656201600000,2022-06-26 00:00:00,BNT/USD,0.53884,0.6307,0.53317,0.53465,1766.677006825241,3304.36174474
1656115200000,2022-06-25 00:00:00,BNT/USD,0.53847,0.56802,0.5243,0.53995,2309.4642332943727,4277.18165255
1656028800000,2022-06-24 00:00:00,BNT/USD,0.52753,0.56241,0.45089,0.54821,3498.4179174054266,6381.52882546
1655942400000,2022-06-23 00:00:00,BNT/USD,0.48593,0.55802,0.48533,0.55802,1873.2782458216177,3357.00914989
1655856000000,2022-06-22 00:00:00,BNT/USD,0.51312,0.65084,0.48443,0.48533,659.2893870314109,1358.43526473
1655769600000,2022-06-21 00:00:00,BNT/USD,0.53533,0.55095,0.50902,0.51176,2495.1384107361896,4875.60264721
1655683200000,2022-06-20 00:00:00,BNT/USD,0.48467,0.52561,0.48467,0.51243,1851.0167189275196,3612.23331758
1655596800000,2022-06-19 00:00:00,BNT/USD,0.4861,0.51925,0.45737,0.51103,1194.3929378521505,2337.22665568
1655510400000,2022-06-18 00:00:00,BNT/USD,0.5537,0.5685,0.44864,0.48558,3540.5187795299094,7291.31920493
1655424000000,2022-06-17 00:00:00,BNT/USD,0.60131,0.6486,0.55107,0.56087,5100.119565641689,9093.22938585
1655337600000,2022-06-16 00:00:00,BNT/USD,0.73138,0.749,0.5878,0.5959,2961.007994397216,4968.96793824
1655251200000,2022-06-15 00:00:00,BNT/USD,0.82727,1.2666,0.65055,0.7594,6884.834435103556,9066.15016474
1655164800000,2022-06-14 00:00:00,BNT/USD,0.89902,0.9158,0.79641,0.81174,767.6459724415759,945.67961717
1655078400000,2022-06-13 00:00:00,BNT/USD,1.0034,1.0034,0.86012,0.9277,687.1576732761899,740.7110847
1654992000000,2022-06-12 00:00:00,BNT/USD,1.0912,1.0912,1.0597,1.0602,367.267128586848,346.41306224
1654905600000,2022-06-11 00:00:00,BNT/USD,1.2176,1.2214,1.1088,1.1088,365.75128702728,329.86227185
1654819200000,2022-06-10 00:00:00,BNT/USD,1.3206,1.3206,1.2034,1.2219,2953.464893305476,2417.10851404
1654732800000,2022-06-09 00:00:00,BNT/USD,1.2692,1.3456,1.2692,1.3157,7846.660187348152,5963.86728536
1654646400000,2022-06-08 00:00:00,BNT/USD,1.2984,1.3073,1.2525,1.2951,1056.801311529426,815.99977726
1654560000000,2022-06-07 00:00:00,BNT/USD,1.2373,1.3438,1.2068,1.2833,1304.746453853448,1016.71195656
1654473600000,2022-06-06 00:00:00,BNT/USD,1.3328,1.3328,1.1447,1.3,2848.223650454,2190.94126958
1654387200000,2022-06-05 00:00:00,BNT/USD,1.2332,1.2998,1.2196,1.2998,557.600990509542,428.98983729
1654300800000,2022-06-04 00:00:00,BNT/USD,1.2099,1.2297,1.1088,1.2297,1451.3845203870092,1180.27528697
1654214400000,2022-06-03 00:00:00,BNT/USD,1.2419,1.2622,1.1088,1.1537,125.3550404526,108.654798
1654128000000,2022-06-02 00:00:00,BNT/USD,1.2404,1.2643,1.2404,1.2595,836.7524413267801,664.35287124
1654041600000,2022-06-01 00:00:00,BNT/USD,1.335,1.3759,1.1858,1.2484,2738.659363157412,2193.73547193
1653955200000,2022-05-31 00:00:00,BNT/USD,1.3738,1.3752,1.0936,1.3458,558.108497369112,414.70389164
1653868800000,2022-05-30 00:00:00,BNT/USD,1.3053,1.3689,1.2407,1.3556,834.778077847704,615.7997033400001
1653782400000,2022-05-29 00:00:00,BNT/USD,1.1459,1.2716,1.1086,1.268,189.99904870408,149.84152106
1653696000000,2022-05-28 00:00:00,BNT/USD,1.1394,1.2586,1.0758,1.2426,1047.1048052947979,842.67246523
1653609600000,2022-05-27 00:00:00,BNT/USD,1.2506,1.2564,1.1189,1.2177,1685.4882879766142,1384.15725382
1653523200000,2022-05-26 00:00:00,BNT/USD,1.308,1.3469,1.2357,1.2847,616.7897248983389,480.10409037
1653436800000,2022-05-25 00:00:00,BNT/USD,1.3403,1.3918,1.2864,1.3469,203.471968051547,151.06687063
1653350400000,2022-05-24 00:00:00,BNT/USD,1.3812,1.3812,1.2702,1.3751,801.073804691292,582.55676292
1653264000000,2022-05-23 00:00:00,BNT/USD,1.416,1.443,1.3369,1.3369,1116.579351778641,835.20035289
1653177600000,2022-05-22 00:00:00,BNT/USD,1.3653,1.4165,1.309,1.3875,370.45250963925,266.99279974
1653091200000,2022-05-21 00:00:00,BNT/USD,1.3602,1.4452,1.2187,1.3486,417.340349115052,309.46192282
1653004800000,2022-05-20 00:00:00,BNT/USD,1.3997,1.4115,1.3374,1.359,293.78546686179,216.17767981
1652918400000,2022-05-19 00:00:00,BNT/USD,1.3367,1.6528,1.2655,1.3997,663.1307186078919,473.76632036
1652832000000,2022-05-18 00:00:00,BNT/USD,1.4732,1.4732,1.3478,1.3596,338.971245669804,249.31689149
1652745600000,2022-05-17 00:00:00,BNT/USD,1.4375,1.5016,1.3918,1.4524,2881.609468983496,1984.03295854
1652659200000,2022-05-16 00:00:00,BNT/USD,1.506,1.506,1.3926,1.3956,589.241849286732,422.21399347
1652572800000,2022-05-15 00:00:00,BNT/USD,1.43,1.5139,1.3964,1.5139,508.280700839427,335.74258593
1652486400000,2022-05-14 00:00:00,BNT/USD,1.414,1.8297,1.341,1.4258,799.8790541585481,561.0036850600001
