https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UNI
1652140800000,2022-05-10 00:00:00,UNI/USD,5.9621,6.6548,5.7458,6.0695,869190.3420807765,143206.25126959
1652054400000,2022-05-09 00:00:00,UNI/USD,7.1103,7.2201,5.9137,5.9476,1030436.7728685022,173252.53427744
1651968000000,2022-05-08 00:00:00,UNI/USD,7.1657,7.3401,6.877,7.0958,385760.35542435397,54364.60376904
1651881600000,2022-05-07 00:00:00,UNI/USD,7.598,7.6564,6.9931,7.1823,480284.27676343307,66870.53962706
1651795200000,2022-05-06 00:00:00,UNI/USD,7.3479,7.6882,6.8714,7.5971,465656.2335108277,61293.94552011
1651708800000,2022-05-05 00:00:00,UNI/USD,7.9435,8.1059,6.9621,7.3549,600176.1696548703,81602.22024159
1651622400000,2022-05-04 00:00:00,UNI/USD,6.8618,7.9717,6.83,7.9393,579330.9635911072,72970.03055573
1651536000000,2022-05-03 00:00:00,UNI/USD,6.9437,7.1287,6.6992,6.8531,182429.78164949897,26620.03788789
1651449600000,2022-05-02 00:00:00,UNI/USD,7.1126,7.1896,6.6511,6.9347,170501.2863794551,24586.68527542
1651363200000,2022-05-01 00:00:00,UNI/USD,6.7541,7.227,6.5782,7.109,306273.0629388172,43082.43957502
1651276800000,2022-04-30 00:00:00,UNI/USD,7.6307,7.7956,6.3507,6.771,903613.9339807301,133453.54216227
1651190400000,2022-04-29 00:00:00,UNI/USD,8.1725,8.2289,7.5173,7.6249,353985.18177890393,46424.89498602
1651104000000,2022-04-28 00:00:00,UNI/USD,8.2278,8.349,8.0376,8.1739,196567.75445819955,24048.22110109
1651017600000,2022-04-27 00:00:00,UNI/USD,8.0012,8.4011,7.989,8.229,101547.85628479517,12340.24259142
1650931200000,2022-04-26 00:00:00,UNI/USD,8.7482,8.813,7.9231,8.003,274353.5585996481,34281.33932271
1650844800000,2022-04-25 00:00:00,UNI/USD,8.7209,8.7753,8.1632,8.7362,284966.45246274647,32619.03945225
1650758400000,2022-04-24 00:00:00,UNI/USD,8.9189,9.1462,8.6973,8.7109,149780.33020015532,17194.58726425
1650672000000,2022-04-23 00:00:00,UNI/USD,8.9125,9.2194,8.852,8.9107,164043.33601399866,18409.70249408
1650585600000,2022-04-22 00:00:00,UNI/USD,8.8439,9.1259,8.7442,8.9079,234727.19860855784,26350.45281251
1650499200000,2022-04-21 00:00:00,UNI/USD,9.3174,9.7124,8.6404,8.8534,342946.2261604803,38736.10433963
1650412800000,2022-04-20 00:00:00,UNI/USD,9.5396,9.7012,9.11,9.322,158443.40229107832,16996.71768838
1650326400000,2022-04-19 00:00:00,UNI/USD,9.3883,9.6148,9.2117,9.5448,95952.8049749325,10052.88795731
1650240000000,2022-04-18 00:00:00,UNI/USD,9.234,9.4115,8.866,9.397,163512.12585867607,17400.46034465
1650153600000,2022-04-17 00:00:00,UNI/USD,9.6822,9.7205,9.192,9.2492,56903.761359747674,6152.29007479
1650067200000,2022-04-16 00:00:00,UNI/USD,9.7751,9.8268,9.5051,9.6654,67037.72552902567,6935.84595868
1649980800000,2022-04-15 00:00:00,UNI/USD,9.4881,9.9473,9.4567,9.766,144352.54967906326,14781.13349161
1649894400000,2022-04-14 00:00:00,UNI/USD,9.6463,9.7554,9.3413,9.475,134190.17233603424,14162.55117003
1649808000000,2022-04-13 00:00:00,UNI/USD,9.33,9.732,9.2711,9.6612,179201.71218251952,18548.59770862
1649721600000,2022-04-12 00:00:00,UNI/USD,8.987,9.5007,8.946,9.3283,166550.09389630213,17854.2814764
1649635200000,2022-04-11 00:00:00,UNI/USD,9.9018,9.9018,8.9167,8.978,366849.2893868661,40860.91438927
1649548800000,2022-04-10 00:00:00,UNI/USD,10.052,10.318,9.829,9.8901,161338.16739869324,16313.09768341
1649462400000,2022-04-09 00:00:00,UNI/USD,9.7584,10.094,9.7272,10.064,148896.40235018128,14794.95253877
1649376000000,2022-04-08 00:00:00,UNI/USD,10.427,10.546,9.629,9.735,236566.17215275273,24300.58265565
1649289600000,2022-04-07 00:00:00,UNI/USD,9.949,10.546,9.8367,10.452,409584.91159363126,39187.22843414
1649203200000,2022-04-06 00:00:00,UNI/USD,11.105,11.105,9.919,9.9611,611660.8813567681,61404.95340442
1649116800000,2022-04-05 00:00:00,UNI/USD,11.571,11.888,11.05,11.118,215753.65311083494,19405.79718572
1649030400000,2022-04-04 00:00:00,UNI/USD,11.867,12.159,11.056,11.553,294921.7677669152,25527.72161057
1648944000000,2022-04-03 00:00:00,UNI/USD,11.64,12.042,11.476,11.877,286598.4612349596,24130.54317041
1648857600000,2022-04-02 00:00:00,UNI/USD,11.569,12.016,11.453,11.656,505482.69196325814,43366.73747111
1648771200000,2022-04-01 00:00:00,UNI/USD,11.294,12.093,10.906,11.586,488381.09561307175,42152.69252659
1648684800000,2022-03-31 00:00:00,UNI/USD,11.719,12.479,11.079,11.286,734606.914793598,65090.104093
1648598400000,2022-03-30 00:00:00,UNI/USD,11.256,11.843,10.802,11.713,598866.9390618128,51128.39913445
1648512000000,2022-03-29 00:00:00,UNI/USD,10.902,11.709,10.899,11.247,804205.06486874,71503.9623783
1648425600000,2022-03-28 00:00:00,UNI/USD,11.412,11.57,10.77,10.917,711651.6418404566,65187.47291751
1648339200000,2022-03-27 00:00:00,UNI/USD,10.63,11.415,10.481,11.41,726565.138277568,63677.92622941
1648252800000,2022-03-26 00:00:00,UNI/USD,10.577,10.743,10.378,10.625,242390.236985225,22813.19877508
1648166400000,2022-03-25 00:00:00,UNI/USD,10.788,11.136,10.437,10.59,657405.7431582321,62077.97385819
