https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OXY
1651708800000,2022-05-05 00:00:00,OXY/USD,0.19425,0.19765,0.1808,0.18351,18874.799870672614,102854.33965818
1651622400000,2022-05-04 00:00:00,OXY/USD,0.1828,0.19497,0.18168,0.19479,18918.217734781996,97121.09315048
1651536000000,2022-05-03 00:00:00,OXY/USD,0.1903,0.19126,0.18157,0.18394,18089.241246682177,98343.16215441
1651449600000,2022-05-02 00:00:00,OXY/USD,0.18734,0.20292,0.18734,0.19122,9518.579524462475,49778.15879334
1651363200000,2022-05-01 00:00:00,OXY/USD,0.1881,0.2046,0.18433,0.18767,7898.569576549547,42087.545034099996
1651276800000,2022-04-30 00:00:00,OXY/USD,0.21805,0.21877,0.18784,0.18784,15871.828728400747,84496.53283859
1651190400000,2022-04-29 00:00:00,OXY/USD,0.2223,0.22399,0.20451,0.21775,12554.813004085398,57657.00575929
1651104000000,2022-04-28 00:00:00,OXY/USD,0.22297,0.22619,0.2206,0.22252,14937.164529215463,67127.28981312
1651017600000,2022-04-27 00:00:00,OXY/USD,0.21787,0.22797,0.21706,0.22312,32408.1158671525,145249.71256343
1650931200000,2022-04-26 00:00:00,OXY/USD,0.23512,0.2354,0.21747,0.21798,23263.438994503675,106722.81399442001
1650844800000,2022-04-25 00:00:00,OXY/USD,0.23603,0.23603,0.22217,0.23489,12254.382323230482,52170.72809924
1650758400000,2022-04-24 00:00:00,OXY/USD,0.23997,0.24204,0.23333,0.23552,6314.338403636736,26810.20042305
1650672000000,2022-04-23 00:00:00,OXY/USD,0.2474,0.25754,0.23141,0.23967,18798.11070803137,78433.3070807
1650585600000,2022-04-22 00:00:00,OXY/USD,0.24671,0.25186,0.24612,0.24731,6496.980899151891,26270.59520097
1650499200000,2022-04-21 00:00:00,OXY/USD,0.25173,0.26381,0.24525,0.24647,9380.165303896505,38058.04075099
1650412800000,2022-04-20 00:00:00,OXY/USD,0.25556,0.26138,0.24914,0.25158,6915.820662919616,27489.54870387
1650326400000,2022-04-19 00:00:00,OXY/USD,0.25267,0.26592,0.25078,0.25573,11540.041295614526,45125.88001257
1650240000000,2022-04-18 00:00:00,OXY/USD,0.24887,0.25468,0.24014,0.25275,18580.63235949899,73513.87679327
1650153600000,2022-04-17 00:00:00,OXY/USD,0.25239,0.25768,0.24882,0.24883,7958.781149662139,31984.81352595
1650067200000,2022-04-16 00:00:00,OXY/USD,0.25902,0.26267,0.24714,0.25246,5055.7862357702315,20026.08823485
1649980800000,2022-04-15 00:00:00,OXY/USD,0.26315,0.26483,0.2566,0.25924,11205.483103328374,43224.3600653
1649894400000,2022-04-14 00:00:00,OXY/USD,0.26915,0.27164,0.25907,0.26282,6089.464833203701,23169.71628188
1649808000000,2022-04-13 00:00:00,OXY/USD,0.2643,0.26899,0.26005,0.26778,14088.849117924745,52613.5227348
1649721600000,2022-04-12 00:00:00,OXY/USD,0.24776,0.27534,0.24562,0.26323,8421.696269702245,31993.679556670002
1649635200000,2022-04-11 00:00:00,OXY/USD,0.27066,0.27137,0.2455,0.24707,15633.57641618651,63275.89920341
1649548800000,2022-04-10 00:00:00,OXY/USD,0.28417,0.28659,0.27006,0.27006,6716.495897938567,24870.38398111
1649462400000,2022-04-09 00:00:00,OXY/USD,0.28485,0.29051,0.26591,0.28417,9533.413822441824,33548.27681473
1649376000000,2022-04-08 00:00:00,OXY/USD,0.32699,0.3368,0.27406,0.28485,21307.076633478253,74801.04136731
1649289600000,2022-04-07 00:00:00,OXY/USD,0.32726,0.33655,0.31869,0.32657,4454.252531589551,13639.50311293
1649203200000,2022-04-06 00:00:00,OXY/USD,0.36593,0.36593,0.32751,0.32751,11194.190983228795,34179.69217193
1649116800000,2022-04-05 00:00:00,OXY/USD,0.37384,0.37738,0.36441,0.36617,4438.846275999742,12122.36468307
1649030400000,2022-04-04 00:00:00,OXY/USD,0.38721,0.38995,0.36879,0.37402,2253.415083955054,6024.85183668
1648944000000,2022-04-03 00:00:00,OXY/USD,0.38095,0.39274,0.37513,0.38747,10903.444401408147,28140.09962425
1648857600000,2022-04-02 00:00:00,OXY/USD,0.39736,0.41366,0.37964,0.38011,13978.492660766606,36774.86164733
1648771200000,2022-04-01 00:00:00,OXY/USD,0.38796,0.39919,0.37505,0.39736,9555.207821442536,24046.72795813
1648684800000,2022-03-31 00:00:00,OXY/USD,0.41322,0.4148,0.38709,0.38746,12557.17700619925,32408.963521910002
1648598400000,2022-03-30 00:00:00,OXY/USD,0.40478,0.43087,0.39061,0.41541,12624.496212519069,30390.44850273
1648512000000,2022-03-29 00:00:00,OXY/USD,0.40806,0.42239,0.40201,0.40525,11923.94631653106,29423.67999144
1648425600000,2022-03-28 00:00:00,OXY/USD,0.39989,0.4788,0.39937,0.40746,78374.83275871699,192349.75889343
1648339200000,2022-03-27 00:00:00,OXY/USD,0.39188,0.40586,0.39156,0.39987,11014.686416262226,27545.66838288
1648252800000,2022-03-26 00:00:00,OXY/USD,0.42638,0.43335,0.3887,0.39152,5595.893696663936,14292.7403368
1648166400000,2022-03-25 00:00:00,OXY/USD,0.43907,0.46059,0.42104,0.42584,10498.39454479548,24653.3781345
1648080000000,2022-03-24 00:00:00,OXY/USD,0.37402,0.45841,0.37402,0.43981,19959.647722827078,45382.43269327
1647993600000,2022-03-23 00:00:00,OXY/USD,0.3818,0.38472,0.36144,0.37683,3007.013005808575,7979.76011944
1647907200000,2022-03-22 00:00:00,OXY/USD,0.37006,0.38681,0.36998,0.3824,4467.37697714792,11682.47117455
1647820800000,2022-03-21 00:00:00,OXY/USD,0.36763,0.38355,0.36254,0.36968,6474.62296324139,17514.12833597
1647734400000,2022-03-20 00:00:00,OXY/USD,0.39067,0.39211,0.36748,0.36807,5950.9623070966545,16168.01778764
1647648000000,2022-03-19 00:00:00,OXY/USD,0.39443,0.40759,0.38322,0.38994,13463.908092058182,34528.15328527
1647561600000,2022-03-18 00:00:00,OXY/USD,0.40754,0.42272,0.39074,0.39402,25784.488721464943,65439.54297108
1647475200000,2022-03-17 00:00:00,OXY/USD,0.32632,0.41116,0.32482,0.40769,37127.727201757996,91068.52559974
1647388800000,2022-03-16 00:00:00,OXY/USD,0.32457,0.32909,0.31817,0.32631,18823.99459980944,57687.458551100004
1647302400000,2022-03-15 00:00:00,OXY/USD,0.32749,0.32944,0.31676,0.32466,4104.292716947413,12641.81826202
1647216000000,2022-03-14 00:00:00,OXY/USD,0.30938,0.33862,0.30901,0.32749,9071.64297733447,27700.51903061
1647129600000,2022-03-13 00:00:00,OXY/USD,0.30361,0.31944,0.30361,0.31118,3836.282329311034,12328.1776763
1647043200000,2022-03-12 00:00:00,OXY/USD,0.31583,0.31878,0.28652,0.30294,3365.754902830089,11110.30204935
1646956800000,2022-03-11 00:00:00,OXY/USD,0.31356,0.32322,0.30752,0.31437,12182.676332182084,38752.6682959
1646870400000,2022-03-10 00:00:00,OXY/USD,0.32504,0.32718,0.31129,0.31528,9668.496643457753,30666.38113251
1646784000000,2022-03-09 00:00:00,OXY/USD,0.30083,0.35024,0.29995,0.32569,20036.43128738489,61519.94622919
1646697600000,2022-03-08 00:00:00,OXY/USD,0.29867,0.32212,0.29656,0.3007,18739.404029476278,62319.26847182
