https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume YFI
1657670400000,2022-07-13 00:00:00,YFI/USD,5444.4,5931.1,5323.9,5893.7,101394.80695595998,17.2039308
1657584000000,2022-07-12 00:00:00,YFI/USD,5483.6,5748.2,5422.7,5435.8,61398.52235867001,11.29521365
1657497600000,2022-07-11 00:00:00,YFI/USD,6032.1,6044.2,5469.2,5498.5,56975.955329055,10.36209063
1657411200000,2022-07-10 00:00:00,YFI/USD,6498.5,6500.5,5947.6,6046.4,72967.046184224,12.06784966
1657324800000,2022-07-09 00:00:00,YFI/USD,6309.4,6533.6,6289.6,6490.0,34123.5966786,5.25787314
1657238400000,2022-07-08 00:00:00,YFI/USD,6592.2,6864.0,6298.1,6298.1,83974.818618826,13.33335746
1657152000000,2022-07-07 00:00:00,YFI/USD,6322.8,6663.8,6178.2,6585.1,127021.623514697,19.28924747
1657065600000,2022-07-06 00:00:00,YFI/USD,6150.0,6426.2,6041.7,6312.9,112940.15029449899,17.89037531
1656979200000,2022-07-05 00:00:00,YFI/USD,6370.3,6464.4,5947.0,6146.4,222340.13279368798,36.17404217
1656892800000,2022-07-04 00:00:00,YFI/USD,5828.4,6495.9,5568.2,6362.4,145734.520535208,22.90558917
1656806400000,2022-07-03 00:00:00,YFI/USD,6012.0,6044.1,5531.9,5842.5,150171.176136075,25.70323939
1656720000000,2022-07-02 00:00:00,YFI/USD,5454.0,6060.4,5254.2,6020.0,402721.86886820005,66.89732041
1656633600000,2022-07-01 00:00:00,YFI/USD,5375.2,5636.6,5198.9,5455.1,129493.48526904301,23.73805893
1656547200000,2022-06-30 00:00:00,YFI/USD,5592.2,5696.2,5077.8,5423.5,149839.510351845,27.62782527
1656460800000,2022-06-29 00:00:00,YFI/USD,5657.1,5819.9,5423.8,5609.4,167050.26197647798,29.78041537
1656374400000,2022-06-28 00:00:00,YFI/USD,6206.2,6276.2,5570.1,5639.8,127229.57930559601,22.55923602
1656288000000,2022-06-27 00:00:00,YFI/USD,6460.0,6861.2,6108.6,6203.3,134029.233464291,21.60611827
1656201600000,2022-06-26 00:00:00,YFI/USD,7064.4,7134.6,6428.1,6439.5,185780.49675003,28.85014314
1656115200000,2022-06-25 00:00:00,YFI/USD,7105.8,7377.3,6565.5,7069.0,506475.22700226,71.64736554
1656028800000,2022-06-24 00:00:00,YFI/USD,5429.7,8000.0,5351.4,7100.2,1028096.7246513519,144.79827676
1655942400000,2022-06-23 00:00:00,YFI/USD,4966.3,5454.5,4923.8,5432.7,97265.34678315,17.9036845
1655856000000,2022-06-22 00:00:00,YFI/USD,5114.7,5323.4,4937.3,4959.6,91963.82470197602,18.54258906
1655769600000,2022-06-21 00:00:00,YFI/USD,4918.8,5571.1,4837.2,5185.2,209550.26045406,40.41314905
1655683200000,2022-06-20 00:00:00,YFI/USD,4749.0,5023.5,4537.7,4929.9,85944.17424509999,17.433249
1655596800000,2022-06-19 00:00:00,YFI/USD,4380.1,4831.9,4136.2,4738.2,71975.231791974,15.19041657
1655510400000,2022-06-18 00:00:00,YFI/USD,4783.8,4856.8,4032.3,4386.1,35271.333034125004,8.04161625
1655424000000,2022-06-17 00:00:00,YFI/USD,4594.2,4917.9,4573.9,4783.8,34356.22188705,7.18178475
1655337600000,2022-06-16 00:00:00,YFI/USD,5368.9,5475.6,4565.8,4591.3,93198.35504268101,20.29890337
1655251200000,2022-06-15 00:00:00,YFI/USD,4882.6,5412.0,4295.2,5344.7,316433.841206634,59.20516422
1655164800000,2022-06-14 00:00:00,YFI/USD,4919.9,5099.6,4509.0,4896.4,220821.11819105598,45.09866804
1655078400000,2022-06-13 00:00:00,YFI/USD,6039.5,6075.7,4736.4,4940.9,562385.853007062,113.82255318
1654992000000,2022-06-12 00:00:00,YFI/USD,6366.0,6468.9,5987.7,6002.6,107849.20989470801,17.96708258
1654905600000,2022-06-11 00:00:00,YFI/USD,7061.8,7143.4,6272.3,6374.5,323005.545020895,50.67151071
1654819200000,2022-06-10 00:00:00,YFI/USD,7483.4,7622.7,7007.5,7062.9,86387.361719061,12.23114609
1654732800000,2022-06-09 00:00:00,YFI/USD,7441.1,7750.0,7363.1,7478.7,29642.492829938998,3.96358897
1654646400000,2022-06-08 00:00:00,YFI/USD,7613.9,7784.3,7408.0,7437.4,65308.929993058,8.78115067
1654560000000,2022-06-07 00:00:00,YFI/USD,7453.2,7818.9,7138.7,7597.3,172955.041836919,22.76533003
1654473600000,2022-06-06 00:00:00,YFI/USD,7422.8,7812.3,7359.3,7471.9,130227.66492651298,17.42898927
1654387200000,2022-06-05 00:00:00,YFI/USD,7573.3,7621.3,7297.9,7453.0,64245.89082443,8.62013831
1654300800000,2022-06-04 00:00:00,YFI/USD,7433.2,7586.1,7291.0,7570.2,96943.304575524,12.80591062
1654214400000,2022-06-03 00:00:00,YFI/USD,7579.4,7601.5,7150.0,7442.1,158637.118916754,21.31617674
1654128000000,2022-06-02 00:00:00,YFI/USD,7516.6,7615.4,7266.9,7588.0,93366.76066452,12.30452829
