https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DGB
1654819200000,2022-06-10 00:00:00,DGB/USD,0.012036,0.012389,0.011202,0.011333,3363.986970615404,296831.11008695
1654732800000,2022-06-09 00:00:00,DGB/USD,0.011974,0.012948,0.011697,0.012143,3618.7324975684724,298009.75850848
1654646400000,2022-06-08 00:00:00,DGB/USD,0.012738,0.012826,0.011634,0.012085,3187.2408513193855,263735.27938100003
1654560000000,2022-06-07 00:00:00,DGB/USD,0.01158,0.013529,0.010773,0.012404,4114.004280044597,331667.54918128
1654473600000,2022-06-06 00:00:00,DGB/USD,0.011113,0.012248,0.011113,0.011597,2488.3617979988203,214569.44019995
1654387200000,2022-06-05 00:00:00,DGB/USD,0.011043,0.011554,0.010791,0.011109,2088.644142254034,188013.69540499
1654300800000,2022-06-04 00:00:00,DGB/USD,0.010885,0.011322,0.010562,0.011078,3596.239519249121,324628.95100642
1654214400000,2022-06-03 00:00:00,DGB/USD,0.011299,0.01157,0.010538,0.010885,2724.9841641284097,250343.05596035
1654128000000,2022-06-02 00:00:00,DGB/USD,0.011291,0.011696,0.011017,0.0113,1979.4988333818696,175176.8879099
1654041600000,2022-06-01 00:00:00,DGB/USD,0.012641,0.01282,0.011162,0.011302,13088.481096495001,1158067.69567289
1653955200000,2022-05-31 00:00:00,DGB/USD,0.012657,0.013091,0.01202,0.012649,5028.641489805518,397552.49346237
1653868800000,2022-05-30 00:00:00,DGB/USD,0.012005,0.012848,0.0118,0.012807,2719.6624972182653,212357.49958759
1653782400000,2022-05-29 00:00:00,DGB/USD,0.011168,0.012169,0.010694,0.012005,2705.1492686644037,225335.21604868
1653696000000,2022-05-28 00:00:00,DGB/USD,0.010981,0.011388,0.010693,0.011193,1257.2271038111285,112322.62162165
1653609600000,2022-05-27 00:00:00,DGB/USD,0.01123,0.011705,0.010541,0.010723,6635.117701426812,618774.38230223
1653523200000,2022-05-26 00:00:00,DGB/USD,0.012152,0.012226,0.010977,0.01123,2542.0836429069464,226365.4178902
1653436800000,2022-05-25 00:00:00,DGB/USD,0.012225,0.012682,0.011814,0.011945,1543.314247752818,129201.69508186
1653350400000,2022-05-24 00:00:00,DGB/USD,0.012196,0.012768,0.01158,0.012417,6795.281696819063,547256.31769502
1653264000000,2022-05-23 00:00:00,DGB/USD,0.012887,0.01351,0.012063,0.012335,6472.903537120639,524759.10313098
1653177600000,2022-05-22 00:00:00,DGB/USD,0.012391,0.013239,0.012018,0.013079,6469.550098911827,494651.73934642
1653091200000,2022-05-21 00:00:00,DGB/USD,0.011487,0.012735,0.011366,0.012441,1593.232927324051,128063.09198007
1653004800000,2022-05-20 00:00:00,DGB/USD,0.01256,0.014062,0.011209,0.011487,2775.8830293895967,241654.30742488
1652918400000,2022-05-19 00:00:00,DGB/USD,0.011387,0.015411,0.010941,0.012563,4890.7209048183695,389295.62244833
1652832000000,2022-05-18 00:00:00,DGB/USD,0.013293,0.016878,0.011056,0.011232,13120.035068085981,1168094.29024982
1652745600000,2022-05-17 00:00:00,DGB/USD,0.011939,0.016878,0.011822,0.013208,36067.05495800596,2730697.68004285
1652659200000,2022-05-16 00:00:00,DGB/USD,0.013651,0.013652,0.011753,0.011753,6277.027599306705,534078.7543016
1652572800000,2022-05-15 00:00:00,DGB/USD,0.012726,0.014025,0.012319,0.013651,5110.828801661989,374392.26442473
1652486400000,2022-05-14 00:00:00,DGB/USD,0.012587,0.018001,0.011194,0.012764,49549.7170516294,3881989.74080456
1652400000000,2022-05-13 00:00:00,DGB/USD,0.011541,0.014752,0.011379,0.012772,21742.588694007693,1702363.66223048
1652313600000,2022-05-12 00:00:00,DGB/USD,0.011042,0.013491,0.0090225,0.011569,34108.08440519688,2948230.99707813
1652227200000,2022-05-11 00:00:00,DGB/USD,0.014868,0.01895,0.01038,0.010875,47066.576683956664,4327961.07438682
1652140800000,2022-05-10 00:00:00,DGB/USD,0.013973,0.016426,0.013212,0.014746,10057.364029088529,682040.14845304
1652054400000,2022-05-09 00:00:00,DGB/USD,0.017177,0.017541,0.013887,0.013887,15016.0916219622,1081305.65435027
1651968000000,2022-05-08 00:00:00,DGB/USD,0.017461,0.017774,0.016765,0.017169,1043.377889315546,60771.03438264
