https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAX
1659571200000,2022-08-04 00:00:00,WAX/USD,0.11296,0.11297,0.11296,0.11297,383.24357354712,3392.4366959999998
1659484800000,2022-08-03 00:00:00,WAX/USD,0.11193,0.11663,0.11193,0.11663,138.881227935034,1190.7847718
1659398400000,2022-08-02 00:00:00,WAX/USD,0.11711,0.14333,0.1155,0.11949,27363.12716799058,228999.3067871
1659312000000,2022-08-01 00:00:00,WAX/USD,0.10921,0.12386,0.10921,0.1155,17820.454914672795,154289.65294089
1659225600000,2022-07-31 00:00:00,WAX/USD,0.1092,0.11075,0.1092,0.11075,41.8635,378.0
1659139200000,2022-07-30 00:00:00,WAX/USD,0.10746,0.11053,0.1062,0.10684,1122.96620558896,10510.728244
1659052800000,2022-07-29 00:00:00,WAX/USD,0.10472,0.10472,0.10472,0.10472,6.0500751959032,57.77382731
1658966400000,2022-07-28 00:00:00,WAX/USD,0.1,0.10347,0.1,0.10347,147.901063047,1429.4101
1658880000000,2022-07-27 00:00:00,WAX/USD,0.09483,0.0976,0.094263,0.0976,115.25884422560001,1180.930781
1658793600000,2022-07-26 00:00:00,WAX/USD,0.092398,0.092398,0.09148,0.09148,103.76393440000001,1134.28
1658707200000,2022-07-25 00:00:00,WAX/USD,0.096874,0.096874,0.096874,0.096874,14.5311,150.0
1658448000000,2022-07-22 00:00:00,WAX/USD,0.10454,0.10454,0.10305,0.10326,128.55839982318,1244.997093
1658275200000,2022-07-20 00:00:00,WAX/USD,0.10704,0.10704,0.10704,0.10704,121.7747485445184,1137.65646996
1658188800000,2022-07-19 00:00:00,WAX/USD,0.10243,0.10243,0.10243,0.10243,125.45442138672999,1224.782011
1658102400000,2022-07-18 00:00:00,WAX/USD,0.098499,0.1015,0.098499,0.1015,28.808913385455,283.83165897
1658016000000,2022-07-17 00:00:00,WAX/USD,0.097581,0.097581,0.097581,0.097581,48.7905,500.0
1657929600000,2022-07-16 00:00:00,WAX/USD,0.096551,0.099091,0.096551,0.099091,78.386972537315,791.060465
1657843200000,2022-07-15 00:00:00,WAX/USD,0.095782,0.095972,0.095782,0.095972,143.98116549390636,1500.24137763
1657756800000,2022-07-14 00:00:00,WAX/USD,0.089849,0.089849,0.08967,0.08967,806.9080488,8998.64
1657670400000,2022-07-13 00:00:00,WAX/USD,0.088424,0.091663,0.088424,0.091663,926.6548341629265,10109.36620188
1657584000000,2022-07-12 00:00:00,WAX/USD,0.09586,0.09586,0.093325,0.093325,460.03226871595007,4929.357286
1657497600000,2022-07-11 00:00:00,WAX/USD,0.10536,0.10987,0.09863,0.09863,10911.25488250409,110628.15454227
1657411200000,2022-07-10 00:00:00,WAX/USD,0.10068,0.10536,0.10048,0.10243,132.4067459132561,1292.65592027
1657324800000,2022-07-09 00:00:00,WAX/USD,0.098696,0.098696,0.098302,0.098302,690.1776276000452,7020.9927326
1657238400000,2022-07-08 00:00:00,WAX/USD,0.097131,0.097131,0.097131,0.097131,102.5137068883551,1055.4169821
1657065600000,2022-07-06 00:00:00,WAX/USD,0.0937,0.094641,0.0937,0.094641,1299.464953680765,13730.465165
1656979200000,2022-07-05 00:00:00,WAX/USD,0.09593,0.097202,0.091603,0.095,1999.96848128595,21052.29980301
1656892800000,2022-07-04 00:00:00,WAX/USD,0.091911,0.09593,0.091911,0.09593,1938.7562626041215,20210.11427712
1656806400000,2022-07-03 00:00:00,WAX/USD,0.092208,0.092208,0.090405,0.091911,1253.8822952071755,13642.35287623
1656720000000,2022-07-02 00:00:00,WAX/USD,0.091002,0.09313,0.089517,0.09313,1748.6693210980604,18776.64899708
1656633600000,2022-07-01 00:00:00,WAX/USD,0.092519,0.093745,0.089223,0.091002,3834.604061392727,42137.58006849
1656547200000,2022-06-30 00:00:00,WAX/USD,0.09624,0.09624,0.086045,0.092519,6469.343421569888,69924.48493358
1656460800000,2022-06-29 00:00:00,WAX/USD,0.10108,0.10242,0.095607,0.09624,2060.4145494564,21409.128735
1656374400000,2022-06-28 00:00:00,WAX/USD,0.10242,0.1069,0.10008,0.10008,3145.705676213652,31431.91123315
1656288000000,2022-06-27 00:00:00,WAX/USD,0.0998,0.11456,0.0998,0.10242,17344.438089404597,169346.20278661
1656201600000,2022-06-26 00:00:00,WAX/USD,0.10411,0.10411,0.09975,0.09975,2582.0081198995126,25884.79318195
1656115200000,2022-06-25 00:00:00,WAX/USD,0.0998,0.10515,0.097518,0.10515,3798.0033666467307,36119.86083354
1656028800000,2022-06-24 00:00:00,WAX/USD,0.095301,0.0998,0.094047,0.0998,2507.697806499988,25127.23253006
1655942400000,2022-06-23 00:00:00,WAX/USD,0.088641,0.095301,0.088641,0.095301,3095.79041189584,32484.34341608
1655856000000,2022-06-22 00:00:00,WAX/USD,0.081097,0.091009,0.081097,0.087764,5230.151833324356,59593.36212256
1655683200000,2022-06-20 00:00:00,WAX/USD,0.080967,0.10216,0.080967,0.080967,224.000887516301,2766.5701769400002
1655596800000,2022-06-19 00:00:00,WAX/USD,0.10278,0.1072,0.080492,0.080967,166.85697658542,2060.80226
1655510400000,2022-06-18 00:00:00,WAX/USD,0.077053,0.10665,0.075847,0.10665,319.5234,2996.0
1655424000000,2022-06-17 00:00:00,WAX/USD,0.082,0.082,0.082,0.082,0.00474001,0.057805
1655337600000,2022-06-16 00:00:00,WAX/USD,0.10583,0.11059,0.073383,0.082,2768.7680787221198,33765.46437466
1655251200000,2022-06-15 00:00:00,WAX/USD,0.10507,0.1106,0.078612,0.087569,112.54931624527542,1285.26437718
1655164800000,2022-06-14 00:00:00,WAX/USD,0.081159,0.081159,0.075,0.075,285.68489999999997,3809.132
1655078400000,2022-06-13 00:00:00,WAX/USD,0.09111,0.11063,0.078,0.10508,916.9224000897441,8725.9459468
