https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZCN
1656720000000,2022-07-02 00:00:00,ZCN/USD,0.17968,0.18105,0.17206,0.17959,1103.2270698417872,6143.03173808
1656633600000,2022-07-01 00:00:00,ZCN/USD,0.18676,0.19386,0.16063,0.17997,2348.525359023339,13049.53802869
1656547200000,2022-06-30 00:00:00,ZCN/USD,0.19081,0.19183,0.16907,0.18716,3816.2102660091164,20390.09545848
1656460800000,2022-06-29 00:00:00,ZCN/USD,0.17033,0.195,0.16362,0.19078,18756.101203701062,98312.722527
1656374400000,2022-06-28 00:00:00,ZCN/USD,0.17435,0.18335,0.1648,0.16855,3316.9699663207534,19679.44210217
1656288000000,2022-06-27 00:00:00,ZCN/USD,0.18614,0.19044,0.17001,0.17463,2716.85723110503,15557.792081
1656201600000,2022-06-26 00:00:00,ZCN/USD,0.16959,0.19284,0.16323,0.18071,1313.4679940320384,7268.37471104
1656115200000,2022-06-25 00:00:00,ZCN/USD,0.16037,0.17137,0.15217,0.16322,1533.1629355943705,9393.22960173
1656028800000,2022-06-24 00:00:00,ZCN/USD,0.14591,0.16289,0.13729,0.16061,3828.7947574666987,23839.08073885
1655942400000,2022-06-23 00:00:00,ZCN/USD,0.12718,0.14679,0.12347,0.14592,3349.6314389296126,22955.25931284
1655856000000,2022-06-22 00:00:00,ZCN/USD,0.14232,0.14233,0.12137,0.12691,11287.753651663448,88942.98047170001
1655769600000,2022-06-21 00:00:00,ZCN/USD,0.14307,0.14969,0.13864,0.14233,5593.774862526708,39301.44637481
1655683200000,2022-06-20 00:00:00,ZCN/USD,0.12424,0.14348,0.123,0.14308,31786.45394128216,222158.61015713
1655596800000,2022-06-19 00:00:00,ZCN/USD,0.12368,0.12425,0.11215,0.12343,1420.0721689538102,11505.08117114
1655510400000,2022-06-18 00:00:00,ZCN/USD,0.12603,0.12672,0.10439,0.12388,29431.061864625906,237577.18650812
1655424000000,2022-06-17 00:00:00,ZCN/USD,0.12297,0.13879,0.12076,0.12603,12629.976572983727,100214.04882158
1655337600000,2022-06-16 00:00:00,ZCN/USD,0.16179,0.1624,0.11898,0.1227,2480.037895536066,20212.20778758
1655251200000,2022-06-15 00:00:00,ZCN/USD,0.15059,0.17669,0.13046,0.15958,28339.87412044703,177590.38802135
1655164800000,2022-06-14 00:00:00,ZCN/USD,0.15694,0.17082,0.14284,0.15083,3985.799328505497,26425.77291325
1655078400000,2022-06-13 00:00:00,ZCN/USD,0.18762,0.19208,0.14273,0.15736,54333.41715926121,345280.99364045
1654992000000,2022-06-12 00:00:00,ZCN/USD,0.2167,0.2167,0.18753,0.19049,2058.0020280275858,10803.72737691
1654905600000,2022-06-11 00:00:00,ZCN/USD,0.23078,0.2368,0.20907,0.21218,2109.9152604276683,9943.98746549
1654819200000,2022-06-10 00:00:00,ZCN/USD,0.2507,0.26244,0.23078,0.23102,2963.0080795502095,12825.76434746
1654732800000,2022-06-09 00:00:00,ZCN/USD,0.22553,0.2597,0.22467,0.25082,6790.109189654352,27071.6417736
1654646400000,2022-06-08 00:00:00,ZCN/USD,0.22706,0.23115,0.21992,0.22521,1937.5812088513478,8603.44215999
1654560000000,2022-06-07 00:00:00,ZCN/USD,0.22602,0.23266,0.21086,0.23013,10012.681306925135,43508.80505334
1654473600000,2022-06-06 00:00:00,ZCN/USD,0.2197,0.24087,0.2197,0.22629,1684.7313017982124,7445.00995094
1654387200000,2022-06-05 00:00:00,ZCN/USD,0.20113,0.2231,0.20008,0.22056,7014.433170449556,31802.83446885
1654300800000,2022-06-04 00:00:00,ZCN/USD,0.20021,0.2023,0.19536,0.20124,1181.1149245547965,5869.18567161
1654214400000,2022-06-03 00:00:00,ZCN/USD,0.22129,0.22257,0.19879,0.20052,11854.276857480356,59117.67832376
1654128000000,2022-06-02 00:00:00,ZCN/USD,0.22108,0.22289,0.21712,0.22154,980.2708086831747,4424.80278362
1654041600000,2022-06-01 00:00:00,ZCN/USD,0.23875,0.24332,0.21241,0.22129,28333.991816091788,128040.09135565
1653955200000,2022-05-31 00:00:00,ZCN/USD,0.20463,0.24063,0.19817,0.23455,4324.147251500663,18435.92944575
1653868800000,2022-05-30 00:00:00,ZCN/USD,0.19248,0.20494,0.19149,0.20494,1059.169678923585,5168.1940027499995
1653782400000,2022-05-29 00:00:00,ZCN/USD,0.18176,0.19757,0.17951,0.19706,5612.738767725968,28482.38489661
1653696000000,2022-05-28 00:00:00,ZCN/USD,0.18603,0.20487,0.17571,0.18205,1947.7572151438608,10699.02342842
1653609600000,2022-05-27 00:00:00,ZCN/USD,0.18895,0.18895,0.1696,0.186,5195.11667416152,27930.73480732
1653523200000,2022-05-26 00:00:00,ZCN/USD,0.19233,0.19772,0.18106,0.18887,1319.8978626252167,6988.39340618
1653436800000,2022-05-25 00:00:00,ZCN/USD,0.19622,0.20167,0.18713,0.19225,1340.2830453343424,6971.56330473
1653350400000,2022-05-24 00:00:00,ZCN/USD,0.19572,0.19969,0.18233,0.19624,1353.6809337469176,6898.08873699
1653264000000,2022-05-23 00:00:00,ZCN/USD,0.19268,0.20453,0.18549,0.19573,10264.798249789146,52443.6634639
1653177600000,2022-05-22 00:00:00,ZCN/USD,0.18917,0.19866,0.18175,0.19353,11851.48532118338,61238.49181617
1653091200000,2022-05-21 00:00:00,ZCN/USD,0.18066,0.19755,0.1801,0.18594,9606.55497094151,51664.81107315
1653004800000,2022-05-20 00:00:00,ZCN/USD,0.21383,0.22139,0.1737,0.18432,23631.42009046487,128208.65934497
1652918400000,2022-05-19 00:00:00,ZCN/USD,0.21766,0.22561,0.20354,0.21385,11333.687145844564,52998.30323051
