https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SNX
1655164800000,2022-06-14 00:00:00,SNX/USD,1.9017,1.9355,1.6905,1.8588,42419.5567313475,22820.93648125
1655078400000,2022-06-13 00:00:00,SNX/USD,2.2251,2.2758,1.754,1.913,171631.07873730976,89718.28475552
1654992000000,2022-06-12 00:00:00,SNX/USD,2.327,2.3464,2.1914,2.219,50783.1535824592,22885.6032368
1654905600000,2022-06-11 00:00:00,SNX/USD,2.45,2.5386,2.2769,2.3312,12294.65543182664,5273.95994845
1654819200000,2022-06-10 00:00:00,SNX/USD,2.6943,2.7336,2.4437,2.4489,20396.75001382672,8328.94361298
1654732800000,2022-06-09 00:00:00,SNX/USD,2.6368,2.7844,2.595,2.6967,13998.176910300775,5190.85434431
1654646400000,2022-06-08 00:00:00,SNX/USD,2.7221,2.7891,2.5647,2.6425,12495.084362124175,4728.50874631
1654560000000,2022-06-07 00:00:00,SNX/USD,2.7602,2.783,2.5096,2.7244,35658.492301531485,13088.56713461
1654473600000,2022-06-06 00:00:00,SNX/USD,2.6018,2.9018,2.6018,2.7729,21519.506413228122,7760.65001018
1654387200000,2022-06-05 00:00:00,SNX/USD,2.6859,2.7525,2.5472,2.6129,16382.806965184836,6269.97090022
1654300800000,2022-06-04 00:00:00,SNX/USD,2.7279,2.731,2.5855,2.6822,17951.059161806686,6692.66242704
1654214400000,2022-06-03 00:00:00,SNX/USD,3.0169,3.0173,2.6791,2.7274,22747.38173951747,8340.31742301
1654128000000,2022-06-02 00:00:00,SNX/USD,2.8526,3.1106,2.7711,3.0215,70157.0398042677,23219.27512966
1654041600000,2022-06-01 00:00:00,SNX/USD,3.1273,3.3458,2.8402,2.8538,35733.00389994483,12521.20117035
1653955200000,2022-05-31 00:00:00,SNX/USD,3.349,3.436,3.0089,3.1227,84559.1544761185,27078.85947293
1653868800000,2022-05-30 00:00:00,SNX/USD,2.6036,3.3934,2.5735,3.3529,99934.26981974841,29805.32369583
1653782400000,2022-05-29 00:00:00,SNX/USD,2.4815,2.6539,2.4282,2.6026,14682.050849135669,5641.30133295
1653696000000,2022-05-28 00:00:00,SNX/USD,2.4562,2.5377,2.3948,2.4846,15162.129103027182,6102.44268817
1653609600000,2022-05-27 00:00:00,SNX/USD,2.414,2.5047,2.3133,2.4513,56501.23449321479,23049.49801869
1653523200000,2022-05-26 00:00:00,SNX/USD,2.5557,2.666,2.3406,2.3851,79641.2109135422,33391.14121569
1653436800000,2022-05-25 00:00:00,SNX/USD,2.6257,2.7533,2.5101,2.5519,60836.64702046715,23839.74568771
1653350400000,2022-05-24 00:00:00,SNX/USD,2.5896,2.7901,2.4888,2.6297,58904.71790769961,22399.78625231
1653264000000,2022-05-23 00:00:00,SNX/USD,2.7175,2.9144,2.5759,2.5864,51876.69682035836,20057.49181115
1653177600000,2022-05-22 00:00:00,SNX/USD,2.5963,2.8,2.5769,2.722,28904.30682735294,10618.77546927
1653091200000,2022-05-21 00:00:00,SNX/USD,2.5397,2.6626,2.4853,2.5935,13692.28622322288,5279.46258848
1653004800000,2022-05-20 00:00:00,SNX/USD,2.6809,2.7749,2.4707,2.531,31236.56080357281,12341.58862251
1652918400000,2022-05-19 00:00:00,SNX/USD,2.4912,2.7321,2.3573,2.6754,51398.94066576468,19211.68448298
1652832000000,2022-05-18 00:00:00,SNX/USD,2.8914,2.926,2.4716,2.4875,43782.86803215312,17601.15297775
1652745600000,2022-05-17 00:00:00,SNX/USD,2.7219,2.9857,2.6519,2.8831,62554.17484363479,21696.84535522
1652659200000,2022-05-16 00:00:00,SNX/USD,3.0539,3.0991,2.6676,2.7098,78555.17033275448,28989.28715505
1652572800000,2022-05-15 00:00:00,SNX/USD,2.7605,3.0585,2.5953,3.0585,58641.22998344388,19173.19927528
1652486400000,2022-05-14 00:00:00,SNX/USD,2.6187,2.7666,2.3964,2.7564,56865.05677261081,20630.19038333
1652400000000,2022-05-13 00:00:00,SNX/USD,2.4974,3.0,2.3722,2.6142,107796.05063744883,41234.81395358
1652313600000,2022-05-12 00:00:00,SNX/USD,2.5073,2.6147,2.1921,2.4968,447764.5724396678,179335.37826004
1652227200000,2022-05-11 00:00:00,SNX/USD,3.2882,3.4176,2.3,2.5144,386481.47594279016,153707.23669376
1652140800000,2022-05-10 00:00:00,SNX/USD,3.2614,3.7775,3.1339,3.2981,193990.21943364828,58818.78033827
1652054400000,2022-05-09 00:00:00,SNX/USD,4.2204,4.3669,3.2056,3.2397,238863.23306908822,73730.04693925
1651968000000,2022-05-08 00:00:00,SNX/USD,4.3337,4.3743,4.1951,4.2124,20780.861911177024,4933.25940347
1651881600000,2022-05-07 00:00:00,SNX/USD,4.6066,4.7451,4.2511,4.3169,49324.912072648476,11426.00293559
1651795200000,2022-05-06 00:00:00,SNX/USD,4.5321,4.762,4.3129,4.6018,103751.75941350781,22545.90799546
1651708800000,2022-05-05 00:00:00,SNX/USD,5.0878,5.2,4.409,4.5402,87282.42057186963,19224.35588121
1651622400000,2022-05-04 00:00:00,SNX/USD,4.648,5.0907,4.6126,5.0814,76038.65684261113,14964.11556709
1651536000000,2022-05-03 00:00:00,SNX/USD,4.7175,4.9572,4.5158,4.6453,36433.86843010938,7843.16802577
1651449600000,2022-05-02 00:00:00,SNX/USD,4.826,4.8905,4.3881,4.7248,26608.620347197204,5631.69242025
1651363200000,2022-05-01 00:00:00,SNX/USD,4.3821,4.897,4.2846,4.834,52145.21514510893,10787.17731591
1651276800000,2022-04-30 00:00:00,SNX/USD,4.9962,5.1374,4.2417,4.3755,40272.9246749905,9204.18801851
1651190400000,2022-04-29 00:00:00,SNX/USD,5.5335,5.7644,4.9145,4.9996,54948.65977486845,10990.61120387
1651104000000,2022-04-28 00:00:00,SNX/USD,5.8683,5.8683,5.466,5.5414,48419.84510074762,8737.83612458
1651017600000,2022-04-27 00:00:00,SNX/USD,5.4073,6.002,5.4073,5.8608,59402.9963580578,10135.64638924
