https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PAS
1659225600000,2022-07-31 00:00:00,PAS/USD,0.0013208,0.0013208,0.0013201,0.0013201,145.095753435061,109912.69860999999
1659139200000,2022-07-30 00:00:00,PAS/USD,0.0013208,0.0013227,0.0013208,0.0013227,1132.9110769425024,856514.006912
1659052800000,2022-07-29 00:00:00,PAS/USD,0.0013216,0.0013216,0.0013216,0.0013216,3.2043626953632,2424.608577
1658966400000,2022-07-28 00:00:00,PAS/USD,0.0013201,0.0013208,0.0013186,0.0013201,317.97943417963245,240875.26261619
1658880000000,2022-07-27 00:00:00,PAS/USD,0.00132,0.00132,0.0013193,0.0013193,94.57268955428823,71683.99117281
1658793600000,2022-07-26 00:00:00,PAS/USD,0.0013201,0.0013201,0.0013201,0.0013201,264.02,200000.0
1658707200000,2022-07-25 00:00:00,PAS/USD,0.0013208,0.0013208,0.0013208,0.0013208,2.6416,2000.0
1658361600000,2022-07-21 00:00:00,PAS/USD,0.0013193,0.0013208,0.0013193,0.00132,21.08222259528,15971.380754
1658188800000,2022-07-19 00:00:00,PAS/USD,0.0013193,0.0013193,0.0013193,0.0013193,5.2719228000000005,3996.0
1658016000000,2022-07-17 00:00:00,PAS/USD,0.0013193,0.0013193,0.0013193,0.0013193,2.6386000000000003,2000.0
1657929600000,2022-07-16 00:00:00,PAS/USD,0.0013207,0.0013207,0.0013207,0.0013207,6.5665204,4972.0
1657843200000,2022-07-15 00:00:00,PAS/USD,0.0013207,0.0013207,0.0013207,0.0013207,9.872232499999999,7475.0
1657756800000,2022-07-14 00:00:00,PAS/USD,0.0013207,0.0013207,0.0013207,0.0013207,9.235655099999999,6993.0
1657670400000,2022-07-13 00:00:00,PAS/USD,0.0013211,0.0013211,0.0013211,0.0013211,55.2714054912547,41837.412377
1657152000000,2022-07-07 00:00:00,PAS/USD,0.0013918,0.0013918,0.00139,0.00139,55.4429384458485,39887.00607615
1657065600000,2022-07-06 00:00:00,PAS/USD,0.0013919,0.0013919,0.0013919,0.0013919,11.433873902,8214.58
1656892800000,2022-07-04 00:00:00,PAS/USD,0.0013905,0.0013905,0.0013905,0.0013905,11.10175200094554,7984.00000068
1656633600000,2022-07-01 00:00:00,PAS/USD,0.0013977,0.0013977,0.0013977,0.0013977,89.6023437918336,64106.992768000004
1656374400000,2022-06-28 00:00:00,PAS/USD,0.0013938,0.0013938,0.0013938,0.0013938,160.91276246482857,115448.961447
1656288000000,2022-06-27 00:00:00,PAS/USD,0.0013971,0.0013971,0.0013938,0.0013938,567.163938107619,406919.169255
1656201600000,2022-06-26 00:00:00,PAS/USD,0.0013971,0.0013971,0.0013971,0.0013971,12.568311600000001,8996.0
1656115200000,2022-06-25 00:00:00,PAS/USD,0.0013971,0.0013971,0.0013971,0.0013971,13.8114161239668,9885.774908
1656028800000,2022-06-24 00:00:00,PAS/USD,0.0013984,0.0013984,0.0013984,0.0013984,35.57715326957759,25441.328138999997
1655942400000,2022-06-23 00:00:00,PAS/USD,0.0014011,0.0014011,0.0014011,0.0014011,27.742419954302473,19800.45675134
1655856000000,2022-06-22 00:00:00,PAS/USD,0.0014012,0.0014028,0.0014005,0.0014005,1035.8998352843387,739664.2879574
1655769600000,2022-06-21 00:00:00,PAS/USD,0.0013974,0.0014012,0.0013949,0.0014012,162698.88601549852,116113963.756422
