https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SXX
1659398400000,2022-08-02 00:00:00,SXX/USD,0.19134,0.20411,0.19132,0.20411,2318.868713089178,11360.87753216
1659052800000,2022-07-29 00:00:00,SXX/USD,0.19865,0.19865,0.19865,0.19865,399.6124875800875,2011.64101475
1658966400000,2022-07-28 00:00:00,SXX/USD,0.19798,0.20201,0.19798,0.20201,1425.6406589774647,7057.27765446
1658880000000,2022-07-27 00:00:00,SXX/USD,0.18841,0.18843,0.18841,0.18843,2136.3622621750133,11337.69708738
1658793600000,2022-07-26 00:00:00,SXX/USD,0.18257,0.18842,0.17752,0.17752,2567.5174094614968,14463.25715109
1658707200000,2022-07-25 00:00:00,SXX/USD,0.19076,0.19144,0.19076,0.19144,764.03704,3991.0
1658534400000,2022-07-23 00:00:00,SXX/USD,0.19116,0.19116,0.19042,0.19042,3489.5480374300005,18325.53322881
1658448000000,2022-07-22 00:00:00,SXX/USD,0.19783,0.19783,0.19783,0.19783,197.83,1000.0
1658361600000,2022-07-21 00:00:00,SXX/USD,0.19305,0.20412,0.19305,0.20064,1716.3837740421504,8554.54432836
1658275200000,2022-07-20 00:00:00,SXX/USD,0.2011,0.2011,0.2011,0.2011,99.99999999848599,497.26504226
1658188800000,2022-07-19 00:00:00,SXX/USD,0.19835,0.20169,0.19835,0.2012,8206.812454350644,40789.32631387
1658102400000,2022-07-18 00:00:00,SXX/USD,0.1957,0.1957,0.1957,0.1957,29.584632830056005,151.17339208
1657929600000,2022-07-16 00:00:00,SXX/USD,0.17706,0.18633,0.17706,0.18556,105.3779716458632,567.89163422
1657756800000,2022-07-14 00:00:00,SXX/USD,0.17387,0.17387,0.17087,0.17225,6894.726219025904,40027.43813658
1657670400000,2022-07-13 00:00:00,SXX/USD,0.17602,0.17602,0.16118,0.173,4491.09739024545,25960.10052165
1657584000000,2022-07-12 00:00:00,SXX/USD,0.19184,0.19184,0.16851,0.16851,2402.9591852966555,14260.03907956
1657497600000,2022-07-11 00:00:00,SXX/USD,0.1959,0.19846,0.1959,0.19689,208.2886250365056,1057.89336704
1657152000000,2022-07-07 00:00:00,SXX/USD,0.2139,0.2139,0.21261,0.21261,662.1617811577935,3114.44325835
1657065600000,2022-07-06 00:00:00,SXX/USD,0.20334,0.20334,0.20334,0.20334,10.8142022521836,53.18285754
1656979200000,2022-07-05 00:00:00,SXX/USD,0.20376,0.20418,0.19278,0.20228,2648.6030909313035,13093.7467418
1656892800000,2022-07-04 00:00:00,SXX/USD,0.19867,0.20128,0.19867,0.19994,488.9431413774986,2445.44934169
