https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ADA
1659571200000,2022-08-04 00:00:00,ADA/USD,0.50032,0.50534,0.50032,0.50475,3238.6907236229777,6416.42540589
1659484800000,2022-08-03 00:00:00,ADA/USD,0.49655,0.51677,0.48901,0.50057,568323.8585735653,1135353.41425488
1659398400000,2022-08-02 00:00:00,ADA/USD,0.5127,0.51515,0.48841,0.49605,731601.6059565113,1474854.56296041
1659312000000,2022-08-01 00:00:00,ADA/USD,0.51601,0.5262,0.50064,0.51249,419194.12972366303,817955.72542618
1659225600000,2022-07-31 00:00:00,ADA/USD,0.52619,0.54461,0.51272,0.51608,851073.7855409972,1649112.12513757
1659139200000,2022-07-30 00:00:00,ADA/USD,0.5222,0.55655,0.50875,0.5262,882583.969807952,1677278.54391477
1659052800000,2022-07-29 00:00:00,ADA/USD,0.51314,0.54542,0.5074,0.52129,1093760.3516064896,2098180.19069326
1658966400000,2022-07-28 00:00:00,ADA/USD,0.51127,0.52448,0.48913,0.51301,995411.6124523206,1940335.69024448
1658880000000,2022-07-27 00:00:00,ADA/USD,0.4678,0.51179,0.45916,0.51109,1015331.2451576053,1986599.70877459
1658793600000,2022-07-26 00:00:00,ADA/USD,0.47457,0.47738,0.45118,0.46815,1059114.5665043837,2262340.20400381
1658707200000,2022-07-25 00:00:00,ADA/USD,0.51181,0.51545,0.47401,0.47456,764112.2136523656,1610148.79815485
1658620800000,2022-07-24 00:00:00,ADA/USD,0.51718,0.53622,0.50969,0.5127,851962.5600990236,1661717.49580461
1658534400000,2022-07-23 00:00:00,ADA/USD,0.4827,0.51801,0.4732,0.51724,749890.0507874292,1449791.29763249
1658448000000,2022-07-22 00:00:00,ADA/USD,0.49945,0.51111,0.47727,0.48231,722938.7506004089,1498908.8980125
1658361600000,2022-07-21 00:00:00,ADA/USD,0.49055,0.502,0.47591,0.49918,863871.2031059813,1730580.55832762
1658275200000,2022-07-20 00:00:00,ADA/USD,0.51493,0.54822,0.48691,0.49085,1863267.4056747747,3796001.64138693
1658188800000,2022-07-19 00:00:00,ADA/USD,0.49064,0.5255,0.47344,0.51514,1730783.0664308823,3359830.46634096
1658102400000,2022-07-18 00:00:00,ADA/USD,0.44751,0.49961,0.44575,0.49122,2142960.414935273,4362526.8004871
1658016000000,2022-07-17 00:00:00,ADA/USD,0.45805,0.46619,0.44223,0.44735,573525.1398168474,1282050.16165608
1657929600000,2022-07-16 00:00:00,ADA/USD,0.44194,0.45899,0.43155,0.458,395952.54513527453,864525.20771894
1657843200000,2022-07-15 00:00:00,ADA/USD,0.44122,0.45313,0.43236,0.44167,343726.97107483225,778243.87229115
1657756800000,2022-07-14 00:00:00,ADA/USD,0.43804,0.44618,0.41687,0.44111,567842.4321213925,1287303.46653078
1657670400000,2022-07-13 00:00:00,ADA/USD,0.41669,0.44125,0.40258,0.43829,876951.5531269045,2000847.73352553
1657584000000,2022-07-12 00:00:00,ADA/USD,0.43444,0.44183,0.41425,0.41635,693611.1858428282,1665932.95506864
1657497600000,2022-07-11 00:00:00,ADA/USD,0.46237,0.46267,0.43146,0.43401,31403805.716168985,72357332.12637724
1657411200000,2022-07-10 00:00:00,ADA/USD,0.47789,0.47959,0.4552,0.4623,501529.86987709324,1084858.03564156
1657324800000,2022-07-09 00:00:00,ADA/USD,0.46551,0.4846,0.46501,0.47798,401795.12265151076,840610.74239824
1657238400000,2022-07-08 00:00:00,ADA/USD,0.47729,0.49264,0.45972,0.46623,702397.5836283028,1506547.37710637
1657152000000,2022-07-07 00:00:00,ADA/USD,0.4619,0.48202,0.4607,0.47672,467852.504244365,981398.94328823
1657065600000,2022-07-06 00:00:00,ADA/USD,0.45671,0.465,0.44641,0.4619,508053.2226408472,1099920.37809233
1656979200000,2022-07-05 00:00:00,ADA/USD,0.4694,0.4716,0.4442,0.45741,994175.3944536209,2173488.54299998
