https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTT
1653609600000,2022-05-27 00:00:00,BTT/USD,1.07e-06,1.15e-06,8e-07,9.9e-07,3595.1738301050127,3631488717.2777905
1653523200000,2022-05-26 00:00:00,BTT/USD,1.14e-06,1.18e-06,1.02e-06,1.04e-06,2174.3186625477374,2090691021.680517
1653436800000,2022-05-25 00:00:00,BTT/USD,1.12e-06,1.17e-06,1.07e-06,1.14e-06,3095.098587448671,2714998760.9198866
1653350400000,2022-05-24 00:00:00,BTT/USD,1.12e-06,1.22e-06,1.08e-06,1.12e-06,1381.2267227325322,1233238145.2969036
1653264000000,2022-05-23 00:00:00,BTT/USD,1.14e-06,1.18e-06,1.09e-06,1.12e-06,4934.6988743389575,4405981137.80264
1653177600000,2022-05-22 00:00:00,BTT/USD,1.11e-06,1.15e-06,1.09e-06,1.14e-06,6505.241749804255,5706352412.108995
1653091200000,2022-05-21 00:00:00,BTT/USD,1.11e-06,1.12e-06,1.07e-06,1.11e-06,33.91159001189905,30550981.99270185
1653004800000,2022-05-20 00:00:00,BTT/USD,1.11e-06,1.15e-06,1.08e-06,1.11e-06,3949.821983508888,3558398183.3413405
1652918400000,2022-05-19 00:00:00,BTT/USD,1.09e-06,1.13e-06,1.07e-06,1.11e-06,3736.1110110724503,3365865775.7409463
1652832000000,2022-05-18 00:00:00,BTT/USD,1.13e-06,1.14e-06,1.07e-06,1.09e-06,5081.298429538962,4661741678.476112
1652745600000,2022-05-17 00:00:00,BTT/USD,1.1e-06,1.15e-06,1.1e-06,1.14e-06,4055.0968822914288,3557102528.3258142
1652659200000,2022-05-16 00:00:00,BTT/USD,1.15e-06,1.15e-06,1.08e-06,1.12e-06,10641.914379964632,9501709267.825563
1652572800000,2022-05-15 00:00:00,BTT/USD,1.11e-06,1.15e-06,1.08e-06,1.15e-06,8710.843916899412,7574646884.260359
1652486400000,2022-05-14 00:00:00,BTT/USD,1.18e-06,1.22e-06,1.06e-06,1.11e-06,9963.407463250976,8976042759.685564
1652400000000,2022-05-13 00:00:00,BTT/USD,1.05e-06,1.21e-06,1.04e-06,1.17e-06,8485.211104902242,7252317183.677131
1652313600000,2022-05-12 00:00:00,BTT/USD,1.25e-06,1.25e-06,1e-06,1.05e-06,5160.8400135903485,4915085727.228904
1652227200000,2022-05-11 00:00:00,BTT/USD,1.45e-06,1.49e-06,1.08e-06,1.13e-06,5318.8770640783905,4706970853.166718
