https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ANT
1655510400000,2022-06-18 00:00:00,ANT/USD,1.5914,1.6004,1.4002,1.5669,19861.5853347047,12675.71978729
1655424000000,2022-06-17 00:00:00,ANT/USD,1.6048,1.7273,1.5333,1.5781,16392.441041472775,10387.45392654
1655337600000,2022-06-16 00:00:00,ANT/USD,2.0595,2.2969,1.5717,1.5861,19970.08050112787,12590.68186188
1655251200000,2022-06-15 00:00:00,ANT/USD,1.312,2.4963,1.1968,2.0146,58820.98005401778,29197.34937656
1655164800000,2022-06-14 00:00:00,ANT/USD,1.2987,1.4131,1.1948,1.3488,8886.24780657384,6588.26201555
1655078400000,2022-06-13 00:00:00,ANT/USD,1.4058,1.4106,1.213,1.3228,41745.645560910285,31558.54668953
1654992000000,2022-06-12 00:00:00,ANT/USD,1.4861,1.5293,1.37,1.4465,4977.90565610811,3441.34507854
1654905600000,2022-06-11 00:00:00,ANT/USD,1.7307,1.7636,1.4796,1.4879,7334.340832606841,4929.32376679
1654819200000,2022-06-10 00:00:00,ANT/USD,1.7699,1.8582,1.6735,1.7034,13156.899127289173,7723.90461858
1654732800000,2022-06-09 00:00:00,ANT/USD,1.8221,1.863,1.8002,1.8378,3343.2379983604083,1819.15224636
1654646400000,2022-06-08 00:00:00,ANT/USD,1.9181,1.9462,1.8251,1.8757,3391.976134611009,1808.37881037
1654560000000,2022-06-07 00:00:00,ANT/USD,1.852,1.9578,1.7529,1.9214,1255.060026285078,653.20080477
1654473600000,2022-06-06 00:00:00,ANT/USD,1.8701,1.9174,1.8221,1.8509,6800.348482627418,3674.07665602
1654387200000,2022-06-05 00:00:00,ANT/USD,1.802,1.8429,1.7281,1.8345,8822.063906763615,4808.97460167
1654300800000,2022-06-04 00:00:00,ANT/USD,1.8007,1.8033,1.7396,1.7962,4917.049055174774,2737.47302927
1654214400000,2022-06-03 00:00:00,ANT/USD,1.9231,2.0912,1.7927,1.803,11350.21866775962,6295.18506254
1654128000000,2022-06-02 00:00:00,ANT/USD,1.7949,1.933,1.7921,1.9175,5206.8062669194005,2715.41395928
1654041600000,2022-06-01 00:00:00,ANT/USD,2.0364,2.1691,1.79,1.8203,6238.18722152338,3427.0105046
1653955200000,2022-05-31 00:00:00,ANT/USD,2.0822,2.1065,1.9061,2.0018,13153.171458283612,6570.67212423
1653868800000,2022-05-30 00:00:00,ANT/USD,1.8537,2.1641,1.8537,2.0892,21852.44116160034,10459.71719395
1653782400000,2022-05-29 00:00:00,ANT/USD,1.6921,1.8581,1.6636,1.8581,8783.466751580876,4727.12273375
