https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SGB
1655942400000,2022-06-23 00:00:00,SGB/USD,0.030069,0.03085,0.029891,0.030714,7284.9115189251115,237185.37210799998
1655856000000,2022-06-22 00:00:00,SGB/USD,0.030369,0.03041,0.02982,0.029991,8429.12375566061,281055.10838787
1655769600000,2022-06-21 00:00:00,SGB/USD,0.029257,0.031192,0.028851,0.030458,4460.307180875968,146441.23648552
1655683200000,2022-06-20 00:00:00,SGB/USD,0.029891,0.029954,0.029167,0.029272,1297.3544363513893,44320.66262474
1655596800000,2022-06-19 00:00:00,SGB/USD,0.027636,0.029982,0.027636,0.029815,9321.973431409884,312660.52092604
1655510400000,2022-06-18 00:00:00,SGB/USD,0.030576,0.030728,0.026179,0.027681,4545.896861794764,164224.44499096
1655424000000,2022-06-17 00:00:00,SGB/USD,0.029376,0.032735,0.028957,0.030533,11675.99956603158,382405.90724893
1655337600000,2022-06-16 00:00:00,SGB/USD,0.028431,0.029368,0.02762,0.028936,3434.615148586225,118696.95702883
1655251200000,2022-06-15 00:00:00,SGB/USD,0.027133,0.028427,0.025661,0.028382,5680.766974792131,200153.86423762
1655164800000,2022-06-14 00:00:00,SGB/USD,0.024673,0.027465,0.024313,0.02729,6220.928619683251,227956.34370404
1655078400000,2022-06-13 00:00:00,SGB/USD,0.028195,0.028203,0.023774,0.024637,4040.332668853061,163994.5069957
1654992000000,2022-06-12 00:00:00,SGB/USD,0.029836,0.030971,0.02685,0.028184,17115.20366033123,607266.66407647
1654905600000,2022-06-11 00:00:00,SGB/USD,0.035257,0.035345,0.027951,0.029471,17265.79405374303,585857.08166479
1654819200000,2022-06-10 00:00:00,SGB/USD,0.036122,0.036399,0.03512,0.035278,1950.2348973798448,55281.90082714
1654732800000,2022-06-09 00:00:00,SGB/USD,0.03538,0.036209,0.035293,0.036072,2549.1121940114,70667.33738111
1654646400000,2022-06-08 00:00:00,SGB/USD,0.035612,0.035869,0.034991,0.03535,2287.7783473456484,64717.91647371
1654560000000,2022-06-07 00:00:00,SGB/USD,0.035712,0.035979,0.031953,0.03551,7932.490824216401,223387.51969068998
1654473600000,2022-06-06 00:00:00,SGB/USD,0.037483,0.037782,0.03519,0.035722,9029.60464582424,252774.33082762
1654387200000,2022-06-05 00:00:00,SGB/USD,0.037443,0.037686,0.036891,0.037417,569.1690342701504,15211.50905391
1654300800000,2022-06-04 00:00:00,SGB/USD,0.03832,0.038386,0.037484,0.037601,1573.5059696026574,41847.450057250004
1654214400000,2022-06-03 00:00:00,SGB/USD,0.038011,0.039471,0.037285,0.03823,3094.967173990184,80956.50468193
1654128000000,2022-06-02 00:00:00,SGB/USD,0.036549,0.038504,0.03638,0.038067,18158.981461863266,477026.85953354
1654041600000,2022-06-01 00:00:00,SGB/USD,0.038923,0.039379,0.036406,0.036529,30244.97591040401,827971.63651904
1653955200000,2022-05-31 00:00:00,SGB/USD,0.03724,0.039283,0.036427,0.038978,15805.7298835176,405503.87099178
1653868800000,2022-05-30 00:00:00,SGB/USD,0.034654,0.03709,0.034593,0.03709,10092.445513078055,272106.91596328
1653782400000,2022-05-29 00:00:00,SGB/USD,0.036641,0.036929,0.032734,0.034603,7313.318800184672,211349.27029982
1653696000000,2022-05-28 00:00:00,SGB/USD,0.03617,0.03764,0.035212,0.036279,7234.089739862887,199401.57501206998
1653609600000,2022-05-27 00:00:00,SGB/USD,0.035502,0.036109,0.035306,0.036109,1941.957260211121,53780.42206129
1653523200000,2022-05-26 00:00:00,SGB/USD,0.0375,0.03809,0.03503,0.035569,12583.751016567878,353784.22268177
1653436800000,2022-05-25 00:00:00,SGB/USD,0.033422,0.037626,0.03306,0.03756,13025.305544010149,346786.62257748
1653350400000,2022-05-24 00:00:00,SGB/USD,0.033759,0.03418,0.032771,0.033254,7578.717089835614,227903.92403427
1653264000000,2022-05-23 00:00:00,SGB/USD,0.034022,0.035666,0.03303,0.033881,32420.305520536796,956887.50392659
1653177600000,2022-05-22 00:00:00,SGB/USD,0.033084,0.034232,0.03287,0.033972,7472.753522341764,219968.018437
1653091200000,2022-05-21 00:00:00,SGB/USD,0.031146,0.033319,0.029481,0.033027,38055.34405263935,1152249.49443302
1653004800000,2022-05-20 00:00:00,SGB/USD,0.034199,0.035236,0.03103,0.03106,13782.459156774325,443736.6116154
1652918400000,2022-05-19 00:00:00,SGB/USD,0.033295,0.038076,0.033055,0.034186,62419.6925652268,1825884.64766942
1652832000000,2022-05-18 00:00:00,SGB/USD,0.034626,0.03841,0.031628,0.033298,80199.67143487242,2408543.19883694
1652745600000,2022-05-17 00:00:00,SGB/USD,0.028219,0.042205,0.02729,0.034564,187306.41985615093,5419118.73209556
1652659200000,2022-05-16 00:00:00,SGB/USD,0.022157,0.028129,0.016443,0.028129,286390.0349496707,10181308.78984929
1652572800000,2022-05-15 00:00:00,SGB/USD,0.026945,0.027027,0.022063,0.022132,53168.75034942258,2402347.29574474
1652486400000,2022-05-14 00:00:00,SGB/USD,0.0286,0.028643,0.026682,0.026945,80104.68693499341,2972896.15642952
1652400000000,2022-05-13 00:00:00,SGB/USD,0.029605,0.030488,0.028491,0.0286,210011.5457714935,7343061.04096131
1652313600000,2022-05-12 00:00:00,SGB/USD,0.039138,0.039623,0.029435,0.02965,119707.44960579144,4037350.74555789
1652227200000,2022-05-11 00:00:00,SGB/USD,0.048565,0.049009,0.039,0.03922,70749.51016317401,1803914.07861229
1652140800000,2022-05-10 00:00:00,SGB/USD,0.048951,0.049728,0.048261,0.048571,19042.426193972395,392053.41034717
1652054400000,2022-05-09 00:00:00,SGB/USD,0.053334,0.0535,0.048927,0.049058,12977.122657705817,264526.12535582
1651968000000,2022-05-08 00:00:00,SGB/USD,0.054863,0.054898,0.05271,0.053383,13033.547019125142,244151.64039348
1651881600000,2022-05-07 00:00:00,SGB/USD,0.055549,0.05588,0.054543,0.054926,13395.578102250443,243884.100467
1651795200000,2022-05-06 00:00:00,SGB/USD,0.05561,0.056285,0.05526,0.055556,16054.371798619695,288976.38056411
1651708800000,2022-05-05 00:00:00,SGB/USD,0.055324,0.057664,0.054944,0.055545,18694.70376317794,336568.6157742
1651622400000,2022-05-04 00:00:00,SGB/USD,0.055179,0.055946,0.054171,0.055129,22609.715918304682,410123.81719793
1651536000000,2022-05-03 00:00:00,SGB/USD,0.054204,0.055071,0.053982,0.054995,17912.77011587032,325716.33995582
1651449600000,2022-05-02 00:00:00,SGB/USD,0.055418,0.055487,0.054196,0.054285,10258.612132385175,188976.92055605
1651363200000,2022-05-01 00:00:00,SGB/USD,0.056412,0.056412,0.05424,0.05535,22236.789087083216,401748.67366004
1651276800000,2022-04-30 00:00:00,SGB/USD,0.056578,0.05717,0.055554,0.056494,8568.344535777485,151668.22203734
1651190400000,2022-04-29 00:00:00,SGB/USD,0.056918,0.057928,0.056304,0.056644,26070.2996773783,460248.21123823
1651104000000,2022-04-28 00:00:00,SGB/USD,0.052127,0.057114,0.052127,0.056927,12863.020899053728,225956.41609524
1651017600000,2022-04-27 00:00:00,SGB/USD,0.052176,0.053696,0.051354,0.052192,21891.22084966648,419436.32835811
1650931200000,2022-04-26 00:00:00,SGB/USD,0.051174,0.053441,0.051174,0.052099,27549.380738231703,528789.05042768
1650844800000,2022-04-25 00:00:00,SGB/USD,0.054398,0.054417,0.048316,0.051105,40222.22727872261,787050.72456164
1650758400000,2022-04-24 00:00:00,SGB/USD,0.055085,0.055162,0.054,0.054316,6452.712139243574,118799.47233308
1650672000000,2022-04-23 00:00:00,SGB/USD,0.056684,0.056695,0.054011,0.055082,11233.545791413002,203942.22779516
1650585600000,2022-04-22 00:00:00,SGB/USD,0.05883,0.059199,0.055768,0.056648,15646.902731989912,276212.80066357
1650499200000,2022-04-21 00:00:00,SGB/USD,0.059019,0.059483,0.058657,0.058844,42497.40985225383,722204.6402735
1650412800000,2022-04-20 00:00:00,SGB/USD,0.059381,0.060668,0.058724,0.059015,10207.128249555437,172958.20129722
1650326400000,2022-04-19 00:00:00,SGB/USD,0.060033,0.06045,0.0593,0.059339,12117.068357807602,204200.75090257
1650240000000,2022-04-18 00:00:00,SGB/USD,0.062415,0.062517,0.059353,0.059957,7064.561895873694,117827.14104898
1650153600000,2022-04-17 00:00:00,SGB/USD,0.062782,0.063006,0.062231,0.062321,6429.7971002631675,103172.23889641
1650067200000,2022-04-16 00:00:00,SGB/USD,0.063331,0.063498,0.06201,0.062674,5881.106913154454,93836.46987833
1649980800000,2022-04-15 00:00:00,SGB/USD,0.062015,0.063441,0.062015,0.063239,11438.31001167748,180874.30243485002
1649894400000,2022-04-14 00:00:00,SGB/USD,0.062286,0.063801,0.061999,0.062115,8879.226756314327,142948.18894493
1649808000000,2022-04-13 00:00:00,SGB/USD,0.063045,0.064282,0.061793,0.062301,38976.62104028322,625617.90405103
1649721600000,2022-04-12 00:00:00,SGB/USD,0.065278,0.066117,0.062406,0.063114,12839.567086832436,203434.53254163
1649635200000,2022-04-11 00:00:00,SGB/USD,0.068115,0.068324,0.06442,0.0652,6855.580645820512,105146.94242056001
1649548800000,2022-04-10 00:00:00,SGB/USD,0.068434,0.068546,0.067541,0.068255,14926.054086427828,218680.74260388
1649462400000,2022-04-09 00:00:00,SGB/USD,0.06814,0.069045,0.068102,0.068483,21735.516931047274,317385.5837368
1649376000000,2022-04-08 00:00:00,SGB/USD,0.068601,0.069102,0.06801,0.06806,19234.039131367517,282604.16002597
1649289600000,2022-04-07 00:00:00,SGB/USD,0.06864,0.070509,0.067688,0.068661,157336.0100446211,2291490.22071658
1649203200000,2022-04-06 00:00:00,SGB/USD,0.070121,0.071086,0.068585,0.068785,37422.744547846,544053.85691424
1649116800000,2022-04-05 00:00:00,SGB/USD,0.069195,0.071499,0.069177,0.070244,16319.7924125249,232330.05541434
1649030400000,2022-04-04 00:00:00,SGB/USD,0.072595,0.07265,0.068761,0.069251,6043.230030172573,87265.59948842
1648944000000,2022-04-03 00:00:00,SGB/USD,0.071181,0.073832,0.070913,0.072491,39233.635806637474,541220.78336121
1648857600000,2022-04-02 00:00:00,SGB/USD,0.072577,0.07402,0.070901,0.070942,52001.46165500323,733013.75285449
1648771200000,2022-04-01 00:00:00,SGB/USD,0.073695,0.07683,0.072327,0.072675,20300.375634974036,279330.93408977
