https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UOS
1650067200000,2022-04-16 00:00:00,UOS/USD,1.0391,1.0659,0.95817,0.97268,56006.87495868196,57579.95945088
1649980800000,2022-04-15 00:00:00,UOS/USD,1.0189,1.0426,0.99912,1.0391,28036.47130004817,26981.49485136
1649894400000,2022-04-14 00:00:00,UOS/USD,1.0862,1.1044,0.98782,1.0193,92829.90445727868,91072.21078905
1649808000000,2022-04-13 00:00:00,UOS/USD,1.0489,1.098,1.0362,1.0856,69363.99641881512,63894.61718756
1649721600000,2022-04-12 00:00:00,UOS/USD,1.0134,1.0698,1.0037,1.0491,57789.03738941938,55084.39366068
1649635200000,2022-04-11 00:00:00,UOS/USD,1.1164,1.1232,0.9857,1.0146,731196.5067797021,720674.65679056
1649548800000,2022-04-10 00:00:00,UOS/USD,1.1317,1.1652,1.1001,1.1189,32786.94233082449,29302.83522283
1649462400000,2022-04-09 00:00:00,UOS/USD,1.1222,1.152,1.1103,1.1335,14580.70939905272,12863.440140319999
1649376000000,2022-04-08 00:00:00,UOS/USD,1.1701,1.2022,1.1198,1.1198,66827.27408626732,59677.86576734
1649289600000,2022-04-07 00:00:00,UOS/USD,1.181,1.2601,1.1449,1.172,49594.669254118075,42316.27069464
1649203200000,2022-04-06 00:00:00,UOS/USD,1.2841,1.2841,1.1801,1.1835,102053.98807202997,86230.66165782
1649116800000,2022-04-05 00:00:00,UOS/USD,1.3057,1.3309,1.2723,1.2862,30922.807309622327,24041.98982244
1649030400000,2022-04-04 00:00:00,UOS/USD,1.3305,1.3325,1.251,1.3076,53421.70977768346,40854.77957914
1648944000000,2022-04-03 00:00:00,UOS/USD,1.2978,1.3434,1.291,1.3329,29319.687969724317,21996.91497466
1648857600000,2022-04-02 00:00:00,UOS/USD,1.3067,1.3499,1.2752,1.2984,58518.8456995043,45069.96742106
1648771200000,2022-04-01 00:00:00,UOS/USD,1.2623,1.3252,1.2121,1.3086,53486.936495926464,40873.40401645
1648684800000,2022-03-31 00:00:00,UOS/USD,1.304,1.345,1.21,1.2641,68345.09701371424,54066.21075367
1648598400000,2022-03-30 00:00:00,UOS/USD,1.283,1.345,1.2471,1.3028,83146.58781172204,63821.45211216
1648512000000,2022-03-29 00:00:00,UOS/USD,1.2717,1.319,1.2217,1.2812,89585.80769157824,69923.35910988
1648425600000,2022-03-28 00:00:00,UOS/USD,1.224,1.3243,1.2051,1.274,154344.3533680321,121149.41394665
1648339200000,2022-03-27 00:00:00,UOS/USD,1.1483,1.2256,1.1431,1.224,51527.55967763256,42097.67947519
1648252800000,2022-03-26 00:00:00,UOS/USD,1.1586,1.184,1.1428,1.1508,18821.154930157274,16354.84439534
1648166400000,2022-03-25 00:00:00,UOS/USD,1.1513,1.25,1.1413,1.158,60545.876994965394,52284.8678713
1648080000000,2022-03-24 00:00:00,UOS/USD,1.1456,1.18,1.0946,1.1523,47424.61772915306,41156.48505524
1647993600000,2022-03-23 00:00:00,UOS/USD,1.1511,1.2,1.101,1.1462,40844.04731400215,35634.31103996
1647907200000,2022-03-22 00:00:00,UOS/USD,1.1652,1.2,1.14,1.1507,35676.5751968224,31004.23672271
1647820800000,2022-03-21 00:00:00,UOS/USD,1.1178,1.1848,1.095,1.1673,37480.94450142992,32109.093207769998
1647734400000,2022-03-20 00:00:00,UOS/USD,1.1585,1.1654,1.1078,1.1195,39774.46181316123,35528.77339273
1647648000000,2022-03-19 00:00:00,UOS/USD,1.1306,1.1882,1.0926,1.1587,19371.977903938634,16718.717445360002
1647561600000,2022-03-18 00:00:00,UOS/USD,1.1588,1.17,1.1131,1.1294,26019.119470387643,23038.00201026
1647475200000,2022-03-17 00:00:00,UOS/USD,1.1816,1.1964,1.1495,1.1548,39585.6700655481,34279.24321575
1647388800000,2022-03-16 00:00:00,UOS/USD,1.1309,1.1933,1.0834,1.1816,41796.821940577924,35373.07205533
1647302400000,2022-03-15 00:00:00,UOS/USD,1.1329,1.1472,1.07,1.1318,40456.22491421723,35745.02996485
1647216000000,2022-03-14 00:00:00,UOS/USD,1.1033,1.1402,1.0774,1.1341,40296.69662683729,35531.87252168
1647129600000,2022-03-13 00:00:00,UOS/USD,1.1473,1.1643,1.1005,1.1033,69247.42149238483,62763.90962783
1647043200000,2022-03-12 00:00:00,UOS/USD,1.1562,1.1823,1.1456,1.1481,13829.817446042365,12045.83002007
1646956800000,2022-03-11 00:00:00,UOS/USD,1.1985,1.2039,1.1299,1.155,115667.43192821354,100144.96270840999
1646870400000,2022-03-10 00:00:00,UOS/USD,1.2186,1.2388,1.1399,1.1979,47554.1796423273,39697.95445557
1646784000000,2022-03-09 00:00:00,UOS/USD,1.19,1.292,1.1789,1.2215,54594.07943054712,44694.29343475
1646697600000,2022-03-08 00:00:00,UOS/USD,1.1862,1.2216,1.1704,1.1926,36084.93593209482,30257.36704016
1646611200000,2022-03-07 00:00:00,UOS/USD,1.1904,1.2666,1.1379,1.1864,68029.82442863812,57341.38943749
1646524800000,2022-03-06 00:00:00,UOS/USD,1.2875,1.3152,1.19,1.19,39878.4263450034,33511.28264286
1646438400000,2022-03-05 00:00:00,UOS/USD,1.2598,1.3136,1.2308,1.2869,39735.73637363083,30877.09718986
1646352000000,2022-03-04 00:00:00,UOS/USD,1.412,1.415,1.2195,1.2587,111184.7234614252,88332.98121985
1646265600000,2022-03-03 00:00:00,UOS/USD,1.392,1.43,1.33,1.4233,140061.60960209256,98406.24576835
1646179200000,2022-03-02 00:00:00,UOS/USD,1.3699,1.413,1.311,1.3981,183008.43299148598,130897.95650632
1646092800000,2022-03-01 00:00:00,UOS/USD,1.3167,1.38,1.2752,1.3549,151125.45780321807,111539.93490532
1646006400000,2022-02-28 00:00:00,UOS/USD,1.1766,1.357,1.1555,1.3168,177232.9997556393,134593.71184359
1645920000000,2022-02-27 00:00:00,UOS/USD,1.2096,1.3199,1.1503,1.1647,189065.17721900073,162329.50735726
1645833600000,2022-02-26 00:00:00,UOS/USD,1.2581,1.29,1.1937,1.2102,59986.219154511644,49567.19480624
1645747200000,2022-02-25 00:00:00,UOS/USD,1.1521,1.282,1.1404,1.2556,84251.23277732088,67100.37653498
1645660800000,2022-02-24 00:00:00,UOS/USD,1.1876,1.29,0.9745,1.1539,693676.5983058499,601158.33114295
1645574400000,2022-02-23 00:00:00,UOS/USD,1.2624,1.3358,1.14,1.1876,251855.98775165874,212071.39419978
1645488000000,2022-02-22 00:00:00,UOS/USD,1.1281,1.2643,1.0875,1.2544,158974.88851582285,126733.80780917
1645401600000,2022-02-21 00:00:00,UOS/USD,1.1231,1.35,1.101,1.1267,488744.59303455317,433784.14221581
1645315200000,2022-02-20 00:00:00,UOS/USD,1.1602,1.1782,1.0704,1.1218,75026.42226934485,66880.39068403
1645228800000,2022-02-19 00:00:00,UOS/USD,1.1887,1.219,1.1477,1.1597,57105.982237387994,49242.03004
1645142400000,2022-02-18 00:00:00,UOS/USD,1.2487,1.36,1.15,1.1904,168341.7590262908,141416.12821429
1645056000000,2022-02-17 00:00:00,UOS/USD,1.435,1.45,1.2314,1.2476,275957.31335764856,221190.53651623
1644969600000,2022-02-16 00:00:00,UOS/USD,1.3323,1.4439,1.25,1.4348,264884.10402107856,184613.95596674
1644883200000,2022-02-15 00:00:00,UOS/USD,1.0384,1.3313,1.0371,1.3313,178441.08525415667,134035.21764753
1644796800000,2022-02-14 00:00:00,UOS/USD,1.0061,1.0613,0.95891,1.0381,194298.05355454664,187166.9911902
1644710400000,2022-02-13 00:00:00,UOS/USD,1.0462,1.0764,1.0,1.0075,32294.67653828683,32054.26951691
1644624000000,2022-02-12 00:00:00,UOS/USD,1.0965,1.1227,0.9475,1.044,143344.3442220036,137303.0117069
1644537600000,2022-02-11 00:00:00,UOS/USD,1.2122,1.256,1.0967,1.0971,57246.59008842253,52179.919869130004
1644451200000,2022-02-10 00:00:00,UOS/USD,1.2981,1.3244,1.1935,1.2099,64984.07066837961,53710.2823939
1644364800000,2022-02-09 00:00:00,UOS/USD,1.2705,1.3204,1.2522,1.2991,67852.4142152864,52230.32423623
1644278400000,2022-02-08 00:00:00,UOS/USD,1.3047,1.3444,1.2032,1.2719,156623.95461346686,123141.72074335
1644192000000,2022-02-07 00:00:00,UOS/USD,1.1933,1.3489,1.1599,1.3011,199601.03996390372,153409.45351157
1644105600000,2022-02-06 00:00:00,UOS/USD,1.1436,1.1965,1.1358,1.195,44632.458347166954,37349.33752901
1644019200000,2022-02-05 00:00:00,UOS/USD,1.1794,1.1872,1.1275,1.1432,81826.72796094572,71576.91389166
1643932800000,2022-02-04 00:00:00,UOS/USD,1.0856,1.1943,1.0453,1.18,221497.59425560117,187709.82564034
1643846400000,2022-02-03 00:00:00,UOS/USD,1.0398,1.1509,0.97,1.0847,72381.49032560117,66729.50154476
1643760000000,2022-02-02 00:00:00,UOS/USD,1.15,1.15,1.0002,1.0391,97136.4318697698,93481.3125491
1643673600000,2022-02-01 00:00:00,UOS/USD,1.0928,1.15,1.0821,1.1494,74005.67556419161,64386.35424064
