https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BFT
1652832000000,2022-05-18 00:00:00,BFT/USD,0.0072303,0.0091368,0.0069397,0.0072258,12224.525899818687,1691788.57701828
1652745600000,2022-05-17 00:00:00,BFT/USD,0.0070369,0.0079974,0.0064696,0.0072446,2503.7448883469647,345601.53608853003
1652659200000,2022-05-16 00:00:00,BFT/USD,0.00704,0.0073795,0.0064793,0.0070369,4135.616333672123,587704.29218436
1652572800000,2022-05-15 00:00:00,BFT/USD,0.006977,0.0082828,0.0068336,0.006918,3287.938845795684,475273.03350617
1652486400000,2022-05-14 00:00:00,BFT/USD,0.0069025,0.0071529,0.0066393,0.0070017,2354.0230346153685,336207.35458751
1652400000000,2022-05-13 00:00:00,BFT/USD,0.0061612,0.0076504,0.0061257,0.0069308,1862.8839685473522,268783.39708942
1652313600000,2022-05-12 00:00:00,BFT/USD,0.0068881,0.0071943,0.00608,0.0062446,1602.5936216102405,256636.71357817
1652227200000,2022-05-11 00:00:00,BFT/USD,0.0089158,0.0089884,0.0066603,0.0067132,2821.030004169291,420221.35556356
1652140800000,2022-05-10 00:00:00,BFT/USD,0.0089383,0.0091588,0.0081542,0.0089199,2122.676457494567,237970.88055859
1652054400000,2022-05-09 00:00:00,BFT/USD,0.0095744,0.0097242,0.0089374,0.0089688,1574.8298231055496,175589.80277245
1651968000000,2022-05-08 00:00:00,BFT/USD,0.0099092,0.01102,0.0091709,0.0096111,1965.608953333175,204514.46279127
1651881600000,2022-05-07 00:00:00,BFT/USD,0.0097277,0.0099921,0.0096343,0.0099111,1074.9538141958237,108459.58714934
1651795200000,2022-05-06 00:00:00,BFT/USD,0.010132,0.010228,0.009218,0.0097295,2030.4492093134832,208689.98502631
1651708800000,2022-05-05 00:00:00,BFT/USD,0.010169,0.010291,0.010101,0.010191,824.097754616563,80865.2492019
1651622400000,2022-05-04 00:00:00,BFT/USD,0.010229,0.010425,0.01013,0.010167,827.5377968115336,81394.49167026
1651536000000,2022-05-03 00:00:00,BFT/USD,0.010182,0.010435,0.010101,0.010329,664.4090748427327,64324.62724782
1651449600000,2022-05-02 00:00:00,BFT/USD,0.010135,0.010431,0.010101,0.010188,846.3838587588706,83076.54679612
1651363200000,2022-05-01 00:00:00,BFT/USD,0.010409,0.01055,0.010121,0.010146,2436.8895710737943,240182.29559174
1651276800000,2022-04-30 00:00:00,BFT/USD,0.010461,0.010649,0.010325,0.010406,545.3568101586208,52407.91948478
1651190400000,2022-04-29 00:00:00,BFT/USD,0.011149,0.011199,0.010277,0.010491,3132.8821819863256,298625.69650046
1651104000000,2022-04-28 00:00:00,BFT/USD,0.0112,0.0112,0.01055,0.011148,419.7807726779267,37655.25409741
1651017600000,2022-04-27 00:00:00,BFT/USD,0.011175,0.01125,0.011086,0.011131,221.37767635498108,19888.39065268
1650931200000,2022-04-26 00:00:00,BFT/USD,0.011551,0.011551,0.010911,0.011173,1285.1772154135365,115025.25869628
1650844800000,2022-04-25 00:00:00,BFT/USD,0.011496,0.012685,0.01132,0.011538,422.1410482428484,36587.02099522
1650758400000,2022-04-24 00:00:00,BFT/USD,0.011626,0.012184,0.011468,0.011555,441.1685484190451,38179.88303064
1650672000000,2022-04-23 00:00:00,BFT/USD,0.011611,0.011988,0.011611,0.011621,239.509110630854,20610.02586962
1650585600000,2022-04-22 00:00:00,BFT/USD,0.011678,0.011912,0.011611,0.011709,1809.0744811255286,154502.90213729
1650499200000,2022-04-21 00:00:00,BFT/USD,0.012235,0.012799,0.011615,0.011679,1810.3926152742895,155012.63937617
