https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XSN
1650672000000,2022-04-23 00:00:00,XSN/USD,0.017885,0.017885,0.017496,0.017496,79.44964416509616,4541.01761346
1650585600000,2022-04-22 00:00:00,XSN/USD,0.018385,0.019157,0.017525,0.017525,3561.790500618826,203240.54211805
1650499200000,2022-04-21 00:00:00,XSN/USD,0.018895,0.019099,0.016809,0.018551,8469.870825172744,456572.19692592
1650412800000,2022-04-20 00:00:00,XSN/USD,0.01936,0.01963,0.018651,0.018804,2630.384577178284,139884.31063488
1650326400000,2022-04-19 00:00:00,XSN/USD,0.019,0.01936,0.019,0.01936,2920.286136938808,150841.22608155
1650240000000,2022-04-18 00:00:00,XSN/USD,0.0196,0.0196,0.01865,0.019,4615.96663576188,242945.61240852
1650153600000,2022-04-17 00:00:00,XSN/USD,0.0195,0.0196,0.0195,0.0196,511.370480981864,26090.33066234
1650067200000,2022-04-16 00:00:00,XSN/USD,0.0195,0.0196,0.0195,0.0195,112.499991517485,5769.23033423
1649980800000,2022-04-15 00:00:00,XSN/USD,0.01964,0.019859,0.0195,0.0195,618.416597251635,31713.67165393
1649894400000,2022-04-14 00:00:00,XSN/USD,0.01975,0.01975,0.01954,0.01964,184.17598418932482,9377.59593632
1649808000000,2022-04-13 00:00:00,XSN/USD,0.01967,0.01985,0.01967,0.01973,624.1275610263723,31633.42934751
1649721600000,2022-04-12 00:00:00,XSN/USD,0.019702,0.01976,0.01952,0.01967,1727.6875567460138,87833.63277814
1649635200000,2022-04-11 00:00:00,XSN/USD,0.02013,0.02027,0.019702,0.019702,3606.0542783349083,183029.85881306
1649548800000,2022-04-10 00:00:00,XSN/USD,0.02026,0.02058,0.0199,0.02013,687.4900749795737,34152.51241826
1649462400000,2022-04-09 00:00:00,XSN/USD,0.019601,0.0205,0.019601,0.02026,1498.6703288260612,73971.88197562
1649376000000,2022-04-08 00:00:00,XSN/USD,0.020001,0.0204,0.019601,0.01979,1196.6870745058914,60469.28117766
1649289600000,2022-04-07 00:00:00,XSN/USD,0.0201,0.02166,0.01962,0.020001,1893.9455623784918,94692.54349175
1649203200000,2022-04-06 00:00:00,XSN/USD,0.02029,0.0207,0.01962,0.02026,3758.1592127429813,185496.50605839
1649116800000,2022-04-05 00:00:00,XSN/USD,0.0215,0.02241,0.0199,0.0199,6125.478656145574,307812.99779626
1649030400000,2022-04-04 00:00:00,XSN/USD,0.02055,0.02212,0.0204,0.02209,5473.010164212029,247759.62717121
1648944000000,2022-04-03 00:00:00,XSN/USD,0.0205,0.0234,0.01995,0.02052,1797.6264756670043,87603.62941847
1648857600000,2022-04-02 00:00:00,XSN/USD,0.015123,0.02315,0.01451,0.0205,48206.72999915543,2351547.80483685
1648771200000,2022-04-01 00:00:00,XSN/USD,0.01916,0.021,0.01402,0.0167,7411.397113757725,443796.23435675
1648684800000,2022-03-31 00:00:00,XSN/USD,0.021001,0.023456,0.019,0.01916,3180.7514219995765,166009.99070979
1648598400000,2022-03-30 00:00:00,XSN/USD,0.023935,0.025065,0.018968,0.021,5929.25998636713,282345.71363653
