https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRD
1659571200000,2022-08-04 00:00:00,XRD/USD,0.061233,0.062542,0.061038,0.061436,2259.8941683491507,36784.52647225
1659484800000,2022-08-03 00:00:00,XRD/USD,0.061531,0.062264,0.0603,0.060917,47850.854793790844,785509.04991695
1659398400000,2022-08-02 00:00:00,XRD/USD,0.062453,0.06261,0.0605,0.06153,28588.58914259832,464628.45998047
1659312000000,2022-08-01 00:00:00,XRD/USD,0.063133,0.0645,0.062331,0.062513,33075.08506942341,529091.31011827
1659225600000,2022-07-31 00:00:00,XRD/USD,0.063307,0.064924,0.062358,0.063007,10309.326804875067,163621.92779969
1659139200000,2022-07-30 00:00:00,XRD/USD,0.061842,0.065,0.060842,0.063326,59387.923106984774,937812.63788941
1659052800000,2022-07-29 00:00:00,XRD/USD,0.064467,0.065353,0.061318,0.061841,39753.91235577022,642840.71014004
1658966400000,2022-07-28 00:00:00,XRD/USD,0.062627,0.06484,0.062,0.064341,36610.96486168426,569014.54533943
1658880000000,2022-07-27 00:00:00,XRD/USD,0.06011,0.063,0.05851,0.062569,52697.33964469757,842227.6150281699
1658793600000,2022-07-26 00:00:00,XRD/USD,0.0624,0.06464,0.058872,0.060216,54241.90995096538,900788.99214437
1658707200000,2022-07-25 00:00:00,XRD/USD,0.06403,0.06549,0.0615,0.062412,28625.941667680938,458660.86117543
1658620800000,2022-07-24 00:00:00,XRD/USD,0.06196,0.06615,0.061052,0.06403,39805.67636353371,621672.28429695
1658534400000,2022-07-23 00:00:00,XRD/USD,0.065679,0.065714,0.058,0.06195,155502.29746842844,2510125.86712556
1658448000000,2022-07-22 00:00:00,XRD/USD,0.06432,0.067,0.06403,0.06584,54303.49239603222,824779.65364569
1658361600000,2022-07-21 00:00:00,XRD/USD,0.06475,0.067251,0.063006,0.06448,26474.120780847854,410578.79622903
1658275200000,2022-07-20 00:00:00,XRD/USD,0.06854,0.070029,0.063619,0.06475,101330.28473132399,1564946.48233705
1658188800000,2022-07-19 00:00:00,XRD/USD,0.06709,0.073042,0.065419,0.06861,50246.411814248764,732348.22641377
1658102400000,2022-07-18 00:00:00,XRD/USD,0.061765,0.068,0.061765,0.066891,59137.433617297596,884086.55300859
1658016000000,2022-07-17 00:00:00,XRD/USD,0.063103,0.0667,0.061106,0.061958,98910.6830027883,1596415.03926512
1657929600000,2022-07-16 00:00:00,XRD/USD,0.062429,0.064645,0.062,0.063359,12480.183253734549,196975.69806554
1657843200000,2022-07-15 00:00:00,XRD/USD,0.0622,0.064644,0.060603,0.06247,26037.919613212387,416806.78106631
1657756800000,2022-07-14 00:00:00,XRD/USD,0.062071,0.063998,0.06,0.06227,57664.56612778173,926040.88851424
1657670400000,2022-07-13 00:00:00,XRD/USD,0.06198,0.063709,0.059978,0.061645,51607.99773649948,837180.59431421
1657584000000,2022-07-12 00:00:00,XRD/USD,0.062301,0.063533,0.060406,0.06198,34035.99819858735,549144.8563825
1657497600000,2022-07-11 00:00:00,XRD/USD,0.064319,0.065157,0.062,0.0623,21820.6219062064,350250.75290861
1657411200000,2022-07-10 00:00:00,XRD/USD,0.06239,0.071,0.06228,0.064143,39246.74190728179,611863.21044045
1657324800000,2022-07-09 00:00:00,XRD/USD,0.064251,0.064251,0.062071,0.06239,15962.631951970796,255852.41147573
1657238400000,2022-07-08 00:00:00,XRD/USD,0.065005,0.065572,0.06181,0.064248,63213.57387974529,983899.48138067
1657152000000,2022-07-07 00:00:00,XRD/USD,0.0626,0.0654,0.061552,0.065006,34485.32601048396,530494.50836052
1657065600000,2022-07-06 00:00:00,XRD/USD,0.062765,0.063299,0.061451,0.0626,10652.750197768011,170171.72839885
1656979200000,2022-07-05 00:00:00,XRD/USD,0.06179,0.06415,0.06112,0.0631,26238.781440608345,415828.54897953
1656892800000,2022-07-04 00:00:00,XRD/USD,0.060571,0.062829,0.06001,0.06179,20614.80669678798,333626.90883295
1656806400000,2022-07-03 00:00:00,XRD/USD,0.06138,0.063097,0.060215,0.060571,32032.054546378593,528834.83096496
1656720000000,2022-07-02 00:00:00,XRD/USD,0.062872,0.0631,0.06002,0.061487,40347.16950607255,656190.24356486
1656633600000,2022-07-01 00:00:00,XRD/USD,0.064261,0.06625,0.062711,0.062872,13127.529789498174,208797.7126463
1656547200000,2022-06-30 00:00:00,XRD/USD,0.064612,0.064912,0.0615,0.064261,49114.181680780435,764292.20959494
1656460800000,2022-06-29 00:00:00,XRD/USD,0.064778,0.066332,0.0637,0.06466,69568.6228732759,1075914.36550071
1656374400000,2022-06-28 00:00:00,XRD/USD,0.066821,0.067497,0.064518,0.064849,21582.38886931058,332809.89482198
1656288000000,2022-06-27 00:00:00,XRD/USD,0.067767,0.068123,0.06528,0.066821,23978.202808624374,358842.32215358
1656201600000,2022-06-26 00:00:00,XRD/USD,0.06719,0.069083,0.066648,0.06768,17803.7668722313,263058.02116181
1656115200000,2022-06-25 00:00:00,XRD/USD,0.06905,0.07,0.066333,0.06713,20873.646592412646,310943.64058413
1656028800000,2022-06-24 00:00:00,XRD/USD,0.06586,0.06999,0.06512,0.06885,32487.98535934137,471866.16353437
1655942400000,2022-06-23 00:00:00,XRD/USD,0.062652,0.066629,0.062329,0.06586,16695.022574904313,253492.59907234
1655856000000,2022-06-22 00:00:00,XRD/USD,0.066142,0.06753,0.062329,0.062641,15606.607114184333,249143.64576211
1655769600000,2022-06-21 00:00:00,XRD/USD,0.06755,0.07014,0.066696,0.066696,38439.979861498665,576346.105636
1655683200000,2022-06-20 00:00:00,XRD/USD,0.06849,0.07,0.066,0.06781,57102.11043010853,842089.81610542
1655596800000,2022-06-19 00:00:00,XRD/USD,0.063089,0.0701,0.063,0.06849,59331.794158215496,866284.04377596
1655510400000,2022-06-18 00:00:00,XRD/USD,0.063456,0.066827,0.06001,0.062312,96620.7809070333,1550596.68935411
1655424000000,2022-06-17 00:00:00,XRD/USD,0.060842,0.065375,0.06056,0.063456,21878.679020463274,344785.03247073997
1655337600000,2022-06-16 00:00:00,XRD/USD,0.0691,0.07024,0.06,0.060843,224388.3651838985,3687989.82929669
1655251200000,2022-06-15 00:00:00,XRD/USD,0.062751,0.075062,0.0556,0.069112,236021.04681241108,3415051.6091621
1655164800000,2022-06-14 00:00:00,XRD/USD,0.06069,0.066599,0.06,0.062751,98619.06836879715,1571593.57410714
1655078400000,2022-06-13 00:00:00,XRD/USD,0.07014,0.07014,0.0604,0.06083,161610.46389028907,2656755.94098782
1654992000000,2022-06-12 00:00:00,XRD/USD,0.0731,0.073877,0.0691,0.0714,87142.54667741865,1220483.84702267
1654905600000,2022-06-11 00:00:00,XRD/USD,0.07715,0.07955,0.071625,0.0731,175155.14037005347,2396103.15143712
1654819200000,2022-06-10 00:00:00,XRD/USD,0.0793,0.079983,0.0767,0.07715,27736.937847588168,359519.60917159
1654732800000,2022-06-09 00:00:00,XRD/USD,0.078693,0.080995,0.07751,0.0793,42788.586093065824,539578.63925682
1654646400000,2022-06-08 00:00:00,XRD/USD,0.07374,0.079771,0.073682,0.078829,116388.75940672912,1476471.34185045
1654560000000,2022-06-07 00:00:00,XRD/USD,0.08147,0.08172,0.07312,0.07375,156928.97048142552,2127850.44720577
