https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PNK
1649808000000,2022-04-13 00:00:00,PNK/USD,0.076877,0.078579,0.075417,0.077233,1600.0064975792582,20716.617217760002
1649721600000,2022-04-12 00:00:00,PNK/USD,0.074623,0.080177,0.073832,0.076769,17952.484212836007,233850.69771439
1649635200000,2022-04-11 00:00:00,PNK/USD,0.087702,0.088945,0.074019,0.074447,5133.524167649501,68955.42020027
1649548800000,2022-04-10 00:00:00,PNK/USD,0.083608,0.092564,0.082611,0.087583,6311.708097517773,72065.44760419
1649462400000,2022-04-09 00:00:00,PNK/USD,0.084031,0.088145,0.08242,0.083422,3767.6058568069025,45163.2166192
1649376000000,2022-04-08 00:00:00,PNK/USD,0.081866,0.087222,0.081215,0.085568,1873.5588796360307,21895.55534354
1649289600000,2022-04-07 00:00:00,PNK/USD,0.081836,0.085659,0.079975,0.081865,3836.3511002216524,46861.92023724
1649203200000,2022-04-06 00:00:00,PNK/USD,0.093324,0.095484,0.080884,0.081836,21009.865646206526,256731.33640704
1649116800000,2022-04-05 00:00:00,PNK/USD,0.09714,0.099379,0.093327,0.093525,1475.5982022272033,15777.58034993
1649030400000,2022-04-04 00:00:00,PNK/USD,0.099087,0.10207,0.095543,0.09718,2930.067277517424,30150.92897219
1648944000000,2022-04-03 00:00:00,PNK/USD,0.097665,0.10186,0.095005,0.099145,1055.894613849261,10650.00366987
1648857600000,2022-04-02 00:00:00,PNK/USD,0.096741,0.10185,0.095484,0.095671,1879.5565669335883,19646.04286496
1648771200000,2022-04-01 00:00:00,PNK/USD,0.092811,0.10079,0.091031,0.097539,13037.473826743799,133664.21458846
1648684800000,2022-03-31 00:00:00,PNK/USD,0.096814,0.10055,0.092801,0.092811,11912.501069601407,128352.25425436
1648598400000,2022-03-30 00:00:00,PNK/USD,0.098081,0.099901,0.095612,0.096671,7804.1466765163195,80728.93294283
1648512000000,2022-03-29 00:00:00,PNK/USD,0.09619,0.11344,0.095233,0.098301,35233.79404480582,358427.62581058
1648425600000,2022-03-28 00:00:00,PNK/USD,0.094446,0.09848,0.091998,0.094829,4181.454558760843,44094.68157168
1648339200000,2022-03-27 00:00:00,PNK/USD,0.086614,0.094603,0.086614,0.094509,1971.4092638360269,20859.48707357
1648252800000,2022-03-26 00:00:00,PNK/USD,0.089517,0.090404,0.088571,0.090016,4840.824847365399,53777.38232498
1648166400000,2022-03-25 00:00:00,PNK/USD,0.089983,0.095023,0.087736,0.089588,5567.88997724364,62149.95286471
1648080000000,2022-03-24 00:00:00,PNK/USD,0.088404,0.093178,0.084092,0.090093,10543.459223679341,117028.61735849999
1647993600000,2022-03-23 00:00:00,PNK/USD,0.085159,0.089506,0.084014,0.088319,2151.87943010762,24364.85275091
1647907200000,2022-03-22 00:00:00,PNK/USD,0.084239,0.088622,0.084151,0.084695,6510.3960964185,76868.7183
1647820800000,2022-03-21 00:00:00,PNK/USD,0.082887,0.089397,0.080212,0.084307,10940.83357101733,129773.72663026
1647734400000,2022-03-20 00:00:00,PNK/USD,0.086378,0.086636,0.08099,0.082852,2642.4122759564866,31893.16221644
1647648000000,2022-03-19 00:00:00,PNK/USD,0.08573,0.091062,0.082707,0.084401,3363.631090073283,39852.97674285
1647561600000,2022-03-18 00:00:00,PNK/USD,0.081068,0.086403,0.078468,0.084027,2196.0638301149374,26135.2164199
1647475200000,2022-03-17 00:00:00,PNK/USD,0.081594,0.082685,0.077802,0.081166,3626.5838135220365,44681.071058350004
1647388800000,2022-03-16 00:00:00,PNK/USD,0.074712,0.083605,0.072101,0.081555,18577.69482860864,227793.45016993
1647302400000,2022-03-15 00:00:00,PNK/USD,0.07298,0.075939,0.070876,0.073921,16069.361799782759,217385.61166357002
1647216000000,2022-03-14 00:00:00,PNK/USD,0.0712,0.073828,0.070664,0.073326,22190.763794662238,302631.58763143
