https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KAI
1657411200000,2022-07-10 00:00:00,KAI/USD,0.01127,0.011518,0.01112,0.01143,697.2049735253387,60997.81045716
1657324800000,2022-07-09 00:00:00,KAI/USD,0.01187,0.01213,0.01067,0.01138,4111.322233671142,361276.11895177
1657238400000,2022-07-08 00:00:00,KAI/USD,0.01198,0.01215,0.01133,0.01215,2893.4049058920896,238140.3214726
1657152000000,2022-07-07 00:00:00,KAI/USD,0.01211,0.01215,0.01151,0.01198,2285.597877241788,190784.46387661
1657065600000,2022-07-06 00:00:00,KAI/USD,0.01097,0.01215,0.01086,0.01215,6653.366579592476,547602.18762078
1656979200000,2022-07-05 00:00:00,KAI/USD,0.0109,0.01103,0.01074,0.01103,1193.4096667327335,108196.70595945
1656892800000,2022-07-04 00:00:00,KAI/USD,0.01065,0.011,0.01021,0.011,3691.5097398891794,335591.79453538
1656806400000,2022-07-03 00:00:00,KAI/USD,0.01157,0.01168,0.01006,0.01075,5056.332629789619,470356.52370136
1656720000000,2022-07-02 00:00:00,KAI/USD,0.01192,0.01208,0.01139,0.01157,1243.9757343936963,107517.34955866
1656633600000,2022-07-01 00:00:00,KAI/USD,0.01172,0.01215,0.01166,0.01196,3811.1073538185756,318654.46102162
1656547200000,2022-06-30 00:00:00,KAI/USD,0.01228,0.01266,0.01157,0.01177,2124.249887075714,180480.02439046
1656460800000,2022-06-29 00:00:00,KAI/USD,0.012731,0.01286,0.01197,0.01226,2005.643838912837,163592.48278245
1656374400000,2022-06-28 00:00:00,KAI/USD,0.01281,0.01308,0.01178,0.01267,6686.968269695673,527779.65822381
1656288000000,2022-06-27 00:00:00,KAI/USD,0.01301,0.01308,0.012271,0.01284,9768.907093898852,760818.30949368
1656201600000,2022-06-26 00:00:00,KAI/USD,0.01313,0.0132,0.01256,0.01292,4630.001370035444,358359.23916683
1656115200000,2022-06-25 00:00:00,KAI/USD,0.0122,0.01383,0.0112,0.01313,6726.724516080722,512317.17563448
1656028800000,2022-06-24 00:00:00,KAI/USD,0.011475,0.01187,0.011101,0.011101,24.10375451511392,2171.31380192
1655769600000,2022-06-21 00:00:00,KAI/USD,0.0116,0.0116,0.011101,0.011101,77.64617178875662,6994.52047462
1655683200000,2022-06-20 00:00:00,KAI/USD,0.010382,0.010382,0.010382,0.010382,7.613938134535161,733.37874538
1655596800000,2022-06-19 00:00:00,KAI/USD,0.01058,0.0109,0.01058,0.0109,38.283074278242,3512.2086493799998
1655510400000,2022-06-18 00:00:00,KAI/USD,0.01263,0.012647,0.0093,0.0093,76.46019354291299,8221.52618741
1655424000000,2022-06-17 00:00:00,KAI/USD,0.01297,0.0131,0.012638,0.012638,2125.4289657870468,168177.63615976
1655337600000,2022-06-16 00:00:00,KAI/USD,0.01268,0.01311,0.01262,0.01293,4803.498539026985,371500.27370665
1655251200000,2022-06-15 00:00:00,KAI/USD,0.01259,0.01272,0.007554,0.01264,3538.8959306036368,279975.94387687
1655164800000,2022-06-14 00:00:00,KAI/USD,0.01274,0.01297,0.01237,0.01259,3931.0703754501,312237.51989278
1655078400000,2022-06-13 00:00:00,KAI/USD,0.01379,0.01382,0.01196,0.01275,4420.147113210165,346678.20495766
1654992000000,2022-06-12 00:00:00,KAI/USD,0.013762,0.01546,0.01272,0.01379,3430.3218558135227,248754.30426494
1654905600000,2022-06-11 00:00:00,KAI/USD,0.01524,0.01544,0.01241,0.014223,6515.007775845576,458061.43400447
1654819200000,2022-06-10 00:00:00,KAI/USD,0.01681,0.01681,0.01516,0.01522,7762.465410758579,510017.438289
1654732800000,2022-06-09 00:00:00,KAI/USD,0.01775,0.019341,0.01491,0.01682,7357.96490155039,437453.32351667
1654473600000,2022-06-06 00:00:00,KAI/USD,0.018373,0.018373,0.018373,0.018373,7.00073911564519,381.03407803
1654300800000,2022-06-04 00:00:00,KAI/USD,0.017966,0.017966,0.017966,0.017966,1.7966e-05,0.001
1653609600000,2022-05-27 00:00:00,KAI/USD,0.015067,0.015067,0.015067,0.015067,20.615543286,1368.258
1653523200000,2022-05-26 00:00:00,KAI/USD,0.016295,0.016295,0.016295,0.016295,0.91252,56.0
1653350400000,2022-05-24 00:00:00,KAI/USD,0.016294,0.016294,0.016294,0.016294,0.16294,10.0
1652918400000,2022-05-19 00:00:00,KAI/USD,0.013755,0.014848,0.013755,0.014848,5.136370384046081,345.93011746
1652659200000,2022-05-16 00:00:00,KAI/USD,0.01526,0.01526,0.01526,0.01526,2.0295799999999997,133.0
1652400000000,2022-05-13 00:00:00,KAI/USD,0.0145,0.016999,0.01255,0.015107,920.7764006458688,60950.31446653
1652313600000,2022-05-12 00:00:00,KAI/USD,0.0151,0.0151,0.01318,0.01318,1563.4476915923128,118622.73836057
