https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTF
1651104000000,2022-04-28 00:00:00,QTF/USD,12.143,12.229,12.01,12.12,30620.433149844,2526.4383787
1651017600000,2022-04-27 00:00:00,QTF/USD,12.064,12.222,12.064,12.125,28639.0687945425,2361.98505522
1650931200000,2022-04-26 00:00:00,QTF/USD,12.383,12.82,11.677,11.994,89298.01615656984,7445.22395836
1650844800000,2022-04-25 00:00:00,QTF/USD,11.806,12.648,11.699,12.393,59052.59162533189,4764.99569316
1650758400000,2022-04-24 00:00:00,QTF/USD,12.085,12.085,11.806,11.936,29873.26704534176,2502.78711841
1650672000000,2022-04-23 00:00:00,QTF/USD,11.882,12.717,11.882,12.013,5435.615251594199,452.4777534
1650585600000,2022-04-22 00:00:00,QTF/USD,12.111,12.249,11.812,11.813,48627.77144953671,4116.46249467
1650499200000,2022-04-21 00:00:00,QTF/USD,10.468,12.213,10.363,12.13,94904.534385434,7823.9517218
1650412800000,2022-04-20 00:00:00,QTF/USD,10.503,10.563,10.342,10.345,16711.036634876753,1615.3732851500001
1650326400000,2022-04-19 00:00:00,QTF/USD,10.44,10.503,10.4,10.4,3602.201231096,346.36550299
1650240000000,2022-04-18 00:00:00,QTF/USD,10.1,10.44,9.961,10.407,32039.87336164389,3078.68486227
1650153600000,2022-04-17 00:00:00,QTF/USD,11.29,11.424,9.4671,9.51,51494.8743329322,5414.81328422
1650067200000,2022-04-16 00:00:00,QTF/USD,11.158,11.158,11.156,11.156,1018.4031543237601,91.28748246
1649980800000,2022-04-15 00:00:00,QTF/USD,11.223,11.29,11.156,11.156,3584.93405259404,321.34582759
1649894400000,2022-04-14 00:00:00,QTF/USD,11.519,11.72,11.212,11.212,28073.00217045816,2503.83537018
1649808000000,2022-04-13 00:00:00,QTF/USD,11.287,11.528,11.287,11.451,23344.0332265206,2038.6021506
1649721600000,2022-04-12 00:00:00,QTF/USD,11.421,11.468,11.244,11.355,20619.3735134577,1815.88494174
1649635200000,2022-04-11 00:00:00,QTF/USD,11.727,11.795,11.317,11.317,28646.926631575152,2531.31807295
1649548800000,2022-04-10 00:00:00,QTF/USD,12.015,12.091,11.727,11.727,16973.7521876514,1447.4078782
1649462400000,2022-04-09 00:00:00,QTF/USD,11.981,12.015,11.913,11.913,5058.63829673862,424.63177174
1649376000000,2022-04-08 00:00:00,QTF/USD,12.092,12.165,11.909,11.981,33092.76540722979,2762.10378159
1649289600000,2022-04-07 00:00:00,QTF/USD,12.286,12.286,12.056,12.092,36022.15768781504,2979.00741712
1649203200000,2022-04-06 00:00:00,QTF/USD,12.863,12.863,12.286,12.338,52668.11877703556,4268.77279762
1649116800000,2022-04-05 00:00:00,QTF/USD,12.904,13.018,12.863,12.863,17377.41588003736,1350.96135272
1649030400000,2022-04-04 00:00:00,QTF/USD,13.098,13.099,12.902,13.099,21926.28564470118,1673.89004082
1648944000000,2022-04-03 00:00:00,QTF/USD,13.138,13.256,13.098,13.098,17206.446862791123,1313.66978644
1648857600000,2022-04-02 00:00:00,QTF/USD,13.256,13.374,13.059,13.061,23939.19931658464,1832.87645024
1648771200000,2022-04-01 00:00:00,QTF/USD,13.04,13.295,12.915,13.256,33809.883199507276,2550.53433913
1648684800000,2022-03-31 00:00:00,QTF/USD,13.471,13.471,13.04,13.04,21940.2187588664,1682.53211341
1648598400000,2022-03-30 00:00:00,QTF/USD,13.307,13.55,13.198,13.198,30102.38614720952,2280.82937924
1648512000000,2022-03-29 00:00:00,QTF/USD,13.229,13.545,13.202,13.307,42608.75212928481,3201.98032083
1648425600000,2022-03-28 00:00:00,QTF/USD,13.244,13.323,13.126,13.149,36111.397446989366,2746.32272013
1648339200000,2022-03-27 00:00:00,QTF/USD,12.93,13.244,12.923,13.244,31528.794802566597,2380.60969515
1648252800000,2022-03-26 00:00:00,QTF/USD,12.909,12.933,12.854,12.933,518.41180217871,40.08441987
1648166400000,2022-03-25 00:00:00,QTF/USD,12.751,13.093,12.711,12.933,53375.624223861785,4127.08762266
1648080000000,2022-03-24 00:00:00,QTF/USD,12.525,12.788,12.487,12.711,26771.43238011219,2106.16256629
1647993600000,2022-03-23 00:00:00,QTF/USD,12.45,12.489,12.34,12.489,16326.131737479001,1307.240911
1647907200000,2022-03-22 00:00:00,QTF/USD,12.305,12.636,12.305,12.45,52835.0049026655,4243.77549419
1647820800000,2022-03-21 00:00:00,QTF/USD,12.267,12.305,12.193,12.305,20306.8810310151,1650.29508582
1647734400000,2022-03-20 00:00:00,QTF/USD,12.48,12.488,12.193,12.299,25022.1627451901,2034.4875799000001
1647648000000,2022-03-19 00:00:00,QTF/USD,12.489,12.491,12.341,12.473,28031.647354654124,2247.38614244
1647561600000,2022-03-18 00:00:00,QTF/USD,12.378,12.565,12.304,12.565,28337.66128785025,2255.28541885
1647475200000,2022-03-17 00:00:00,QTF/USD,12.562,12.562,12.378,12.418,18481.99681013952,1488.32314464
