https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume LRC
1659571200000,2022-08-04 00:00:00,LRC/USD,0.40151,0.40858,0.40151,0.40851,71.3203459357428,174.58653628
1659484800000,2022-08-03 00:00:00,LRC/USD,0.40179,0.4222,0.3896,0.4016,20342.680433949427,50654.08474589
1659398400000,2022-08-02 00:00:00,LRC/USD,0.4232,0.42761,0.39503,0.40402,12889.586497081296,31903.33769883
1659312000000,2022-08-01 00:00:00,LRC/USD,0.4171,0.43814,0.40944,0.42364,6845.141728441016,16157.9211794
1659225600000,2022-07-31 00:00:00,LRC/USD,0.42985,0.4516,0.41482,0.41813,13826.705860288452,33067.95939131
1659139200000,2022-07-30 00:00:00,LRC/USD,0.42341,0.46845,0.42341,0.43145,15748.03255384067,36500.2492846
1659052800000,2022-07-29 00:00:00,LRC/USD,0.43335,0.44848,0.41268,0.42382,6714.2256133786705,15842.16321405
1658966400000,2022-07-28 00:00:00,LRC/USD,0.3968,0.43904,0.38715,0.43303,30396.609225662178,70195.15790052
1658880000000,2022-07-27 00:00:00,LRC/USD,0.36821,0.39677,0.3582,0.39677,5759.453860512021,14515.85014117
1658793600000,2022-07-26 00:00:00,LRC/USD,0.36188,0.36832,0.35309,0.36773,3856.7469861973623,10487.98571288
1658707200000,2022-07-25 00:00:00,LRC/USD,0.40329,0.40488,0.36256,0.36256,5461.389110417434,15063.40774056
1658620800000,2022-07-24 00:00:00,LRC/USD,0.40627,0.42252,0.4017,0.40285,4666.328515978756,11583.29034623
1658534400000,2022-07-23 00:00:00,LRC/USD,0.40634,0.43473,0.39288,0.40644,8297.29136698959,20414.55409652
1658448000000,2022-07-22 00:00:00,LRC/USD,0.43062,0.44235,0.40182,0.40421,5927.256090654561,14663.80369277
1658361600000,2022-07-21 00:00:00,LRC/USD,0.42399,0.43624,0.40562,0.43094,75618.51146886847,175473.41037933
1658275200000,2022-07-20 00:00:00,LRC/USD,0.4521,0.47726,0.41518,0.42145,18222.349818996383,43237.27564123
1658188800000,2022-07-19 00:00:00,LRC/USD,0.43048,0.4726,0.41983,0.45063,60680.305953599345,134656.6050942
1658102400000,2022-07-18 00:00:00,LRC/USD,0.3776,0.45891,0.37445,0.43261,40721.5135251147,94129.84795801
1658016000000,2022-07-17 00:00:00,LRC/USD,0.38791,0.39797,0.37716,0.37717,3151.3389714743507,8355.22170765
1657929600000,2022-07-16 00:00:00,LRC/USD,0.37689,0.39108,0.3678,0.38716,3349.34528606898,8651.0623155
1657843200000,2022-07-15 00:00:00,LRC/USD,0.3832,0.39195,0.37072,0.37645,7887.9777837052625,20953.58688725
1657756800000,2022-07-14 00:00:00,LRC/USD,0.37144,0.38819,0.35791,0.38233,6617.506120778597,17308.36220223
1657670400000,2022-07-13 00:00:00,LRC/USD,0.36046,0.37387,0.34585,0.37108,8063.26217972618,21729.17478637
1657584000000,2022-07-12 00:00:00,LRC/USD,0.39291,0.39925,0.35864,0.35997,14693.417139121617,40818.4491461
1657497600000,2022-07-11 00:00:00,LRC/USD,0.38867,0.41388,0.3725,0.39291,58758.88469129311,149547.9491265
1657411200000,2022-07-10 00:00:00,LRC/USD,0.40471,0.40471,0.38378,0.39067,28450.629507989466,72825.22207487
1657324800000,2022-07-09 00:00:00,LRC/USD,0.40224,0.41217,0.39818,0.40566,67557.32746480401,166536.82262191
1657238400000,2022-07-08 00:00:00,LRC/USD,0.41815,0.42627,0.39799,0.40041,56425.65454888333,140919.69368618
1657152000000,2022-07-07 00:00:00,LRC/USD,0.40888,0.42481,0.40424,0.41679,3423.203692266748,8213.25773715
1657065600000,2022-07-06 00:00:00,LRC/USD,0.40653,0.41785,0.40103,0.40757,2439.4701578715926,5985.40166811
1656979200000,2022-07-05 00:00:00,LRC/USD,0.40141,0.43866,0.39101,0.40983,6355.479146405853,15507.59862969
1656892800000,2022-07-04 00:00:00,LRC/USD,0.3798,0.40244,0.37204,0.3999,2660.064746365788,6651.82482212
1656806400000,2022-07-03 00:00:00,LRC/USD,0.37982,0.38625,0.36874,0.38147,2277.0318156431003,5969.09800415
1656720000000,2022-07-02 00:00:00,LRC/USD,0.37772,0.38354,0.36791,0.37982,2451.51114368657,6454.4024635
1656633600000,2022-07-01 00:00:00,LRC/USD,0.3867,0.39478,0.36865,0.37797,3843.4378696739295,10168.63208634
1656547200000,2022-06-30 00:00:00,LRC/USD,0.3898,0.39233,0.35704,0.3847,5194.803376334997,13503.51800451
1656460800000,2022-06-29 00:00:00,LRC/USD,0.38903,0.39995,0.38077,0.38857,6784.902459716126,17461.21023166
1656374400000,2022-06-28 00:00:00,LRC/USD,0.40719,0.42444,0.38591,0.38896,6318.202044738584,16243.83495665
1656288000000,2022-06-27 00:00:00,LRC/USD,0.4016,0.42901,0.40016,0.40596,12365.604898602569,30460.15592325
1656201600000,2022-06-26 00:00:00,LRC/USD,0.43929,0.45273,0.39998,0.40085,8336.267805666459,20796.47700054
1656115200000,2022-06-25 00:00:00,LRC/USD,0.42405,0.44594,0.41347,0.44176,6859.774975651488,15528.2845338
1656028800000,2022-06-24 00:00:00,LRC/USD,0.40386,0.43629,0.40319,0.42541,5891.9746359825085,13850.10845063
