https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KNC
1654732800000,2022-06-09 00:00:00,KNC/USD,1.8678,1.9037,1.8466,1.8925,20191.44152568295,10669.18970974
1654646400000,2022-06-08 00:00:00,KNC/USD,1.8954,1.9486,1.8503,1.8709,16795.006510463172,8976.96643886
1654560000000,2022-06-07 00:00:00,KNC/USD,1.961,1.961,1.8086,1.898,45979.013660854034,24224.98085398
1654473600000,2022-06-06 00:00:00,KNC/USD,1.9077,2.0579,1.8867,1.9713,26146.46359438975,13263.56393973
1654387200000,2022-06-05 00:00:00,KNC/USD,1.905,1.9667,1.8628,1.9091,28904.271161617424,15140.26041675
1654300800000,2022-06-04 00:00:00,KNC/USD,1.9153,1.9313,1.8408,1.9037,8380.43961197039,4402.18501443
1654214400000,2022-06-03 00:00:00,KNC/USD,2.0286,2.0286,1.8516,1.9188,33027.99256944159,17212.83748668
1654128000000,2022-06-02 00:00:00,KNC/USD,1.9985,2.0629,1.9,2.0254,29935.944403753154,14780.26286351
1654041600000,2022-06-01 00:00:00,KNC/USD,2.1895,2.2753,1.9185,1.9919,49054.12106048167,24626.79906646
1653955200000,2022-05-31 00:00:00,KNC/USD,2.2251,2.4669,2.1211,2.1853,67028.18068154121,30672.30159774
1653868800000,2022-05-30 00:00:00,KNC/USD,1.9025,2.3145,1.8622,2.2277,55276.64479019099,24813.3253087
1653782400000,2022-05-29 00:00:00,KNC/USD,1.9059,1.9292,1.7974,1.9064,16152.229349621506,8472.63394336
1653696000000,2022-05-28 00:00:00,KNC/USD,1.7985,1.9677,1.7959,1.9149,19198.168996391854,10025.67705697
1653609600000,2022-05-27 00:00:00,KNC/USD,1.9172,1.9309,1.7552,1.8048,19807.209176084736,10974.73912682
1653523200000,2022-05-26 00:00:00,KNC/USD,2.1429,2.1429,1.8398,1.9225,54727.51612757258,28466.84844087
1653436800000,2022-05-25 00:00:00,KNC/USD,2.1492,2.3022,2.0297,2.136,34790.6344564632,16287.7502137
1653350400000,2022-05-24 00:00:00,KNC/USD,2.2029,2.2243,1.9817,2.1456,60695.06763283099,28288.15605557
1653264000000,2022-05-23 00:00:00,KNC/USD,2.572,2.572,2.1408,2.2102,107539.90925535164,48656.1891482
1653177600000,2022-05-22 00:00:00,KNC/USD,2.5597,2.6561,2.506,2.5821,77285.84522802914,29931.391204069998
1653091200000,2022-05-21 00:00:00,KNC/USD,2.6141,2.6604,2.4575,2.5741,68863.83968720381,26752.58913298
1653004800000,2022-05-20 00:00:00,KNC/USD,2.6476,2.8233,2.436,2.6169,270964.7002638524,103544.15539908
1652918400000,2022-05-19 00:00:00,KNC/USD,2.1931,2.6876,1.9986,2.6876,246705.98526450223,91794.16031571
1652832000000,2022-05-18 00:00:00,KNC/USD,2.1497,2.3376,1.9797,2.1906,312159.6039916751,142499.59097584
1652745600000,2022-05-17 00:00:00,KNC/USD,1.5383,2.1553,1.5342,2.1271,290534.22177953017,136587.00661912002
1652659200000,2022-05-16 00:00:00,KNC/USD,1.6944,1.6944,1.4858,1.5285,29737.053893556014,19455.05652179
1652572800000,2022-05-15 00:00:00,KNC/USD,1.6601,1.7154,1.5523,1.7132,73968.56727972312,43175.67550766
1652486400000,2022-05-14 00:00:00,KNC/USD,1.5513,1.7782,1.4515,1.6501,73810.28449881995,44730.7947996
1652400000000,2022-05-13 00:00:00,KNC/USD,1.301,1.8929,1.2815,1.5542,202595.86458115783,130353.79267865
1652313600000,2022-05-12 00:00:00,KNC/USD,1.4531,1.5316,1.1146,1.3039,190718.1455568325,146267.46342268
1652227200000,2022-05-11 00:00:00,KNC/USD,1.9844,2.0518,1.3519,1.4297,212342.68817559764,148522.54890928
1652140800000,2022-05-10 00:00:00,KNC/USD,2.0885,2.3111,1.9,1.9855,177669.7860491517,89483.64948333
