https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNT
1657756800000,2022-07-14 00:00:00,GNT/USD,0.23762,0.23933,0.22089,0.23586,2358.6671534837014,10000.28471756
1657670400000,2022-07-13 00:00:00,GNT/USD,0.23287,0.23815,0.2185,0.23248,4662.477600046485,20055.39229201
1657584000000,2022-07-12 00:00:00,GNT/USD,0.23901,0.24975,0.22699,0.23265,2261.7143442096885,9721.53167509
1657497600000,2022-07-11 00:00:00,GNT/USD,0.25026,0.25784,0.23635,0.23904,1892.5428762023903,7917.26437501
1657411200000,2022-07-10 00:00:00,GNT/USD,0.25437,0.2583,0.24157,0.25165,4890.863312848092,19435.18105642
1657324800000,2022-07-09 00:00:00,GNT/USD,0.24999,0.25655,0.24026,0.24995,1863.4404434912735,7455.25282453
1657238400000,2022-07-08 00:00:00,GNT/USD,0.2471,0.25647,0.24092,0.24657,3138.0542263647985,12726.82899933
1657152000000,2022-07-07 00:00:00,GNT/USD,0.24408,0.25033,0.23442,0.24831,11276.96519314266,45414.86526174
1657065600000,2022-07-06 00:00:00,GNT/USD,0.24167,0.2454,0.23223,0.24402,1424.2010805748823,5836.41128012
1656979200000,2022-07-05 00:00:00,GNT/USD,0.24453,0.24809,0.22965,0.24163,2659.760400469008,11007.57522025
1656892800000,2022-07-04 00:00:00,GNT/USD,0.22786,0.24733,0.22274,0.23971,7736.051051104378,32272.54203456
1656806400000,2022-07-03 00:00:00,GNT/USD,0.22397,0.23689,0.21698,0.23303,4042.2341086377787,17346.41079963
1656720000000,2022-07-02 00:00:00,GNT/USD,0.23154,0.23154,0.21745,0.22403,5286.467737059423,23597.14206606
1656633600000,2022-07-01 00:00:00,GNT/USD,0.23152,0.2478,0.2188,0.23148,11913.537428381736,51466.8110782
1656547200000,2022-06-30 00:00:00,GNT/USD,0.23282,0.24463,0.20588,0.22502,12246.12939827071,54422.40422305
1656460800000,2022-06-29 00:00:00,GNT/USD,0.23869,0.24472,0.2238,0.23308,4861.053954546563,20855.73174252
1656374400000,2022-06-28 00:00:00,GNT/USD,0.24715,0.26217,0.23914,0.24271,3201.857108308026,13192.11037167
1656288000000,2022-06-27 00:00:00,GNT/USD,0.24347,0.25342,0.22632,0.24694,4060.4486772636355,16443.05773574
1656201600000,2022-06-26 00:00:00,GNT/USD,0.25266,0.25266,0.23986,0.23986,1446.9180060646443,6032.34389254
1656115200000,2022-06-25 00:00:00,GNT/USD,0.25371,0.25485,0.2148,0.25485,1332.5485033519187,5228.7561442100005
1656028800000,2022-06-24 00:00:00,GNT/USD,0.24484,0.25629,0.2373,0.25396,6857.328749752663,27001.60950446
1655942400000,2022-06-23 00:00:00,GNT/USD,0.22829,0.24837,0.22438,0.24807,3618.6105404521477,14587.05422039
1655856000000,2022-06-22 00:00:00,GNT/USD,0.24333,0.24333,0.22247,0.22914,4109.261050173735,17933.40774275
1655769600000,2022-06-21 00:00:00,GNT/USD,0.23,0.25,0.23,0.24267,10971.861906805885,45213.09558992
1655683200000,2022-06-20 00:00:00,GNT/USD,0.22041,0.22955,0.20581,0.22748,8334.569883960747,36638.69300141
1655596800000,2022-06-19 00:00:00,GNT/USD,0.20769,0.22195,0.18667,0.22085,12744.868688594695,57708.25758929
1655510400000,2022-06-18 00:00:00,GNT/USD,0.2225,0.22351,0.18412,0.20701,11264.083968188379,54413.23592188
1655424000000,2022-06-17 00:00:00,GNT/USD,0.20931,0.2272,0.20329,0.22182,10294.422343644794,46408.90065659
1655337600000,2022-06-16 00:00:00,GNT/USD,0.21848,0.23995,0.2026,0.20981,23139.19034542147,110286.4036291
1655251200000,2022-06-15 00:00:00,GNT/USD,0.203,0.22004,0.17334,0.21718,19292.88977945805,88833.63928289
1655164800000,2022-06-14 00:00:00,GNT/USD,0.20001,0.20641,0.17526,0.203,14755.78932864141,72688.61738247
1655078400000,2022-06-13 00:00:00,GNT/USD,0.23558,0.23586,0.19002,0.19826,31144.681175892467,157090.0896595
1654992000000,2022-06-12 00:00:00,GNT/USD,0.2521,0.2563,0.22717,0.23339,20582.29691293465,88188.42672323
1654905600000,2022-06-11 00:00:00,GNT/USD,0.27001,0.28216,0.22554,0.2521,12712.815230473523,50427.66850644
1654819200000,2022-06-10 00:00:00,GNT/USD,0.29612,0.29786,0.26656,0.27389,15249.073260134011,55675.90368445
1654732800000,2022-06-09 00:00:00,GNT/USD,0.29295,0.30321,0.28564,0.29705,3836.8907499830243,12916.64955389
1654646400000,2022-06-08 00:00:00,GNT/USD,0.29718,0.29851,0.28028,0.28932,3026.405829827522,10460.41002982
1654560000000,2022-06-07 00:00:00,GNT/USD,0.30791,0.31081,0.27835,0.29737,5514.766025288045,18545.13241177
1654473600000,2022-06-06 00:00:00,GNT/USD,0.2988,0.31711,0.29275,0.30237,2309.233239647796,7637.11095561
1654387200000,2022-06-05 00:00:00,GNT/USD,0.30543,0.31278,0.28568,0.30329,11452.268257667756,37760.12482333
1654300800000,2022-06-04 00:00:00,GNT/USD,0.32022,0.32694,0.2939,0.30134,4116.4577736074125,13660.50897195
1654214400000,2022-06-03 00:00:00,GNT/USD,0.33361,0.35838,0.30583,0.32711,7585.134725041426,23188.33030186
1654128000000,2022-06-02 00:00:00,GNT/USD,0.27408,0.3991,0.26785,0.3396,34591.39394196491,101859.22833323
1654041600000,2022-06-01 00:00:00,GNT/USD,0.27603,0.3372,0.26188,0.27569,14476.4453219112,52509.86732167
1653955200000,2022-05-31 00:00:00,GNT/USD,0.28096,0.28742,0.26179,0.27269,6692.226486062385,24541.51778966
1653868800000,2022-05-30 00:00:00,GNT/USD,0.26018,0.28431,0.25369,0.28129,5732.193452267729,20378.234037
1653782400000,2022-05-29 00:00:00,GNT/USD,0.2482,0.2589,0.24239,0.25635,3343.094729547113,13041.13411175
1653696000000,2022-05-28 00:00:00,GNT/USD,0.24625,0.25235,0.23893,0.25163,2895.2630903852223,11506.03302621
1653609600000,2022-05-27 00:00:00,GNT/USD,0.24719,0.26281,0.23443,0.24689,13241.244927356662,53632.16382744
1653523200000,2022-05-26 00:00:00,GNT/USD,0.26231,0.26667,0.23572,0.24798,10123.094428012644,40822.22125983
1653436800000,2022-05-25 00:00:00,GNT/USD,0.26078,0.26397,0.24619,0.2584,5451.88612492096,21098.6305144
1653350400000,2022-05-24 00:00:00,GNT/USD,0.25959,0.2642,0.2326,0.26365,11963.264738093445,45375.5537193
1653264000000,2022-05-23 00:00:00,GNT/USD,0.26804,0.28433,0.25013,0.25436,8178.27372149457,32152.35776653
1653177600000,2022-05-22 00:00:00,GNT/USD,0.25542,0.27479,0.24892,0.27064,10640.800718572682,39317.17676091
1653091200000,2022-05-21 00:00:00,GNT/USD,0.2523,0.25878,0.24082,0.25782,2610.5176245234466,10125.34956374
1653004800000,2022-05-20 00:00:00,GNT/USD,0.26768,0.26915,0.23974,0.25291,9729.021217346006,38468.31369794
1652918400000,2022-05-19 00:00:00,GNT/USD,0.25833,0.26717,0.23524,0.26537,14046.513274997313,52931.80568639
1652832000000,2022-05-18 00:00:00,GNT/USD,0.27352,0.33114,0.25913,0.25913,17350.025880545792,66954.91020162
1652745600000,2022-05-17 00:00:00,GNT/USD,0.25895,0.28783,0.2517,0.27427,6431.111535423344,23448.1041872
1652659200000,2022-05-16 00:00:00,GNT/USD,0.27427,0.27528,0.24634,0.25409,11072.585921056863,43577.41713982
1652572800000,2022-05-15 00:00:00,GNT/USD,0.25679,0.27601,0.24345,0.27169,7748.580240888702,28519.93169012
1652486400000,2022-05-14 00:00:00,GNT/USD,0.23667,0.25669,0.22689,0.25661,17172.806289774202,66921.81243823
1652400000000,2022-05-13 00:00:00,GNT/USD,0.20228,0.25548,0.20154,0.23319,14058.386576819428,60287.26179004
1652313600000,2022-05-12 00:00:00,GNT/USD,0.21425,0.22249,0.16399,0.20539,37892.459886612836,184490.28621945
1652227200000,2022-05-11 00:00:00,GNT/USD,0.2737,0.27996,0.20502,0.21424,25535.68415208198,119191.95365983
1652140800000,2022-05-10 00:00:00,GNT/USD,0.26752,0.29978,0.24836,0.27298,18846.660044645392,69040.44268681
1652054400000,2022-05-09 00:00:00,GNT/USD,0.31108,0.3215,0.26623,0.2674,9608.211152477239,35931.97887987
1651968000000,2022-05-08 00:00:00,GNT/USD,0.33231,0.33299,0.30451,0.31651,3836.5385155747817,12121.381680120001
1651881600000,2022-05-07 00:00:00,GNT/USD,0.35662,0.35711,0.32283,0.33549,3664.436834269966,10922.64101544
1651795200000,2022-05-06 00:00:00,GNT/USD,0.37921,0.38686,0.3352,0.35662,9425.380699653202,26429.75912639
1651708800000,2022-05-05 00:00:00,GNT/USD,0.37201,0.41747,0.3477,0.37688,13458.838246311409,35711.20315833
1651622400000,2022-05-04 00:00:00,GNT/USD,0.34484,0.37436,0.33528,0.37201,3943.0231754988354,10599.23973952
1651536000000,2022-05-03 00:00:00,GNT/USD,0.34834,0.36029,0.33971,0.34418,3631.673885206627,10551.67030393
1651449600000,2022-05-02 00:00:00,GNT/USD,0.35626,0.36062,0.3341,0.34961,2132.1673539162402,6098.70242246
1651363200000,2022-05-01 00:00:00,GNT/USD,0.35186,0.35645,0.32034,0.35625,3422.9887713806247,9608.3895337
1651276800000,2022-04-30 00:00:00,GNT/USD,0.37503,0.37995,0.3428,0.34734,3377.2711850583128,9723.24288898
1651190400000,2022-04-29 00:00:00,GNT/USD,0.39404,0.40087,0.375,0.37865,2415.007221908489,6377.94063623
1651104000000,2022-04-28 00:00:00,GNT/USD,0.3975,0.40647,0.38531,0.39742,2781.7844418993677,6999.60858009
1651017600000,2022-04-27 00:00:00,GNT/USD,0.38962,0.40402,0.38007,0.40084,2365.0089572050783,5900.13211557
1650931200000,2022-04-26 00:00:00,GNT/USD,0.4103,0.43156,0.38625,0.39236,3994.6348868287237,10181.04518001
1650844800000,2022-04-25 00:00:00,GNT/USD,0.42098,0.42098,0.3873,0.40881,4344.285035523969,10626.66039364
1650758400000,2022-04-24 00:00:00,GNT/USD,0.44951,0.44951,0.41313,0.41641,3750.377683212488,9006.45441563
1650672000000,2022-04-23 00:00:00,GNT/USD,0.43788,0.49318,0.43647,0.43875,3301.6865141973376,7525.21142837
1650585600000,2022-04-22 00:00:00,GNT/USD,0.43207,0.44653,0.419,0.43306,2799.5618862776114,6464.60510386
1650499200000,2022-04-21 00:00:00,GNT/USD,0.43579,0.47421,0.42141,0.43207,2902.127552969787,6716.79948381
1650412800000,2022-04-20 00:00:00,GNT/USD,0.42979,0.44173,0.41873,0.44022,2433.4364147895185,5527.77341963
1650326400000,2022-04-19 00:00:00,GNT/USD,0.42388,0.4389,0.41227,0.43565,2580.83734289249,5924.1072946
1650240000000,2022-04-18 00:00:00,GNT/USD,0.41804,0.42717,0.39403,0.42461,2711.0420936058117,6384.7815492
1650153600000,2022-04-17 00:00:00,GNT/USD,0.42755,0.44398,0.4169,0.42207,2787.57955535861,6604.54321643
1650067200000,2022-04-16 00:00:00,GNT/USD,0.43266,0.4388,0.4223,0.42864,2539.519333014845,5924.59717482
1649980800000,2022-04-15 00:00:00,GNT/USD,0.43113,0.4504,0.4248,0.4372,3331.8739137796397,7620.9375887
1649894400000,2022-04-14 00:00:00,GNT/USD,0.44961,0.45136,0.4248,0.43634,3263.594491372328,7479.47584767
1649808000000,2022-04-13 00:00:00,GNT/USD,0.42425,0.496,0.4101,0.44333,4582.255449844957,10335.99226275
1649721600000,2022-04-12 00:00:00,GNT/USD,0.39729,0.43614,0.39291,0.42047,5261.489011865625,12513.35175367
1649635200000,2022-04-11 00:00:00,GNT/USD,0.44422,0.44773,0.39601,0.39695,3092.051571881701,7789.52405059
1649548800000,2022-04-10 00:00:00,GNT/USD,0.45876,0.46376,0.44203,0.44644,2649.503180089719,5934.73519418
1649462400000,2022-04-09 00:00:00,GNT/USD,0.45467,0.46625,0.44012,0.46559,3096.598248496415,6650.91228011
1649376000000,2022-04-08 00:00:00,GNT/USD,0.46644,0.47975,0.45031,0.45463,2746.845097107699,6041.93541365
1649289600000,2022-04-07 00:00:00,GNT/USD,0.4517,0.47375,0.44011,0.4651,3703.71112617803,7963.2576353
1649203200000,2022-04-06 00:00:00,GNT/USD,0.51333,0.51996,0.45123,0.45163,5810.970563901473,12866.66201072
1649116800000,2022-04-05 00:00:00,GNT/USD,0.54203,0.54333,0.5109,0.51824,3665.0484435489248,7072.10644402
1649030400000,2022-04-04 00:00:00,GNT/USD,0.57652,0.57933,0.5201,0.54337,3323.7889415275845,6116.99015685
1648944000000,2022-04-03 00:00:00,GNT/USD,0.56515,0.58512,0.53923,0.57652,3573.387847579371,6198.20274679
1648857600000,2022-04-02 00:00:00,GNT/USD,0.555,0.587,0.54794,0.56468,4995.713020076024,8846.98062633
1648771200000,2022-04-01 00:00:00,GNT/USD,0.54661,0.57135,0.52031,0.57135,5020.500714882666,8787.08447516
1648684800000,2022-03-31 00:00:00,GNT/USD,0.56654,0.57519,0.52966,0.55694,4372.032468133596,7850.0960034
1648598400000,2022-03-30 00:00:00,GNT/USD,0.55157,0.57982,0.53231,0.5683,3503.3175455191395,6164.55665233
1648512000000,2022-03-29 00:00:00,GNT/USD,0.55252,0.57875,0.53551,0.55157,3653.261806105415,6623.3874324299995
1648425600000,2022-03-28 00:00:00,GNT/USD,0.54348,0.56787,0.53984,0.55252,4881.2752725111295,8834.56756771
1648339200000,2022-03-27 00:00:00,GNT/USD,0.52267,0.58254,0.50974,0.54071,8905.591091127955,16470.18011712
1648252800000,2022-03-26 00:00:00,GNT/USD,0.50446,0.52792,0.49033,0.52723,3447.866062662988,6539.58625773
1648166400000,2022-03-25 00:00:00,GNT/USD,0.49665,0.5402,0.48354,0.50447,5666.034306208079,11231.65759353
1648080000000,2022-03-24 00:00:00,GNT/USD,0.48754,0.49297,0.47723,0.49278,2976.313448585192,6039.84221881
1647993600000,2022-03-23 00:00:00,GNT/USD,0.48778,0.48859,0.4741,0.48292,2677.3153170847763,5544.0141578
1647907200000,2022-03-22 00:00:00,GNT/USD,0.48288,0.49266,0.47391,0.48197,3610.894637744956,7491.9489548
1647820800000,2022-03-21 00:00:00,GNT/USD,0.48741,0.49058,0.4702,0.48301,3092.046821755014,6401.62071542
1647734400000,2022-03-20 00:00:00,GNT/USD,0.48715,0.48741,0.47074,0.4874,2967.25551676364,6087.9267886
1647648000000,2022-03-19 00:00:00,GNT/USD,0.47582,0.49456,0.46857,0.48188,2951.8888191617325,6125.77575156
1647561600000,2022-03-18 00:00:00,GNT/USD,0.46673,0.49243,0.45616,0.48267,5415.632580553706,11220.15575974
1647475200000,2022-03-17 00:00:00,GNT/USD,0.46503,0.47048,0.45465,0.46673,2732.6424901503465,5854.86788968
1647388800000,2022-03-16 00:00:00,GNT/USD,0.45965,0.47124,0.45,0.46885,12616.268857889549,26908.96631735
1647302400000,2022-03-15 00:00:00,GNT/USD,0.47034,0.47885,0.44777,0.45378,5365.6911671794605,11824.43291282
1647216000000,2022-03-14 00:00:00,GNT/USD,0.46006,0.48232,0.45011,0.47555,27635.89346850159,58113.5389938
1647129600000,2022-03-13 00:00:00,GNT/USD,0.4882,0.49611,0.45434,0.4588,8458.149113937887,18435.37295976
1647043200000,2022-03-12 00:00:00,GNT/USD,0.48325,0.50334,0.48098,0.49348,4306.062047722063,8725.90996134
1646956800000,2022-03-11 00:00:00,GNT/USD,0.46706,0.5249,0.43511,0.49177,20596.483719604927,41882.35093561
1646870400000,2022-03-10 00:00:00,GNT/USD,0.50546,0.51345,0.45023,0.46201,5700.978848424981,12339.51396815
1646784000000,2022-03-09 00:00:00,GNT/USD,0.50204,0.52796,0.4851,0.50711,15581.855241211106,30726.77573152
1646697600000,2022-03-08 00:00:00,GNT/USD,0.46957,0.5649,0.46957,0.50224,16960.583181816724,33769.87731327
1646611200000,2022-03-07 00:00:00,GNT/USD,0.4487,0.48273,0.43011,0.47565,9211.601403545941,19366.3437476
1646524800000,2022-03-06 00:00:00,GNT/USD,0.46664,0.48827,0.4501,0.4501,6837.083563302713,15190.14344213
1646438400000,2022-03-05 00:00:00,GNT/USD,0.48718,0.53,0.46648,0.47129,12205.440668785859,25897.94111648
