https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IQX
1656460800000,2022-06-29 00:00:00,IQX/USD,0.0045906,0.004655,0.0043,0.0044154,5263.273197820367,1192026.36178384
1656374400000,2022-06-28 00:00:00,IQX/USD,0.0047496,0.0048804,0.0045676,0.0046385,2122.2442673710257,457528.13784004
1656288000000,2022-06-27 00:00:00,IQX/USD,0.0045696,0.0047852,0.0045524,0.0046995,6562.906271909529,1396511.6016405
1656201600000,2022-06-26 00:00:00,IQX/USD,0.0047234,0.0047285,0.0045025,0.0045503,1696.9700002375205,372935.85043569
1656115200000,2022-06-25 00:00:00,IQX/USD,0.004723,0.0047629,0.0045186,0.0047166,1718.2443094553362,364297.22882062
1656028800000,2022-06-24 00:00:00,IQX/USD,0.0045761,0.0047461,0.0044497,0.004723,1711.8265970507707,362444.7590622
1655942400000,2022-06-23 00:00:00,IQX/USD,0.0044103,0.0046114,0.0043232,0.0045892,1389.4948013382455,302774.95017394
1655856000000,2022-06-22 00:00:00,IQX/USD,0.0043784,0.0045083,0.0042135,0.004404,3664.433360802258,832069.33714856
1655769600000,2022-06-21 00:00:00,IQX/USD,0.0042242,0.0046702,0.0041302,0.0045051,5446.617496096354,1208989.25575378
1655683200000,2022-06-20 00:00:00,IQX/USD,0.004239,0.0043109,0.0040322,0.004228,3629.0619016557257,858340.09026862
1655596800000,2022-06-19 00:00:00,IQX/USD,0.003972,0.0044802,0.003792,0.0041797,9772.582825496474,2338106.28167009
1655510400000,2022-06-18 00:00:00,IQX/USD,0.0041992,0.0045609,0.0038171,0.0040215,9071.53435633973,2255758.88507764
1655424000000,2022-06-17 00:00:00,IQX/USD,0.0039767,0.004439,0.0039767,0.004199,2114.2367695523376,503509.59027205
1655337600000,2022-06-16 00:00:00,IQX/USD,0.0043429,0.0046119,0.0039264,0.0039724,9247.543265707034,2327948.6621959102
1655251200000,2022-06-15 00:00:00,IQX/USD,0.00406,0.0046192,0.0037022,0.0043426,14207.40989908403,3271636.78420394
1655164800000,2022-06-14 00:00:00,IQX/USD,0.0040551,0.0041958,0.0035959,0.0040331,11530.596103041384,2858990.8762593
1655078400000,2022-06-13 00:00:00,IQX/USD,0.0048793,0.0048855,0.0039506,0.0040332,9936.769021728704,2463743.18698024
1654992000000,2022-06-12 00:00:00,IQX/USD,0.005341,0.0053535,0.0047759,0.0048678,14255.75234528336,2928582.18194736
1654905600000,2022-06-11 00:00:00,IQX/USD,0.0055834,0.0058427,0.0050549,0.005326,12207.680929442708,2292091.80049619
1654819200000,2022-06-10 00:00:00,IQX/USD,0.0060436,0.006069,0.0055395,0.0055755,8043.2123010502355,1442599.28276392
