https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IOT
1656633600000,2022-07-01 00:00:00,IOT/USD,0.27085,0.27575,0.25818,0.26343,452641.4859946447,1718260.9649419
1656547200000,2022-06-30 00:00:00,IOT/USD,0.27111,0.27131,0.25122,0.27045,656931.3360572393,2429030.63803749
1656460800000,2022-06-29 00:00:00,IOT/USD,0.27534,0.2796,0.2642,0.27077,488598.3029883927,1804477.24263542
1656374400000,2022-06-28 00:00:00,IOT/USD,0.28909,0.29511,0.27383,0.27551,808093.5497241344,2933082.46424498
1656288000000,2022-06-27 00:00:00,IOT/USD,0.28421,0.2991,0.28339,0.28871,547773.2694063735,1897313.11491245
1656201600000,2022-06-26 00:00:00,IOT/USD,0.30517,0.31127,0.28337,0.28472,473817.7460288768,1664153.36481061
1656115200000,2022-06-25 00:00:00,IOT/USD,0.30541,0.31302,0.28992,0.30461,200546.91679427781,658372.72838803
1656028800000,2022-06-24 00:00:00,IOT/USD,0.3009,0.31188,0.29618,0.30481,217390.23310806285,713199.15064487
1655942400000,2022-06-23 00:00:00,IOT/USD,0.28396,0.31949,0.28268,0.30057,1065114.6931401505,3543649.37665153
1655856000000,2022-06-22 00:00:00,IOT/USD,0.28934,0.31744,0.27119,0.28373,515448.50435016485,1816686.65403787
1655769600000,2022-06-21 00:00:00,IOT/USD,0.27957,0.29755,0.2753,0.28934,379252.0859511475,1310748.897322
1655683200000,2022-06-20 00:00:00,IOT/USD,0.27318,0.28789,0.26447,0.27998,749983.9442220371,2678705.42260889
1655596800000,2022-06-19 00:00:00,IOT/USD,0.25173,0.27894,0.24026,0.27298,1064792.813608316,3900625.73671447
1655510400000,2022-06-18 00:00:00,IOT/USD,0.26555,0.27084,0.23217,0.25221,1170611.1873340418,4641414.64388423
1655424000000,2022-06-17 00:00:00,IOT/USD,0.25504,0.26954,0.25362,0.2659,983486.3487756614,3698707.59223641
1655337600000,2022-06-16 00:00:00,IOT/USD,0.28608,0.29182,0.2493,0.25502,815499.6763329222,3197787.13956914
1655251200000,2022-06-15 00:00:00,IOT/USD,0.26743,0.28688,0.24055,0.28624,1439269.6897535115,5028192.04078225
1655164800000,2022-06-14 00:00:00,IOT/USD,0.25673,0.27055,0.23851,0.26752,924178.4882793071,3454614.56444119
1655078400000,2022-06-13 00:00:00,IOT/USD,0.28175825,0.28478,0.24352907,0.25612,2283138.2175965514,8914330.07026609
1654992000000,2022-06-12 00:00:00,IOT/USD,0.3007,0.3033,0.27944,0.2817,1805994.0187077331,6411054.37950917
1654905600000,2022-06-11 00:00:00,IOT/USD,0.32219444,0.32839864,0.29149,0.3007,1249043.6279309995,4153786.59105753
1654819200000,2022-06-10 00:00:00,IOT/USD,0.34621,0.34779945,0.31873,0.32226,793205.5010731382,2461383.6686934098
1654732800000,2022-06-09 00:00:00,IOT/USD,0.3493,0.35809,0.34171,0.34639,596756.187719017,1722786.99650399
1654646400000,2022-06-08 00:00:00,IOT/USD,0.35336,0.36378,0.3416948,0.3497,932250.4839051911,2665857.83215668
1654560000000,2022-06-07 00:00:00,IOT/USD,0.36384459,0.36384459,0.33382,0.35303,1732735.7016291807,4908182.59532952
1654473600000,2022-06-06 00:00:00,IOT/USD,0.34827926,0.38680791,0.34734633,0.36357993,1571216.7625953176,4321516.76412754
1654387200000,2022-06-05 00:00:00,IOT/USD,0.34902,0.35631,0.34369,0.34845,661082.5294303099,1897209.1531936
1654300800000,2022-06-04 00:00:00,IOT/USD,0.34704,0.35288,0.337,0.34906,953249.6415007882,2730904.83441468
1654214400000,2022-06-03 00:00:00,IOT/USD,0.35669,0.378,0.33841,0.34676,812093.799382702,2341947.74305774
1654128000000,2022-06-02 00:00:00,IOT/USD,0.33077,0.35662,0.33047,0.35646,914745.5423849965,2566194.08176232
1654041600000,2022-06-01 00:00:00,IOT/USD,0.35336665,0.36548,0.32625,0.33119,2422157.8285339894,7313499.28601102
1653955200000,2022-05-31 00:00:00,IOT/USD,0.34866,0.35687752,0.33830876,0.35257,1656903.495728272,4699502.21439224
1653868800000,2022-05-30 00:00:00,IOT/USD,0.32786,0.355,0.3249,0.34874,1571811.4243892843,4507115.39940725
1653782400000,2022-05-29 00:00:00,IOT/USD,0.3196,0.3279,0.308407,0.32765427,1353077.5105293961,4129589.12615238
1653696000000,2022-05-28 00:00:00,IOT/USD,0.3022856,0.32139,0.29981,0.31995,1191711.537971119,3724680.53749373
1653609600000,2022-05-27 00:00:00,IOT/USD,0.30919,0.31971347,0.29529,0.30177,1819395.4412552158,6029079.899444
1653523200000,2022-05-26 00:00:00,IOT/USD,0.33485,0.34127,0.3,0.30868,1543980.4167452103,5001880.31859923
1653436800000,2022-05-25 00:00:00,IOT/USD,0.33979,0.34677,0.32518,0.33429,1038386.1806156852,3106243.62265005
1653350400000,2022-05-24 00:00:00,IOT/USD,0.33123,0.34326383,0.31521,0.33957,930784.3244892583,2741067.59869617
1653264000000,2022-05-23 00:00:00,IOT/USD,0.34949,0.3624,0.32399,0.33111,1253836.5768711728,3786767.46963599
1653177600000,2022-05-22 00:00:00,IOT/USD,0.32962,0.35374,0.3288,0.34984,1230920.6853732571,3518524.71236353
1653091200000,2022-05-21 00:00:00,IOT/USD,0.31953,0.3351888,0.30919,0.32954,1600501.421320919,4856774.35613558
1653004800000,2022-05-20 00:00:00,IOT/USD,0.34075,0.34436,0.31545,0.31931,1606241.2225157653,5030350.51365684
1652918400000,2022-05-19 00:00:00,IOT/USD,0.33471,0.34961,0.31716,0.34079,2132711.0814482677,6258138.68202784
1652832000000,2022-05-18 00:00:00,IOT/USD,0.39101,0.39514,0.33203504,0.33394,1400483.8209232257,4193818.71271254
1652745600000,2022-05-17 00:00:00,IOT/USD,0.35855,0.39768,0.35855,0.39153,1475363.215977037,3768199.6679106
1652659200000,2022-05-16 00:00:00,IOT/USD,0.37374,0.37374,0.33985,0.35889,1423697.8600002574,3966947.69985304
1652572800000,2022-05-15 00:00:00,IOT/USD,0.34981,0.38117,0.3397,0.37372,2887610.648899002,7726668.759764
1652486400000,2022-05-14 00:00:00,IOT/USD,0.3166,0.35701,0.3111863,0.34955,2200655.5162136196,6295681.63700077
1652400000000,2022-05-13 00:00:00,IOT/USD,0.29518248,0.36011,0.29051158,0.31647,1462473.8611433862,4621208.52258788
1652313600000,2022-05-12 00:00:00,IOT/USD,0.29710275,0.31327,0.23434,0.29472,1544939.8481609782,5242059.74538877
1652227200000,2022-05-11 00:00:00,IOT/USD,0.39093101,0.39904361,0.27605,0.29711,2676370.6216813973,9008012.59358957
1652140800000,2022-05-10 00:00:00,IOT/USD,0.3887,0.43991623,0.3742,0.39138369,2560428.9066275307,6541991.84086473
1652054400000,2022-05-09 00:00:00,IOT/USD,0.46603,0.47641,0.3863,0.38932,4163267.027605439,10693689.06710531
1651968000000,2022-05-08 00:00:00,IOT/USD,0.47683642,0.48311,0.46,0.46626555,631350.589202779,1354057.98091405
1651881600000,2022-05-07 00:00:00,IOT/USD,0.49376,0.49915,0.4645,0.47666,629915.0573078151,1321518.60300385
1651795200000,2022-05-06 00:00:00,IOT/USD,0.49816,0.50476826,0.47677,0.49404,965781.5984333729,1954865.18993072
1651708800000,2022-05-05 00:00:00,IOT/USD,0.55418562,0.56049,0.4842,0.49855,1810891.3178289514,3632316.35308184
1651622400000,2022-05-04 00:00:00,IOT/USD,0.50193,0.55748604,0.49871,0.55380625,1301768.153225824,2350584.07742026
1651536000000,2022-05-03 00:00:00,IOT/USD,0.5330981,0.54742757,0.4871,0.50227,1066797.7316456959,2123952.71795189
1651449600000,2022-05-02 00:00:00,IOT/USD,0.54532809,0.55296264,0.51127,0.53276,896570.1043512013,1682878.03955102
1651363200000,2022-05-01 00:00:00,IOT/USD,0.52992,0.54998,0.51685836,0.5453832,940549.2069896993,1724565.78601926
1651276800000,2022-04-30 00:00:00,IOT/USD,0.57393,0.58639,0.5136,0.52990982,1240092.3978068754,2340195.16340889
1651190400000,2022-04-29 00:00:00,IOT/USD,0.61587,0.61734,0.56389519,0.5735,1102760.6779500663,1922860.81595478
1651104000000,2022-04-28 00:00:00,IOT/USD,0.61711,0.62779,0.60589,0.61611,719298.4692371691,1167483.8409329
1651017600000,2022-04-27 00:00:00,IOT/USD,0.60037685,0.62455,0.5903,0.61711,754312.6634954592,1222330.96772935
1650931200000,2022-04-26 00:00:00,IOT/USD,0.64993,0.65579,0.59363,0.60054,998718.182159697,1663033.57338345
1650844800000,2022-04-25 00:00:00,IOT/USD,0.6607,0.66121,0.60938993,0.65045,1110582.2246957964,1707405.98769436
1650758400000,2022-04-24 00:00:00,IOT/USD,0.68003993,0.68404285,0.65089405,0.66069,579347.5507173348,876882.57839128
1650672000000,2022-04-23 00:00:00,IOT/USD,0.6742,0.69509,0.66831,0.68089571,665568.4272644672,977489.52958518
1650585600000,2022-04-22 00:00:00,IOT/USD,0.663,0.69209,0.65784339,0.67341247,851495.012952475,1264447.94369857
1650499200000,2022-04-21 00:00:00,IOT/USD,0.6775,0.70264,0.64612801,0.66323,988506.0287176647,1490442.27299378
1650412800000,2022-04-20 00:00:00,IOT/USD,0.68638,0.69268,0.66121,0.6775,809267.6960670304,1194491.06430558
1650326400000,2022-04-19 00:00:00,IOT/USD,0.66599,0.687,0.65789,0.68637,427382.47205488465,622670.67624588
1650240000000,2022-04-18 00:00:00,IOT/USD,0.64439978,0.6726,0.61377,0.66577,730033.1149868628,1096524.49793001
1650153600000,2022-04-17 00:00:00,IOT/USD,0.67555,0.67869,0.6425,0.64501338,592447.49103972,918504.18830028
1650067200000,2022-04-16 00:00:00,IOT/USD,0.67543,0.67969,0.65988,0.67533,254558.13742171714,376938.88531787
1649980800000,2022-04-15 00:00:00,IOT/USD,0.66339064,0.67726,0.65577,0.67492,908789.1843467604,1346513.93401701
1649894400000,2022-04-14 00:00:00,IOT/USD,0.68032,0.684,0.64918,0.66324,861773.2344411473,1299338.45130141
1649808000000,2022-04-13 00:00:00,IOT/USD,0.66551,0.68552179,0.64698965,0.68125,930508.2862215784,1365883.72289406
1649721600000,2022-04-12 00:00:00,IOT/USD,0.65036129,0.67282,0.6382,0.66536186,775510.3310397279,1165546.7162481
1649635200000,2022-04-11 00:00:00,IOT/USD,0.71236,0.71683,0.63875,0.64963596,1162532.6918458461,1789514.07161304
1649548800000,2022-04-10 00:00:00,IOT/USD,0.74527,0.74849,0.71263,0.71263,414265.088531939,581318.62050705
1649462400000,2022-04-09 00:00:00,IOT/USD,0.72192,0.74679,0.71927,0.74609,464515.34191443457,622599.60851162
1649376000000,2022-04-08 00:00:00,IOT/USD,0.76527,0.77169,0.71522347,0.72147429,1187088.3496659847,1645364.72902726
1649289600000,2022-04-07 00:00:00,IOT/USD,0.73556219,0.77068,0.71864,0.76572,876639.1785433169,1144856.05514198
1649203200000,2022-04-06 00:00:00,IOT/USD,0.82217,0.82217,0.73255,0.73549756,2353834.4832365285,3200329.42493586
1649116800000,2022-04-05 00:00:00,IOT/USD,0.86395,0.86505,0.81753,0.8223,1220821.1957149713,1484642.09621181
1649030400000,2022-04-04 00:00:00,IOT/USD,0.90031,0.90031,0.83216,0.86398,1328817.6977016665,1538019.04870676
1648944000000,2022-04-03 00:00:00,IOT/USD,0.89113246,0.91131,0.88012,0.89974,885037.0730378681,983658.69366469
1648857600000,2022-04-02 00:00:00,IOT/USD,0.89103,0.92787127,0.87926,0.89073,1363136.6900331203,1530359.02016674
1648771200000,2022-04-01 00:00:00,IOT/USD,0.85244,0.89163,0.82331,0.89163,1107030.4547929566,1241580.53765907
1648684800000,2022-03-31 00:00:00,IOT/USD,0.89188103,0.94748,0.84227276,0.85233921,2445500.8365770006,2869163.83510856
1648598400000,2022-03-30 00:00:00,IOT/USD,0.86418,0.8978,0.8368,0.89164255,738181.5499984593,827889.55058107
1648512000000,2022-03-29 00:00:00,IOT/USD,0.84772,0.89894489,0.84287,0.8651,2361911.8257905263,2730218.27047801
1648425600000,2022-03-28 00:00:00,IOT/USD,0.875,0.90574,0.84116,0.84772,1369540.5030424562,1615557.61695189
1648339200000,2022-03-27 00:00:00,IOT/USD,0.83097,0.879,0.81847,0.875,1603523.6488570424,1832598.45583662
1648252800000,2022-03-26 00:00:00,IOT/USD,0.78214,0.83249,0.77671269,0.83111,692423.1970239417,833130.62894676
1648166400000,2022-03-25 00:00:00,IOT/USD,0.80617,0.81834,0.77299,0.78322,800661.6551794355,1022269.16470396
1648080000000,2022-03-24 00:00:00,IOT/USD,0.78339,0.82955,0.76858,0.80501,1610512.8935175422,2000612.28247791
1647993600000,2022-03-23 00:00:00,IOT/USD,0.77492,0.78971,0.75972,0.78298,925830.8287827375,1182445.05451319
1647907200000,2022-03-22 00:00:00,IOT/USD,0.74454,0.79562,0.74163,0.77482313,790705.0148410547,1020497.43254445
1647820800000,2022-03-21 00:00:00,IOT/USD,0.75278,0.75677,0.72998,0.74527,328671.6945883201,441010.23063899
1647734400000,2022-03-20 00:00:00,IOT/USD,0.75034,0.78672,0.74227,0.75323,718279.3231671392,953598.93149123
1647648000000,2022-03-19 00:00:00,IOT/USD,0.72881,0.7574,0.72697,0.75135,356377.9026027395,474316.76662373
1647561600000,2022-03-18 00:00:00,IOT/USD,0.71655,0.73578,0.6993,0.72912,203666.78589558016,279332.32649712
1647475200000,2022-03-17 00:00:00,IOT/USD,0.72442,0.72839,0.7098,0.71721,288297.35166559345,401970.62459474
1647388800000,2022-03-16 00:00:00,IOT/USD,0.70382974,0.72483784,0.68827,0.72365768,385221.02860946616,532324.93657701
1647302400000,2022-03-15 00:00:00,IOT/USD,0.71349,0.72061,0.68629,0.70432,281982.34092409414,400361.11557828
1647216000000,2022-03-14 00:00:00,IOT/USD,0.68148,0.71439,0.6707,0.71387,828347.771804353,1160362.21133309
1647129600000,2022-03-13 00:00:00,IOT/USD,0.70097,0.71439,0.67602,0.68237,433997.70356306783,636015.21691028
1647043200000,2022-03-12 00:00:00,IOT/USD,0.71211,0.72665,0.7005,0.7009,422164.7858417102,602318.14216252
1646956800000,2022-03-11 00:00:00,IOT/USD,0.73274,0.73363,0.7028,0.71221,413071.39148466423,579985.38560911
1646870400000,2022-03-10 00:00:00,IOT/USD,0.74093275,0.78798376,0.71118,0.73328,1200095.0777509152,1636612.31419228
1646784000000,2022-03-09 00:00:00,IOT/USD,0.70533541,0.745,0.70298504,0.74098,463850.90717757266,625996.52781124
1646697600000,2022-03-08 00:00:00,IOT/USD,0.69394,0.72003,0.69143261,0.70581,304864.8019943732,431936.07627318
1646611200000,2022-03-07 00:00:00,IOT/USD,0.69355,0.7308,0.67741,0.69516,564350.8680032317,811828.74158932
1646524800000,2022-03-06 00:00:00,IOT/USD,0.73762,0.74697531,0.69281,0.69318,701230.5332309629,1011613.91446805
1646438400000,2022-03-05 00:00:00,IOT/USD,0.71,0.74226,0.69489,0.73702,443477.7368802782,601717.37114363
1646352000000,2022-03-04 00:00:00,IOT/USD,0.76046,0.76391,0.71,0.71038,532559.5888463946,749682.68933021
1646265600000,2022-03-03 00:00:00,IOT/USD,0.78953771,0.79657,0.7505,0.76034,598851.0983610068,787609.6198556
1646179200000,2022-03-02 00:00:00,IOT/USD,0.80086,0.81029,0.76927,0.78879924,391461.4303442134,496275.11094485
1646092800000,2022-03-01 00:00:00,IOT/USD,0.79822,0.81688,0.77537,0.80025,707838.9804440431,884522.31233245
1646006400000,2022-02-28 00:00:00,IOT/USD,0.71005,0.79802,0.70476,0.79729,748581.7481062387,938907.7350854
1645920000000,2022-02-27 00:00:00,IOT/USD,0.74558,0.74589,0.69998,0.7111,483562.016080366,680019.71042099
1645833600000,2022-02-26 00:00:00,IOT/USD,0.74004489,0.76663,0.73327,0.74497,794568.5853296431,1066577.96331348
