https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume STJ
1655510400000,2022-06-18 00:00:00,STJ/USD,0.47202,0.47662,0.40169,0.42947,7949.39073101347,18509.76955553
1655424000000,2022-06-17 00:00:00,STJ/USD,0.42444,0.52516,0.41951,0.47154,19920.804418057214,42246.26631475
1655337600000,2022-06-16 00:00:00,STJ/USD,0.39971,0.50878,0.37532,0.42941,29900.74220275801,69632.15156321
1655251200000,2022-06-15 00:00:00,STJ/USD,0.36834,0.40133,0.32928,0.40133,4418.124454877114,11008.7071858
1655164800000,2022-06-14 00:00:00,STJ/USD,0.36588,0.37684,0.33626,0.37046,8097.306734593091,21857.43868324
1655078400000,2022-06-13 00:00:00,STJ/USD,0.42427,0.42656,0.35197,0.37183,4479.554237687756,12047.31796167
1654992000000,2022-06-12 00:00:00,STJ/USD,0.47198,0.47472,0.42076,0.42406,12603.018883003293,29719.89549357
1654905600000,2022-06-11 00:00:00,STJ/USD,0.50898,0.52864,0.46364,0.46938,15554.18913222646,33137.73303555
1654819200000,2022-06-10 00:00:00,STJ/USD,0.55958,0.56187,0.50626,0.51146,9292.089585262305,18167.77379514
1654732800000,2022-06-09 00:00:00,STJ/USD,0.57202,0.58638,0.55691,0.56144,2437.8388268694594,4342.11817268
1654646400000,2022-06-08 00:00:00,STJ/USD,0.58457,0.59947,0.56629,0.57072,4033.069316809253,7066.63393049
1654560000000,2022-06-07 00:00:00,STJ/USD,0.60686,0.6073,0.55536,0.58757,3427.4944521578072,5833.33807403
1654473600000,2022-06-06 00:00:00,STJ/USD,0.58119,0.62837,0.57827,0.60822,5311.246085301986,8732.44234866
1654387200000,2022-06-05 00:00:00,STJ/USD,0.56248,0.58675,0.54668,0.57946,5859.532796881204,10112.057427400001
1654300800000,2022-06-04 00:00:00,STJ/USD,0.57307,0.5735,0.54327,0.56411,2095.803751039315,3715.23949414
1654214400000,2022-06-03 00:00:00,STJ/USD,0.59852,0.59852,0.55567,0.57316,3048.5305164793417,5318.81240226
1654128000000,2022-06-02 00:00:00,STJ/USD,0.56839,0.6096,0.55852,0.59829,4962.402129821114,8294.30899701
1654041600000,2022-06-01 00:00:00,STJ/USD,0.58546,0.60963,0.55249,0.56676,4729.681921738356,8345.1230181
1653955200000,2022-05-31 00:00:00,STJ/USD,0.59537,0.60163,0.56016,0.58405,3163.509041440547,5416.50379495
1653868800000,2022-05-30 00:00:00,STJ/USD,0.55285,0.59767,0.53784,0.59605,3686.909058981193,6185.57010147
1653782400000,2022-05-29 00:00:00,STJ/USD,0.52265,0.55433,0.50925,0.55277,5568.056158115503,10073.00714242
1653696000000,2022-05-28 00:00:00,STJ/USD,0.50873,0.53067,0.49793,0.52473,1991.0662782369723,3794.45863251
1653609600000,2022-05-27 00:00:00,STJ/USD,0.53026,0.53763,0.49025,0.50833,13144.551791452217,25858.30423436
1653523200000,2022-05-26 00:00:00,STJ/USD,0.56469,0.5781,0.49999,0.52526,7855.319479178047,14955.10695499
1653436800000,2022-05-25 00:00:00,STJ/USD,0.57705,0.58299,0.54524,0.56258,2878.665182371578,5116.8992541
1653350400000,2022-05-24 00:00:00,STJ/USD,0.56322,0.5853,0.53055,0.57777,2926.5241118496674,5065.20607136
1653264000000,2022-05-23 00:00:00,STJ/USD,0.5892,0.62109,0.55624,0.55909,2966.4270256330783,5305.81306343
1653177600000,2022-05-22 00:00:00,STJ/USD,0.55689,0.64208,0.54845,0.59174,11399.163327774491,19263.8039135
1653091200000,2022-05-21 00:00:00,STJ/USD,0.5415,0.56346,0.51702,0.55564,1674.1155231421862,3012.9499732599998
1653004800000,2022-05-20 00:00:00,STJ/USD,0.55752,0.57894,0.51703,0.5403,3257.056301858334,6028.23672378
1652918400000,2022-05-19 00:00:00,STJ/USD,0.5373,0.57233,0.4956,0.55647,12643.980651278749,22721.76514687
1652832000000,2022-05-18 00:00:00,STJ/USD,0.61415,0.62168,0.53093,0.53472,11662.405880186285,21810.30423434
1652745600000,2022-05-17 00:00:00,STJ/USD,0.5363,0.63455,0.53572,0.62047,14759.034868243043,23786.86297201
