https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CHZ
1655424000000,2022-06-17 00:00:00,CHZ/USD,0.092079,0.107,0.0883,0.094937,50473.911739556344,531656.90657548
1655337600000,2022-06-16 00:00:00,CHZ/USD,0.10357,0.1045,0.0902,0.091768,3845.249168537098,41901.85215475
1655251200000,2022-06-15 00:00:00,CHZ/USD,0.09351,0.10206,0.085609,0.10206,35798.21716535864,350756.58598235
1655164800000,2022-06-14 00:00:00,CHZ/USD,0.092639,0.09808,0.08655,0.09468,16904.51708535654,178543.69545159
1655078400000,2022-06-13 00:00:00,CHZ/USD,0.0942,0.09879,0.085258,0.095405,16171.509309847252,169503.79235729
1654992000000,2022-06-12 00:00:00,CHZ/USD,0.10448,0.10576,0.096396,0.10075,3964.18611770311,39346.76047348
1654905600000,2022-06-11 00:00:00,CHZ/USD,0.11544,0.11672,0.10185,0.1075,4900.881967983275,45589.59970217
1654819200000,2022-06-10 00:00:00,CHZ/USD,0.11655,0.12016,0.11307,0.1156,675.865884737352,5846.59069842
1654732800000,2022-06-09 00:00:00,CHZ/USD,0.12027,0.12116,0.11949,0.12003,544.4480863536878,4535.93340293
1654646400000,2022-06-08 00:00:00,CHZ/USD,0.12214,0.12281,0.12097,0.12155,342.6063494846135,2818.6454091699998
1654560000000,2022-06-07 00:00:00,CHZ/USD,0.12572,0.12604,0.11871,0.12361,5334.137447925398,43152.96050421
1654473600000,2022-06-06 00:00:00,CHZ/USD,0.12831,0.13494,0.12685,0.12823,10272.173396816863,80107.41165731
1654387200000,2022-06-05 00:00:00,CHZ/USD,0.12856,0.12856,0.12265,0.12614,8936.045795155998,70842.28472456
1654300800000,2022-06-04 00:00:00,CHZ/USD,0.12296,0.12883,0.12296,0.12708,5852.563048333958,46054.16311248
1654214400000,2022-06-03 00:00:00,CHZ/USD,0.1249,0.1249,0.11837,0.12228,712.9106299047012,5830.14908329
1654128000000,2022-06-02 00:00:00,CHZ/USD,0.11815,0.1272,0.11815,0.12589,6187.50639027743,49150.10239318
1654041600000,2022-06-01 00:00:00,CHZ/USD,0.12467,0.12994,0.11568,0.11887,8260.7996350317,69494.40258292
1653955200000,2022-05-31 00:00:00,CHZ/USD,0.12208,0.12902,0.11879,0.12185,8009.780198941657,65734.75748003
1653868800000,2022-05-30 00:00:00,CHZ/USD,0.11296,0.12234,0.11296,0.1222,6024.0660456228725,49296.77615076
1653782400000,2022-05-29 00:00:00,CHZ/USD,0.11237,0.12242,0.10994,0.1129,11587.961957464588,102639.16702803
1653696000000,2022-05-28 00:00:00,CHZ/USD,0.10797,0.11318,0.10649,0.11312,12895.365405941906,113997.21893513
1653609600000,2022-05-27 00:00:00,CHZ/USD,0.1136,0.1136,0.10562,0.10749,7008.068117287548,65197.39619767
1653523200000,2022-05-26 00:00:00,CHZ/USD,0.12267,0.12295,0.10667,0.11422,18601.39982577346,162855.89061262002
1653436800000,2022-05-25 00:00:00,CHZ/USD,0.11858,0.12684,0.11726,0.12004,11613.691415047919,96748.51228797
1653350400000,2022-05-24 00:00:00,CHZ/USD,0.11857,0.12018,0.11253,0.11894,8970.874699089194,75423.53034378
1653264000000,2022-05-23 00:00:00,CHZ/USD,0.12261,0.128,0.11742,0.11742,21601.584877293873,183968.53072129
1653177600000,2022-05-22 00:00:00,CHZ/USD,0.12116,0.12611,0.11924,0.12407,18689.40987073396,150636.01088687
1653091200000,2022-05-21 00:00:00,CHZ/USD,0.11872,0.12262,0.10907,0.1213,9713.476273167962,80078.12261474
1653004800000,2022-05-20 00:00:00,CHZ/USD,0.12293,0.12843,0.11501,0.11832,8734.335258253428,73819.60157415
1652918400000,2022-05-19 00:00:00,CHZ/USD,0.11916,0.12421,0.11052,0.12282,28984.045056424224,235987.99101469
1652832000000,2022-05-18 00:00:00,CHZ/USD,0.12193,0.14052,0.11759,0.11907,32377.72547342196,271921.77268348
1652745600000,2022-05-17 00:00:00,CHZ/USD,0.11547,0.12149,0.11364,0.12037,10438.064700925133,86716.49664306
1652659200000,2022-05-16 00:00:00,CHZ/USD,0.12431,0.12432,0.11221,0.11373,10263.267549656352,90242.39470374
1652572800000,2022-05-15 00:00:00,CHZ/USD,0.11547,0.12499,0.113,0.12483,24729.239087193277,198103.33323074
1652486400000,2022-05-14 00:00:00,CHZ/USD,0.114,0.11979,0.10543,0.1187,34454.86943048569,290268.4871987
1652400000000,2022-05-13 00:00:00,CHZ/USD,0.097396,0.1231,0.095837,0.11151,144709.89941261944,1297730.2431407
1652313600000,2022-05-12 00:00:00,CHZ/USD,0.10727,0.11164,0.08221,0.096731,251668.5755036998,2601736.52193919
1652227200000,2022-05-11 00:00:00,CHZ/USD,0.14326,0.14511,0.099543,0.10712,86645.85054750642,808867.16343826
1652140800000,2022-05-10 00:00:00,CHZ/USD,0.13298,0.15463,0.12877,0.14065,48997.31684644286,348363.4329644
1652054400000,2022-05-09 00:00:00,CHZ/USD,0.16296,0.16347,0.13439,0.13439,34802.128299239725,258963.67511898
1651968000000,2022-05-08 00:00:00,CHZ/USD,0.16639,0.16859,0.161,0.1643,578.689629542507,3522.15234049
1651881600000,2022-05-07 00:00:00,CHZ/USD,0.17253,0.17279,0.16652,0.16882,1001.0254767236376,5929.54316268
1651795200000,2022-05-06 00:00:00,CHZ/USD,0.17648,0.17648,0.16795,0.17361,1383.5065563798426,7969.04876666
1651708800000,2022-05-05 00:00:00,CHZ/USD,0.19643,0.19719,0.17072,0.17478,14961.793221955086,85603.57719393
1651622400000,2022-05-04 00:00:00,CHZ/USD,0.18052,0.19619,0.17937,0.19552,10544.591647709933,53931.01292814
1651536000000,2022-05-03 00:00:00,CHZ/USD,0.17797,0.19088,0.17537,0.17828,7341.402591917607,41179.0587386
1651449600000,2022-05-02 00:00:00,CHZ/USD,0.18465,0.18465,0.17302,0.17954,14653.268952890357,81615.62299705
1651363200000,2022-05-01 00:00:00,CHZ/USD,0.17157,0.18532,0.1702,0.1808,3364.9462076469117,18611.42813964
1651276800000,2022-04-30 00:00:00,CHZ/USD,0.19147,0.19271,0.16811,0.17143,10079.57040996069,58797.00408307
1651190400000,2022-04-29 00:00:00,CHZ/USD,0.20208,0.2031,0.18669,0.19026,17103.863332028654,89897.31594675
1651104000000,2022-04-28 00:00:00,CHZ/USD,0.20749,0.20957,0.19936,0.2027,2826.972099575282,13946.58164566
1651017600000,2022-04-27 00:00:00,CHZ/USD,0.19695,0.2105,0.19642,0.2105,13606.130450740766,64637.19929093
1650931200000,2022-04-26 00:00:00,CHZ/USD,0.21498,0.21773,0.19606,0.19683,15011.650105251545,76267.08380456
