https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CEL
1655164800000,2022-06-14 00:00:00,CEL/USD,0.28423,1.5657,0.093568,0.71157,72057.65014160691,101265.7224751
1655078400000,2022-06-13 00:00:00,CEL/USD,0.35881,0.43853,0.13889,0.27536,62137.68226719828,225659.79905287
1654992000000,2022-06-12 00:00:00,CEL/USD,0.41531,0.5,0.33702,0.35126,15441.16979794502,43959.37424684
1654905600000,2022-06-11 00:00:00,CEL/USD,0.38671,0.44302,0.25189,0.39495,19812.293757940362,50164.05559676
1654819200000,2022-06-10 00:00:00,CEL/USD,0.62989,0.64084,0.37308,0.38469,7225.243595584865,18781.98964253
1654732800000,2022-06-09 00:00:00,CEL/USD,0.665,0.68311,0.62182,0.62878,1549.3164817251736,2464.00407412
1654646400000,2022-06-08 00:00:00,CEL/USD,0.6778,0.70329,0.66211,0.66923,1725.1122419353942,2577.75688767
1654560000000,2022-06-07 00:00:00,CEL/USD,0.68,0.69779,0.63218,0.6788,3527.7641313787917,5197.05971034
1654473600000,2022-06-06 00:00:00,CEL/USD,0.73703,0.80141,0.66422,0.6829,3497.054705207143,5120.88842467
1654387200000,2022-06-05 00:00:00,CEL/USD,0.808,0.8087,0.74087,0.74096,1415.3594452391678,1910.1698408
1654300800000,2022-06-04 00:00:00,CEL/USD,0.814,0.82762,0.79251,0.79794,2213.2381125900474,2773.68989221
1654214400000,2022-06-03 00:00:00,CEL/USD,0.81432,0.8456,0.75954,0.81508,1486.2479495903115,1823.4381282699999
1654128000000,2022-06-02 00:00:00,CEL/USD,0.71027,0.84213,0.69895,0.81312,3684.246908123443,4531.00023136
1654041600000,2022-06-01 00:00:00,CEL/USD,0.83068,0.8414,0.70396,0.71743,858.9789074546029,1197.29995603
1653955200000,2022-05-31 00:00:00,CEL/USD,0.79177,0.86703,0.75018,0.82951,5537.739597753943,6675.91662277
1653868800000,2022-05-30 00:00:00,CEL/USD,0.5558,0.81621,0.54056,0.7989,5421.232506409488,6785.87120592
1653782400000,2022-05-29 00:00:00,CEL/USD,0.53346,0.58964,0.51764,0.55048,1258.3956265342335,2285.99699632
1653696000000,2022-05-28 00:00:00,CEL/USD,0.54331,0.55669,0.51818,0.52852,2971.3539328534616,5622.02742158
1653609600000,2022-05-27 00:00:00,CEL/USD,0.65662,0.66323,0.49608,0.54172,28570.465328541297,52740.28156343
1653523200000,2022-05-26 00:00:00,CEL/USD,0.7541,0.75544,0.6479,0.66185,1426.592485081659,2155.46194014
1653436800000,2022-05-25 00:00:00,CEL/USD,0.77581,0.78253,0.73672,0.75468,313.7958575287656,415.79988542
1653350400000,2022-05-24 00:00:00,CEL/USD,0.7389,0.78522,0.72957,0.77567,1372.6744609151722,1769.66295063
1653264000000,2022-05-23 00:00:00,CEL/USD,0.7514,0.80976,0.72915,0.7374,2613.7265238798,3544.516577
1653177600000,2022-05-22 00:00:00,CEL/USD,0.7202,0.76973,0.71523,0.75641,992.8447615391345,1312.57487545
1653091200000,2022-05-21 00:00:00,CEL/USD,0.7799,0.7892,0.7153,0.7191,2316.251188761975,3221.04184225
1653004800000,2022-05-20 00:00:00,CEL/USD,0.82158,0.84346,0.7564,0.7821,2515.2097290879237,3215.96947844
1652918400000,2022-05-19 00:00:00,CEL/USD,0.75797,0.84852,0.73297,0.83158,26781.169423149757,32205.16297067
1652832000000,2022-05-18 00:00:00,CEL/USD,0.84401,0.86305,0.75204,0.75857,4081.592982180724,5380.64118299
1652745600000,2022-05-17 00:00:00,CEL/USD,0.84805,0.86862,0.80848,0.84392,4174.380736291365,4946.41759443
1652659200000,2022-05-16 00:00:00,CEL/USD,0.95499,0.95499,0.80055,0.84805,27804.407857879964,32786.28366002
1652572800000,2022-05-15 00:00:00,CEL/USD,0.75308,0.99505,0.66223,0.93243,1778.5357754902977,1907.42015539
1652486400000,2022-05-14 00:00:00,CEL/USD,0.7868,0.83863,0.75337,0.76584,9352.989613867016,12212.72016853
1652400000000,2022-05-13 00:00:00,CEL/USD,0.99162,1.0207,0.77045,0.7864,20972.6773189174,26669.22344725
1652313600000,2022-05-12 00:00:00,CEL/USD,1.0422,1.1847,0.49446,0.98359,62248.13535864093,63286.66960689
1652227200000,2022-05-11 00:00:00,CEL/USD,1.5623,1.5775,0.98233,1.041,30533.54279262678,29330.97290358
1652140800000,2022-05-10 00:00:00,CEL/USD,1.608,1.6438,1.5157,1.5638,22064.051856371938,14109.25428851
1652054400000,2022-05-09 00:00:00,CEL/USD,1.9365,1.9399,1.6043,1.612,17932.75687673704,11124.53900542
1651968000000,2022-05-08 00:00:00,CEL/USD,1.9645,2.0302,1.8822,1.9309,6197.78769834974,3209.7921686
1651881600000,2022-05-07 00:00:00,CEL/USD,2.0032,2.0162,1.9377,1.9678,1003.812159895884,510.11899578
1651795200000,2022-05-06 00:00:00,CEL/USD,2.0311,2.071,2.0023,2.0048,2520.6268324490397,1257.29590605
1651708800000,2022-05-05 00:00:00,CEL/USD,2.1791,2.1803,2.0066,2.0318,20010.057940470757,9848.43879342
1651622400000,2022-05-04 00:00:00,CEL/USD,2.0957,2.1806,2.0871,2.1765,11079.356166967229,5090.44620582
1651536000000,2022-05-03 00:00:00,CEL/USD,2.0742,2.1487,2.0719,2.0962,14038.278103952965,6697.01273922
1651449600000,2022-05-02 00:00:00,CEL/USD,2.0922,2.1387,2.0688,2.0769,17090.235303137473,8228.72324288
1651363200000,2022-05-01 00:00:00,CEL/USD,2.0161,2.0926,2.0119,2.0926,5294.355572682,2530.03707
1651276800000,2022-04-30 00:00:00,CEL/USD,2.0632,2.0692,1.9891,2.0142,3650.7490398150667,1812.50572923
1651190400000,2022-04-29 00:00:00,CEL/USD,2.1126,2.1838,2.0576,2.065,15607.435754473148,7558.08026851
1651104000000,2022-04-28 00:00:00,CEL/USD,2.1137,2.1775,2.0619,2.1125,17915.571943972624,8480.74411549
1651017600000,2022-04-27 00:00:00,CEL/USD,2.0597,2.1294,2.0597,2.111,13564.244143414111,6425.50646301
1650931200000,2022-04-26 00:00:00,CEL/USD,2.1528,2.2018,2.049,2.0634,13754.509470456427,6665.94430089
1650844800000,2022-04-25 00:00:00,CEL/USD,2.1208,2.1665,2.0467,2.1536,14160.880062410655,6575.44579421
1650758400000,2022-04-24 00:00:00,CEL/USD,2.1305,2.1501,2.0821,2.1227,9332.420091568743,4396.48565109
1650672000000,2022-04-23 00:00:00,CEL/USD,2.1137,2.1386,2.084,2.1298,6495.939970176924,3050.02346238
1650585600000,2022-04-22 00:00:00,CEL/USD,2.1045,2.1866,2.0625,2.111,25112.238751881385,11895.89708758
1650499200000,2022-04-21 00:00:00,CEL/USD,2.2168,2.23,2.0976,2.1029,6784.981866370376,3226.48811944
1650412800000,2022-04-20 00:00:00,CEL/USD,2.2302,2.3756,2.1863,2.2143,26543.82706149448,11987.45746353
1650326400000,2022-04-19 00:00:00,CEL/USD,2.1176,2.345,2.068,2.2391,26493.752237713703,11832.32202122
1650240000000,2022-04-18 00:00:00,CEL/USD,2.1582,2.2249,1.9845,2.114,11605.157281327958,5489.66758814
1650153600000,2022-04-17 00:00:00,CEL/USD,2.1345,2.2277,2.0741,2.166,2498.6970584350197,1153.59974997
1650067200000,2022-04-16 00:00:00,CEL/USD,2.2874,2.312,2.1184,2.1323,4111.447854071189,1928.17514143
1649980800000,2022-04-15 00:00:00,CEL/USD,2.1593,2.3494,2.1126,2.2879,35707.2548905803,15606.99982105
1649894400000,2022-04-14 00:00:00,CEL/USD,2.2027,2.252,2.1269,2.1604,5832.13419319102,2699.56220755
1649808000000,2022-04-13 00:00:00,CEL/USD,2.4404,2.5225,2.1352,2.2067,11773.744099395593,5335.45298382
1649721600000,2022-04-12 00:00:00,CEL/USD,2.6205,2.758,2.4393,2.445,5402.35907075565,2209.55381217
1649635200000,2022-04-11 00:00:00,CEL/USD,2.9401,2.9401,2.611,2.6174,18333.52674009914,7004.4803011
1649548800000,2022-04-10 00:00:00,CEL/USD,2.9794,2.9818,2.9106,2.938,1498.3237355372,509.9808494
1649462400000,2022-04-09 00:00:00,CEL/USD,2.9854,3.0123,2.9414,2.9751,1127.424642313089,378.95352839000003
1649376000000,2022-04-08 00:00:00,CEL/USD,3.0304,3.0769,2.9818,2.9818,296.05774535665597,99.28826392
1649289600000,2022-04-07 00:00:00,CEL/USD,3.0062,3.0578,2.993,3.0346,1509.654100163026,497.48042581
1649203200000,2022-04-06 00:00:00,CEL/USD,3.1105,3.1418,3.0077,3.0103,5819.131793577935,1933.07371145
1649116800000,2022-04-05 00:00:00,CEL/USD,3.1605,3.1862,3.1098,3.1144,2890.9304191415117,928.24634573
1649030400000,2022-04-04 00:00:00,CEL/USD,3.1509,3.1917,3.1255,3.1643,608.527717967064,192.31037448
1648944000000,2022-04-03 00:00:00,CEL/USD,3.152,3.1672,3.1299,3.1469,5019.541471995826,1595.0749855400002
1648857600000,2022-04-02 00:00:00,CEL/USD,3.2547,3.2967,3.1479,3.152,4225.89416782032,1340.70246441
1648771200000,2022-04-01 00:00:00,CEL/USD,3.3372,3.3386,3.245,3.259,4437.42072667581,1361.58966759
1648684800000,2022-03-31 00:00:00,CEL/USD,3.2865,3.4265,3.282,3.3336,11263.021677123264,3378.63621224
1648598400000,2022-03-30 00:00:00,CEL/USD,3.3671,3.3688,3.2823,3.2881,3144.683219289544,956.38308424
1648512000000,2022-03-29 00:00:00,CEL/USD,3.324,3.4635,3.3189,3.3711,1395.2886228987961,413.89713236
1648425600000,2022-03-28 00:00:00,CEL/USD,3.3204,3.4541,3.297,3.326,8665.80345845906,2605.47307831
1648339200000,2022-03-27 00:00:00,CEL/USD,3.2818,3.3479,3.2573,3.3168,1466.065123685328,442.01191621
1648252800000,2022-03-26 00:00:00,CEL/USD,3.3182,3.3182,3.274,3.2848,132.45196176488002,40.322686850000004
1648166400000,2022-03-25 00:00:00,CEL/USD,3.284,3.3697,3.2455,3.3201,4375.524615798168,1317.88940568
1648080000000,2022-03-24 00:00:00,CEL/USD,3.2052,3.3955,3.1828,3.2802,24627.30577924478,7507.86713592
1647993600000,2022-03-23 00:00:00,CEL/USD,3.2162,3.2222,3.1618,3.2028,2786.76901897686,870.10397745
1647907200000,2022-03-22 00:00:00,CEL/USD,3.2024,3.2979,3.2024,3.2228,6383.5919439363115,1980.75957054
1647820800000,2022-03-21 00:00:00,CEL/USD,3.2509,3.3262,3.1873,3.2028,6689.752505550288,2088.72002796
1647734400000,2022-03-20 00:00:00,CEL/USD,3.3092,3.3092,3.2337,3.2522,3532.30881900764,1086.1290262
1647648000000,2022-03-19 00:00:00,CEL/USD,3.3639,3.392,3.2857,3.3049,2877.141678039319,870.56845231
1647561600000,2022-03-18 00:00:00,CEL/USD,3.2733,3.3826,3.2147,3.3647,13723.456341220573,4078.65674242
1647475200000,2022-03-17 00:00:00,CEL/USD,3.1731,3.3209,3.1521,3.2736,703.925648128032,215.03105087
1647388800000,2022-03-16 00:00:00,CEL/USD,3.0435,3.1964,3.0177,3.1685,1482.2882817422949,467.82019307
1647302400000,2022-03-15 00:00:00,CEL/USD,3.0273,3.0916,2.9975,3.0452,745.783501197072,244.90460436
1647216000000,2022-03-14 00:00:00,CEL/USD,3.0134,3.0391,2.997,3.0305,507.929218132105,167.60574761
1647129600000,2022-03-13 00:00:00,CEL/USD,3.074,3.1019,2.9954,3.0181,800.6371072482,265.278522
1647043200000,2022-03-12 00:00:00,CEL/USD,3.14,3.1856,3.0542,3.0649,547.211632117092,178.54143108
1646956800000,2022-03-11 00:00:00,CEL/USD,3.1007,3.2615,3.0779,3.1398,4516.862056501746,1438.58273027
1646870400000,2022-03-10 00:00:00,CEL/USD,3.0974,3.1446,3.0545,3.1027,410.571231581405,132.32708015
1646784000000,2022-03-09 00:00:00,CEL/USD,2.903,3.1134,2.8918,3.0998,5777.3076039965445,1863.76785728
1646697600000,2022-03-08 00:00:00,CEL/USD,2.8412,2.949,2.8277,2.9037,1860.739113479913,640.81658349
1646611200000,2022-03-07 00:00:00,CEL/USD,2.9046,2.9532,2.8215,2.8454,4590.676705710894,1613.36778861
1646524800000,2022-03-06 00:00:00,CEL/USD,3.0451,3.0688,2.9003,2.9084,2189.4447897783557,752.80043659
1646438400000,2022-03-05 00:00:00,CEL/USD,3.0627,3.0938,2.973,3.0432,2170.28136550128,713.15765165
1646352000000,2022-03-04 00:00:00,CEL/USD,3.0988,3.205,2.9465,3.0618,19209.71342671189,6273.99354194
1646265600000,2022-03-03 00:00:00,CEL/USD,3.1551,3.1743,3.0823,3.0997,8397.596667873564,2709.16432812
1646179200000,2022-03-02 00:00:00,CEL/USD,3.2001,3.2794,3.1219,3.1572,2164.009504979376,685.42046908
1646092800000,2022-03-01 00:00:00,CEL/USD,3.1873,3.2552,3.0361,3.2085,8364.506781553604,2606.98356913
1646006400000,2022-02-28 00:00:00,CEL/USD,2.8867,3.2133,2.8654,3.1827,5161.743072746133,1621.81263479
1645920000000,2022-02-27 00:00:00,CEL/USD,3.145,3.1681,2.882,2.8873,1718.3061604136742,595.12560538
1645833600000,2022-02-26 00:00:00,CEL/USD,3.0957,3.1779,3.0702,3.1411,3980.4349727273257,1267.21052266
1645747200000,2022-02-25 00:00:00,CEL/USD,2.9354,3.1764,2.9297,3.0916,3095.543320867572,1001.27549517
1645660800000,2022-02-24 00:00:00,CEL/USD,3.0836,3.0836,2.6865,2.9314,11829.045142395433,4035.28864788
1645574400000,2022-02-23 00:00:00,CEL/USD,3.0945,3.328,3.0751,3.0765,8288.449646679299,2694.1165762
1645488000000,2022-02-22 00:00:00,CEL/USD,3.0571,3.1254,3.008,3.1001,2877.523038022603,928.20329603
1645401600000,2022-02-21 00:00:00,CEL/USD,3.131,3.2867,3.0503,3.055,7677.274885943,2513.0196026
1645315200000,2022-02-20 00:00:00,CEL/USD,3.1496,3.1972,3.0745,3.13,4049.9040714155003,1293.8990643500001
1645228800000,2022-02-19 00:00:00,CEL/USD,3.1377,3.1857,3.0855,3.1478,1780.587715221926,565.66100617
1645142400000,2022-02-18 00:00:00,CEL/USD,3.2815,3.3525,3.1064,3.138,21160.9425866952,6743.4488804
1645056000000,2022-02-17 00:00:00,CEL/USD,3.5184,3.5184,3.2614,3.2854,20875.0060745649,6353.87047987
1644969600000,2022-02-16 00:00:00,CEL/USD,3.6159,3.6159,3.4273,3.5182,10862.28151188239,3087.45424134
1644883200000,2022-02-15 00:00:00,CEL/USD,3.1611,3.6509,3.1514,3.6125,18184.432903926372,5033.75305299
1644796800000,2022-02-14 00:00:00,CEL/USD,3.0969,3.2,3.0836,3.1592,89300.47792315795,28266.80106456
1644710400000,2022-02-13 00:00:00,CEL/USD,3.1731,3.2085,3.0854,3.0923,667.298419186939,215.79355793000002
1644624000000,2022-02-12 00:00:00,CEL/USD,3.1704,3.2101,3.1232,3.1683,1425.851843989164,450.03687908
1644537600000,2022-02-11 00:00:00,CEL/USD,3.4656,3.4771,3.1703,3.172,2440.97762514736,769.53897388
1644451200000,2022-02-10 00:00:00,CEL/USD,3.3001,3.5686,3.2093,3.4647,15458.790538864272,4461.79771376
1644364800000,2022-02-09 00:00:00,CEL/USD,3.0765,3.3278,3.0367,3.2943,9748.874784847116,2959.31602612
1644278400000,2022-02-08 00:00:00,CEL/USD,3.136,3.145,2.9903,3.0731,5583.604815089561,1816.92909931
1644192000000,2022-02-07 00:00:00,CEL/USD,2.9981,3.152,2.9452,3.1396,15055.491149913416,4795.35327746
1644105600000,2022-02-06 00:00:00,CEL/USD,2.6845,3.0072,2.6821,2.986,12658.625875994161,4239.32547756
1644019200000,2022-02-05 00:00:00,CEL/USD,2.7481,2.7892,2.6763,2.6863,6917.237067912352,2575.00542304
1643932800000,2022-02-04 00:00:00,CEL/USD,2.464,2.7493,2.4471,2.7275,7729.88931534945,2834.05657758
1643846400000,2022-02-03 00:00:00,CEL/USD,2.4172,2.4734,2.3531,2.459,6039.8749462100595,2456.2321863399998
1643760000000,2022-02-02 00:00:00,CEL/USD,2.6097,2.6164,2.4001,2.4195,45087.936124715496,18635.22881782
1643673600000,2022-02-01 00:00:00,CEL/USD,2.5503,2.6765,2.5373,2.6046,10972.565234810658,4212.76404623
1643587200000,2022-01-31 00:00:00,CEL/USD,2.5626,2.682,2.5422,2.5539,11359.372942708585,4447.85345656
1643500800000,2022-01-30 00:00:00,CEL/USD,2.4103,2.6391,2.3954,2.5659,21717.397540174952,8463.8518805
1643414400000,2022-01-29 00:00:00,CEL/USD,2.33,2.424,2.2974,2.4137,21305.834247292263,8827.04323126
1643328000000,2022-01-28 00:00:00,CEL/USD,2.0549,2.3431,2.0444,2.3304,29363.19980240268,12600.06857295
1643241600000,2022-01-27 00:00:00,CEL/USD,2.2422,2.2713,2.0091,2.0546,31807.746158184582,15481.23535393
1643155200000,2022-01-26 00:00:00,CEL/USD,2.2089,2.4512,2.1763,2.2454,61120.66015613487,27220.38841905
1643068800000,2022-01-25 00:00:00,CEL/USD,2.3453,2.346,2.1679,2.2042,29296.700150687324,13291.30757222
1642982400000,2022-01-24 00:00:00,CEL/USD,2.4809,2.4868,2.0021,2.341,174187.3764110807,74407.25177748
1642896000000,2022-01-23 00:00:00,CEL/USD,2.5888,2.6579,2.3847,2.4834,55960.24029605379,22533.72001935
1642809600000,2022-01-22 00:00:00,CEL/USD,2.6188,2.7234,2.3622,2.5875,67737.53351510437,26178.756914049998
1642723200000,2022-01-21 00:00:00,CEL/USD,3.0656,3.164,2.6226,2.6234,108279.82208416787,41274.61389196
1642636800000,2022-01-20 00:00:00,CEL/USD,3.0504,3.187,2.8248,3.0684,58531.66624336953,19075.63102704
1642550400000,2022-01-19 00:00:00,CEL/USD,3.0685,3.1794,3.0413,3.0486,47623.2002038432,15621.33444986
1642464000000,2022-01-18 00:00:00,CEL/USD,3.1042,3.205,3.0153,3.0673,131252.2946085343,42790.82404999
1642377600000,2022-01-17 00:00:00,CEL/USD,3.2069,3.2109,3.0878,3.1046,13682.749961473677,4407.25051906
1642291200000,2022-01-16 00:00:00,CEL/USD,3.2103,3.2529,3.1244,3.2125,18864.8443268245,5872.32508228
1642204800000,2022-01-15 00:00:00,CEL/USD,3.1767,3.2237,3.1562,3.2114,8664.483269544431,2698.03925688
1642118400000,2022-01-14 00:00:00,CEL/USD,3.3788,3.4462,3.0565,3.1759,113666.95952697768,35790.47184325
1642032000000,2022-01-13 00:00:00,CEL/USD,3.2788,3.4701,3.1815,3.3837,24867.698667271798,7349.26224762
1641945600000,2022-01-12 00:00:00,CEL/USD,3.1613,3.3726,3.111,3.2824,39493.94463287962,12032.03285184
1641859200000,2022-01-11 00:00:00,CEL/USD,3.0806,3.2212,3.0264,3.1596,15208.862763170762,4813.5405631
1641772800000,2022-01-10 00:00:00,CEL/USD,3.2009,3.2317,3.036,3.0801,20845.550641767633,6767.81618836
1641686400000,2022-01-09 00:00:00,CEL/USD,3.2033,3.2837,3.1052,3.2028,36539.618511585504,11408.64821768
1641600000000,2022-01-08 00:00:00,CEL/USD,3.3205,3.4527,3.0514,3.2077,23380.258658977655,7288.79217476
1641513600000,2022-01-07 00:00:00,CEL/USD,3.5363,3.5421,3.054,3.3197,123881.92101745633,37317.20366824
1641427200000,2022-01-06 00:00:00,CEL/USD,3.6081,3.6539,3.004,3.5384,234635.27711448423,66311.12285623
1641340800000,2022-01-05 00:00:00,CEL/USD,4.0016,4.0871,3.6213,3.6213,41643.65956524417,11499.64365428
1641254400000,2022-01-04 00:00:00,CEL/USD,4.0977,4.1372,4.0015,4.0071,11299.31805587311,2819.82432579
1641168000000,2022-01-03 00:00:00,CEL/USD,4.2468,4.2498,4.0086,4.096,8149.1067292876805,1989.52801008
1641081600000,2022-01-02 00:00:00,CEL/USD,4.2339,4.2566,4.1919,4.2464,6291.968283421665,1481.71822801
1640995200000,2022-01-01 00:00:00,CEL/USD,4.3877,4.4567,4.2057,4.2279,5844.372637943001,1382.33464319
1640908800000,2021-12-31 00:00:00,CEL/USD,4.4939,4.7286,4.2688,4.3861,48453.99598636678,11047.17083203
1640822400000,2021-12-30 00:00:00,CEL/USD,3.9641,4.5987,3.9509,4.4967,54339.99628966432,12084.41663657
1640736000000,2021-12-29 00:00:00,CEL/USD,3.8145,4.2234,3.8116,3.96,32523.100908764398,8212.90426989
1640649600000,2021-12-28 00:00:00,CEL/USD,3.8098,3.9779,3.778,3.8063,85556.03588599466,22477.48098836
1640563200000,2021-12-27 00:00:00,CEL/USD,3.8398,3.9053,3.7739,3.8148,42397.95948947552,11114.07137713
1640476800000,2021-12-26 00:00:00,CEL/USD,3.8517,3.8891,3.8039,3.8544,60072.94906689595,15585.55133533
1640390400000,2021-12-25 00:00:00,CEL/USD,3.907,3.9234,3.8375,3.8496,17785.789711339392,4620.16565652
1640304000000,2021-12-24 00:00:00,CEL/USD,3.9936,4.0028,3.8817,3.9221,13768.826193694209,3510.57499648
1640217600000,2021-12-23 00:00:00,CEL/USD,3.9407,4.0005,3.9257,3.9804,5483.192456483724,1377.54809981
1640131200000,2021-12-22 00:00:00,CEL/USD,3.8241,3.9481,3.8118,3.945,10754.29425869295,2726.05684631
1640044800000,2021-12-21 00:00:00,CEL/USD,3.7931,3.9025,3.7803,3.8266,11280.974427143969,2948.04119248
1639958400000,2021-12-20 00:00:00,CEL/USD,3.7821,4.196,3.7677,3.8027,203387.9069659437,53485.13081914
1639872000000,2021-12-19 00:00:00,CEL/USD,3.7699,3.8485,3.7341,3.7822,9250.517513162358,2445.80337189
