https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ANC
1659571200000,2022-08-04 00:00:00,ANC/USD,0.11427,0.11476,0.1132,0.11476,32.51898857322,283.3651845
1659484800000,2022-08-03 00:00:00,ANC/USD,0.11375,0.11636,0.11087,0.11339,1719.7105829985767,15166.33374194
1659398400000,2022-08-02 00:00:00,ANC/USD,0.11872,0.12071,0.10814,0.11306,3563.2269168368803,31516.24727434
1659312000000,2022-08-01 00:00:00,ANC/USD,0.11585,0.13812,0.11443,0.11899,6675.973475302157,56105.33217331
1659225600000,2022-07-31 00:00:00,ANC/USD,0.1141,0.12799,0.11327,0.11601,8833.100005685597,76140.84997574
1659139200000,2022-07-30 00:00:00,ANC/USD,0.11482,0.11992,0.11346,0.11413,1258.0345224770479,11022.82066483
1659052800000,2022-07-29 00:00:00,ANC/USD,0.11591,0.12402,0.1132,0.11382,4365.344105819151,38353.04960305
1658966400000,2022-07-28 00:00:00,ANC/USD,0.11396,0.1193,0.11181,0.11563,1632.8862799937647,14121.64905296
1658880000000,2022-07-27 00:00:00,ANC/USD,0.10811,0.11539,0.10777,0.11382,1136.2945567386882,9983.25915251
1658793600000,2022-07-26 00:00:00,ANC/USD,0.10967,0.10967,0.10285,0.10819,1215.3096043782116,11233.10476364
1658707200000,2022-07-25 00:00:00,ANC/USD,0.11732,0.11834,0.10807,0.10972,4361.454221841137,39750.76760701
1658620800000,2022-07-24 00:00:00,ANC/USD,0.12075,0.1226,0.11731,0.11852,1137.5367801306804,9597.84660927
1658534400000,2022-07-23 00:00:00,ANC/USD,0.12254,0.12378,0.11657,0.1218,3759.1655318518565,30863.42801192
1658448000000,2022-07-22 00:00:00,ANC/USD,0.12151,0.147,0.10818,0.10818,15035.539627229033,138986.31565196
1658361600000,2022-07-21 00:00:00,ANC/USD,0.12478,0.12811,0.11325,0.12151,12466.894660632915,102599.74208405
1658275200000,2022-07-20 00:00:00,ANC/USD,0.11959,0.139,0.11823,0.12527,5278.230614556191,42134.83367571
1658188800000,2022-07-19 00:00:00,ANC/USD,0.11978,0.12347,0.11558,0.12108,1239.997396370071,10241.14136414
1658102400000,2022-07-18 00:00:00,ANC/USD,0.11237,0.12683,0.11103,0.12095,3397.281720939963,28088.31517933
1658016000000,2022-07-17 00:00:00,ANC/USD,0.11831,0.12194,0.11206,0.11231,1785.861773692878,15901.18220722
1657929600000,2022-07-16 00:00:00,ANC/USD,0.12094,0.12152,0.11452,0.11814,1967.5786624273426,16654.63570702
1657843200000,2022-07-15 00:00:00,ANC/USD,0.11735,0.12914,0.11627,0.12182,5330.751342787508,43759.24595951
1657756800000,2022-07-14 00:00:00,ANC/USD,0.11904,0.12122,0.11257,0.1183,1111.53683223128,9395.9157416
1657670400000,2022-07-13 00:00:00,ANC/USD,0.11302,0.12785,0.11121,0.11916,1482.0878562305186,12437.79671224
1657584000000,2022-07-12 00:00:00,ANC/USD,0.11291,0.11655,0.1074,0.11076,1092.6975082570716,9865.45240391
1657497600000,2022-07-11 00:00:00,ANC/USD,0.12509,0.12509,0.11228,0.11459,2312.256901973527,20178.52257591
1657411200000,2022-07-10 00:00:00,ANC/USD,0.1295,0.13125,0.12103,0.1251,5124.948426220859,40966.813958599996
1657324800000,2022-07-09 00:00:00,ANC/USD,0.14061,0.14064,0.11312,0.12798,6213.451211465236,48550.17355419
1657238400000,2022-07-08 00:00:00,ANC/USD,0.1446,0.14748,0.1396,0.13997,1595.3769110254616,11397.99179128
1657152000000,2022-07-07 00:00:00,ANC/USD,0.14187,0.14608,0.13904,0.14369,1690.095570837421,11762.09597632
1657065600000,2022-07-06 00:00:00,ANC/USD,0.13996,0.14349,0.13918,0.14187,1481.7036970360425,10444.09457275
1656979200000,2022-07-05 00:00:00,ANC/USD,0.14256,0.14727,0.13782,0.14106,3201.1526454435375,22693.55342013
1656892800000,2022-07-04 00:00:00,ANC/USD,0.14476,0.14885,0.13948,0.14365,6385.885368954306,44454.47524507
1656806400000,2022-07-03 00:00:00,ANC/USD,0.13999,0.14574,0.1374,0.14498,1615.9847400381452,11146.25976023
1656720000000,2022-07-02 00:00:00,ANC/USD,0.14548,0.14726,0.13795,0.13945,4955.847935542549,35538.529476820004
1656633600000,2022-07-01 00:00:00,ANC/USD,0.14274,0.15505,0.13772,0.14663,1673.9740219928299,11416.31331919
1656547200000,2022-06-30 00:00:00,ANC/USD,0.18644,0.19702,0.13656,0.14695,1988.575936668032,13532.33029376
1656460800000,2022-06-29 00:00:00,ANC/USD,0.14719,0.19954,0.14666,0.18731,12160.935682274536,64924.11340705
1656374400000,2022-06-28 00:00:00,ANC/USD,0.14826,0.15894,0.13794,0.14804,1769.478486095279,11952.70525598
1656288000000,2022-06-27 00:00:00,ANC/USD,0.14305,0.17464,0.13881,0.14775,4136.53978625514,27996.88518616
1656201600000,2022-06-26 00:00:00,ANC/USD,0.13585,0.15167,0.13087,0.14386,1947.048244999102,13534.32674127
1656115200000,2022-06-25 00:00:00,ANC/USD,0.13459,0.1418,0.12889,0.13351,1272.1718937979153,9528.66372405
1656028800000,2022-06-24 00:00:00,ANC/USD,0.13254,0.14409,0.12638,0.13787,2327.3566336486183,16880.80535032
1655942400000,2022-06-23 00:00:00,ANC/USD,0.12917,0.14109,0.12478,0.13106,1284.0753982358065,9797.61481944
1655856000000,2022-06-22 00:00:00,ANC/USD,0.12367,0.14388,0.12142,0.12854,1257.072102148203,9779.61803445
1655769600000,2022-06-21 00:00:00,ANC/USD,0.11814,0.15163,0.11787,0.13046,1812.6356667276746,13894.187235379999
1655683200000,2022-06-20 00:00:00,ANC/USD,0.13229,0.13846,0.11546,0.11929,1769.7684735243424,14835.84938825
1655596800000,2022-06-19 00:00:00,ANC/USD,0.091561,0.16174,0.085999,0.13384,3319.1985317889153,24799.74993865
1655510400000,2022-06-18 00:00:00,ANC/USD,0.1061,0.1091,0.080835,0.091567,1743.814985040253,19044.14237706
1655424000000,2022-06-17 00:00:00,ANC/USD,0.10394,0.11274,0.10392,0.10601,1001.108306822561,9443.52709011
1655337600000,2022-06-16 00:00:00,ANC/USD,0.11838,0.13272,0.10258,0.10428,1927.0485945438686,18479.56074553
1655251200000,2022-06-15 00:00:00,ANC/USD,0.11469,0.12422,0.101,0.11875,2661.125304515312,22409.47624855
1655164800000,2022-06-14 00:00:00,ANC/USD,0.11252,0.12582,0.10541,0.11499,1210.0944720803336,10523.47571163
1655078400000,2022-06-13 00:00:00,ANC/USD,0.1261,0.13383,0.10571,0.11716,2322.8781619609417,19826.54627826
1654992000000,2022-06-12 00:00:00,ANC/USD,0.13242,0.145,0.11921,0.12503,2131.213696053599,17045.61861996
1654905600000,2022-06-11 00:00:00,ANC/USD,0.15296,0.16141,0.12551,0.13335,2749.98326956291,20622.29673463
1654819200000,2022-06-10 00:00:00,ANC/USD,0.14772,0.18854,0.14235,0.15839,2323.183313070032,14667.48729762
1654732800000,2022-06-09 00:00:00,ANC/USD,0.10762,0.178,0.10222,0.15312,9975.420224860201,65147.72874125
1654646400000,2022-06-08 00:00:00,ANC/USD,0.16282,0.17952,0.1046,0.1071,5272.183308825657,49226.73490967
1654560000000,2022-06-07 00:00:00,ANC/USD,0.19066,0.20141,0.15804,0.16282,2794.689843564605,17164.29089525
1654473600000,2022-06-06 00:00:00,ANC/USD,0.18825,0.20715,0.18579,0.19059,1793.3080614906687,9409.24529876
1654387200000,2022-06-05 00:00:00,ANC/USD,0.20345,0.20842,0.18676,0.18806,5640.365437625697,29992.37178361
1654300800000,2022-06-04 00:00:00,ANC/USD,0.20611,0.22843,0.19443,0.20355,1318.08607026864,6475.4903968
1654214400000,2022-06-03 00:00:00,ANC/USD,0.21653,0.22584,0.19504,0.20571,117.49171196911921,571.15216552
1654128000000,2022-06-02 00:00:00,ANC/USD,0.20898,0.25472,0.19058,0.22372,2793.405014731313,12486.16580874
1654041600000,2022-06-01 00:00:00,ANC/USD,0.23692,0.23868,0.18108,0.21343,3945.848021184819,18487.78532158
1653955200000,2022-05-31 00:00:00,ANC/USD,0.26837,0.27412,0.22096,0.23193,3139.7141640964714,13537.33524812
1653868800000,2022-05-30 00:00:00,ANC/USD,0.28722,0.29896,0.25551,0.26809,1305.156591827603,4868.35238848
1653782400000,2022-05-29 00:00:00,ANC/USD,0.27079,0.29956,0.23546,0.28836,743.2227086368284,2577.41263919
1653696000000,2022-05-28 00:00:00,ANC/USD,0.21449,0.39041,0.20543,0.27312,16377.15216349339,59963.2109091
1653609600000,2022-05-27 00:00:00,ANC/USD,0.28326,0.29937,0.18068,0.21433,6981.465359346877,32573.43983272
1653523200000,2022-05-26 00:00:00,ANC/USD,0.31402,0.378,0.27552,0.28326,23828.085688990042,84120.89842897
1653436800000,2022-05-25 00:00:00,ANC/USD,0.34463,0.42515,0.28176,0.31706,16977.503599479645,53546.65867495
1653350400000,2022-05-24 00:00:00,ANC/USD,0.56388,0.57098,0.27845,0.3575,66149.22014768209,185032.78362988
1653264000000,2022-05-23 00:00:00,ANC/USD,0.16043,0.64999,0.15734,0.54577,173374.87802258672,317670.223762
1653177600000,2022-05-22 00:00:00,ANC/USD,0.08326,0.18489,0.08265,0.15889,16454.07142886821,103556.36873855
1653091200000,2022-05-21 00:00:00,ANC/USD,0.091939,0.093012,0.077501,0.085174,22925.225649626187,269157.5557051
1653004800000,2022-05-20 00:00:00,ANC/USD,0.10393,0.10679,0.09093,0.092193,116.49327929615043,1263.58052451
1652918400000,2022-05-19 00:00:00,ANC/USD,0.10582,0.11295,0.095877,0.10319,3466.486604758335,33593.24163929
1652832000000,2022-05-18 00:00:00,ANC/USD,0.12947,0.13357,0.099096,0.099096,6604.547182256249,66647.96946654
1652745600000,2022-05-17 00:00:00,ANC/USD,0.13314,0.15239,0.12161,0.12947,22773.279810984182,175896.19070815
1652659200000,2022-05-16 00:00:00,ANC/USD,0.18764,0.20742,0.090966,0.13314,156311.921941631,1174041.77513618
1652572800000,2022-05-15 00:00:00,ANC/USD,0.25054,0.31894,0.16262,0.18717,166467.19296379236,889390.35616708
1652486400000,2022-05-14 00:00:00,ANC/USD,0.095015,0.36595,0.091749,0.25904,562545.339924231,2171654.33880571
1652400000000,2022-05-13 00:00:00,ANC/USD,0.086519,0.17115,0.027134,0.093078,213720.42260111633,2296143.26265193
1652313600000,2022-05-12 00:00:00,ANC/USD,0.32014,0.35112,0.08515,0.087607,179546.27758545836,2049451.27199263
1652227200000,2022-05-11 00:00:00,ANC/USD,0.46587,0.51414,0.1311,0.31893,1178289.4051400374,3694507.90185946
1652140800000,2022-05-10 00:00:00,ANC/USD,0.8119,0.97341,0.4189,0.47676,3518218.396351564,7379432.8306728
1652054400000,2022-05-09 00:00:00,ANC/USD,1.5944,1.6156,0.78921,0.80558,3136443.7231580056,3893398.2014921
1651968000000,2022-05-08 00:00:00,ANC/USD,1.7036,1.7098,1.5324,1.5886,2559907.972680365,1611423.87805638
1651881600000,2022-05-07 00:00:00,ANC/USD,2.1381,2.1913,1.6415,1.7039,2643355.1747521027,1551355.81592353
1651795200000,2022-05-06 00:00:00,ANC/USD,2.0275,2.2622,2.0187,2.1339,6242511.679275044,2925400.29020809
1651708800000,2022-05-05 00:00:00,ANC/USD,1.8723,2.0535,1.8254,2.0249,2677357.192051296,1322216.99444481
1651622400000,2022-05-04 00:00:00,ANC/USD,1.6936,1.8723,1.6896,1.8723,841187.7683921884,449280.44030988
1651536000000,2022-05-03 00:00:00,ANC/USD,1.7228,1.7564,1.6775,1.6925,829473.2662503108,490087.60192042
1651449600000,2022-05-02 00:00:00,ANC/USD,1.6814,1.7605,1.6646,1.719,1702808.559348376,990580.89549062
1651363200000,2022-05-01 00:00:00,ANC/USD,1.5956,1.6879,1.5854,1.6842,921403.7181584658,547086.87694957
1651276800000,2022-04-30 00:00:00,ANC/USD,1.7321,1.7676,1.5847,1.5959,759600.8092180102,475970.17934583
1651190400000,2022-04-29 00:00:00,ANC/USD,1.822,1.827,1.7231,1.7304,505963.97984224884,292397.12196154
1651104000000,2022-04-28 00:00:00,ANC/USD,1.8595,1.8713,1.7997,1.8226,967524.114351318,530848.30152053
1651017600000,2022-04-27 00:00:00,ANC/USD,1.8487,1.9592,1.8408,1.8621,2136466.0528230467,1147342.27636703
1650931200000,2022-04-26 00:00:00,ANC/USD,1.9234,1.9894,1.8426,1.8471,1775725.2363347264,961358.47346366
1650844800000,2022-04-25 00:00:00,ANC/USD,1.9047,1.9292,1.7805,1.9232,1008264.5451514755,524264.01058209
1650758400000,2022-04-24 00:00:00,ANC/USD,1.9294,1.9461,1.8787,1.9039,744291.1587121295,390929.75403757
1650672000000,2022-04-23 00:00:00,ANC/USD,2.0049,2.0118,1.9257,1.9314,607390.9518991567,314482.2159569
1650585600000,2022-04-22 00:00:00,ANC/USD,2.082,2.0959,1.9904,2.0034,679797.3031744264,339321.80451953
1650499200000,2022-04-21 00:00:00,ANC/USD,2.1392,2.1927,2.0476,2.0802,980632.1152578902,471412.41960287
1650412800000,2022-04-20 00:00:00,ANC/USD,2.147,2.2746,2.0903,2.1409,1478986.6029393303,690824.70126551
1650326400000,2022-04-19 00:00:00,ANC/USD,2.0966,2.1751,2.0851,2.1483,712146.5365052024,331493.05800177
1650240000000,2022-04-18 00:00:00,ANC/USD,2.0274,2.1176,1.9453,2.0916,885476.6308040313,423348.93421497
1650153600000,2022-04-17 00:00:00,ANC/USD,2.1124,2.1723,2.0247,2.0307,513878.11197081255,253054.66684927
1650067200000,2022-04-16 00:00:00,ANC/USD,2.14,2.152,2.0999,2.1157,746580.0126616198,352876.1226363
1649980800000,2022-04-15 00:00:00,ANC/USD,2.1326,2.182,2.0704,2.1416,1087656.9355668195,507871.18769463
1649894400000,2022-04-14 00:00:00,ANC/USD,2.2615,2.374,2.0774,2.1289,1241074.3245337931,582965.06389863
1649808000000,2022-04-13 00:00:00,ANC/USD,2.1848,2.2727,2.1409,2.262,1132206.0616317554,500533.18374525
1649721600000,2022-04-12 00:00:00,ANC/USD,2.1753,2.279,2.1316,2.179,995983.79939491,457082.97356352
1649635200000,2022-04-11 00:00:00,ANC/USD,2.7194,2.7384,2.132,2.1677,2311067.3114570444,1066137.98563318
1649548800000,2022-04-10 00:00:00,ANC/USD,2.7681,2.858,2.7059,2.7196,985760.1676113121,362465.13002328
1649462400000,2022-04-09 00:00:00,ANC/USD,2.7519,2.859,2.7045,2.7631,1164859.1152941755,421576.89381281
1649376000000,2022-04-08 00:00:00,ANC/USD,3.1833,3.305,2.7207,2.7537,3438079.1092924364,1248530.74383282
1649289600000,2022-04-07 00:00:00,ANC/USD,3.0697,3.461,2.9572,3.1896,5713990.731082409,1791444.2974299
1649203200000,2022-04-06 00:00:00,ANC/USD,2.6833,3.255,2.6096,3.0804,5958315.451317905,1934266.8001941
1649116800000,2022-04-05 00:00:00,ANC/USD,2.7198,2.88,2.6652,2.691,622953.3495947474,231495.11319017
1649030400000,2022-04-04 00:00:00,ANC/USD,2.8893,2.912,2.5758,2.7222,960892.3965698913,352983.76187271
1648944000000,2022-04-03 00:00:00,ANC/USD,2.6166,2.976,2.6126,2.8866,2604422.705812707,902245.79290955
1648857600000,2022-04-02 00:00:00,ANC/USD,2.5772,2.7442,2.5705,2.6166,923198.376421557,352823.65528608003
1648771200000,2022-04-01 00:00:00,ANC/USD,2.5368,2.632,2.4368,2.581,764296.0375617213,296123.99750551
