https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FUN
1659571200000,2022-08-04 00:00:00,FUN/USD,0.0081733,0.0081733,0.0081733,0.0081733,15.545616599999999,1902.0
1659484800000,2022-08-03 00:00:00,FUN/USD,0.0081264,0.00819,0.0081264,0.00819,212.80801182854847,25983.88422815
1659398400000,2022-08-02 00:00:00,FUN/USD,0.0081523,0.0081703,0.0081523,0.0081703,50.250305013575044,6150.36228946
1659312000000,2022-08-01 00:00:00,FUN/USD,0.0082781,0.008339,0.0081941,0.0081941,114.48586946379149,13971.74423839
1659225600000,2022-07-31 00:00:00,FUN/USD,0.0083177,0.0083632,0.0083177,0.0083632,158.553165778384,18958.43287
1659139200000,2022-07-30 00:00:00,FUN/USD,0.0084215,0.0084394,0.0084215,0.0084394,76.79927716479558,9100.08734801
1659052800000,2022-07-29 00:00:00,FUN/USD,0.0084015,0.0084015,0.0083675,0.0083675,30.614499067815,3658.739058
1658966400000,2022-07-28 00:00:00,FUN/USD,0.0083213,0.0084021,0.0083213,0.0084021,95.70336543286486,11390.41018708
1658880000000,2022-07-27 00:00:00,FUN/USD,0.0079916,0.0081908,0.0079906,0.0081889,210.23212746308226,25672.81655205
1658793600000,2022-07-26 00:00:00,FUN/USD,0.0079998,0.0079998,0.007844,0.007844,504.13953425499767,64270.72083822
1658707200000,2022-07-25 00:00:00,FUN/USD,0.0082881,0.0082881,0.008001,0.008031,437.363063933925,54459.35299887
1658620800000,2022-07-24 00:00:00,FUN/USD,0.008245,0.0083296,0.008245,0.008288,188.27151644495936,22716.15787222
1658534400000,2022-07-23 00:00:00,FUN/USD,0.008229,0.008229,0.0081691,0.0081691,87.59324926558932,10722.50912164
1658448000000,2022-07-22 00:00:00,FUN/USD,0.0083052,0.0083052,0.0082524,0.0082524,162.5508996160608,19697.409192
1658275200000,2022-07-20 00:00:00,FUN/USD,0.0084049,0.0084049,0.0082373,0.0082373,355.52826309441235,43160.77635808
1658188800000,2022-07-19 00:00:00,FUN/USD,0.0085044,0.0085695,0.008415,0.0085695,1562.298893690196,182309.22383922
1658102400000,2022-07-18 00:00:00,FUN/USD,0.0078929,0.0088772,0.0078929,0.0084892,10742.877274279774,1265475.81330158
1658016000000,2022-07-17 00:00:00,FUN/USD,0.0077251,0.0077251,0.0077251,0.0077251,685.4395074431733,88728.884732
1657929600000,2022-07-16 00:00:00,FUN/USD,0.0075908,0.0078595,0.0075881,0.0078595,115.32080959475401,14672.79211079
1657843200000,2022-07-15 00:00:00,FUN/USD,0.0077017,0.0078088,0.0076685,0.0076685,143.52947055058766,18716.75954236
1657756800000,2022-07-14 00:00:00,FUN/USD,0.007569,0.0076642,0.007569,0.0076642,229.0494909987092,29885.63594357
1657670400000,2022-07-13 00:00:00,FUN/USD,0.0072845,0.0075963,0.0072845,0.0075963,210.16028768374127,27666.138473169998
1657584000000,2022-07-12 00:00:00,FUN/USD,0.0073844,0.0073844,0.0073784,0.0073784,199.72610325016615,27069.02624555
1657497600000,2022-07-11 00:00:00,FUN/USD,0.0075603,0.0075603,0.0074429,0.0074429,40.50046806916979,5441.49028862
1657411200000,2022-07-10 00:00:00,FUN/USD,0.0077734,0.0077734,0.0075936,0.0075936,832.7146477135207,109660.06211987999
1657324800000,2022-07-09 00:00:00,FUN/USD,0.0077863,0.0077863,0.0077734,0.0077734,186.86506299573597,24039.038644059998
1657238400000,2022-07-08 00:00:00,FUN/USD,0.0077498,0.0078377,0.0075833,0.0078333,516.3623529802113,65918.87875866
1657152000000,2022-07-07 00:00:00,FUN/USD,0.0077023,0.0077023,0.0075239,0.0075239,97.1557254886437,12912.94747254
1657065600000,2022-07-06 00:00:00,FUN/USD,0.0075091,0.0075091,0.0074963,0.0074963,33.096939876342205,4415.10343454
1656979200000,2022-07-05 00:00:00,FUN/USD,0.007685,0.0077953,0.0075173,0.0075454,299.76333646951974,39727.95828843
1656892800000,2022-07-04 00:00:00,FUN/USD,0.0075233,0.0075356,0.0075233,0.0075356,113.76416091922368,15096.894861620001
1656806400000,2022-07-03 00:00:00,FUN/USD,0.0074164,0.0074332,0.0074164,0.0074332,14.834767199747999,1995.7443899999998
1656720000000,2022-07-02 00:00:00,FUN/USD,0.0073632,0.0073632,0.0073457,0.0073531,15.6001493750659,2121.574489
1656633600000,2022-07-01 00:00:00,FUN/USD,0.0074047,0.0074323,0.0073479,0.0074323,879.3447406621887,118313.94597395
1656547200000,2022-06-30 00:00:00,FUN/USD,0.0074889,0.0074889,0.0074047,0.0074047,169.84742184698507,22937.785710019998
1656460800000,2022-06-29 00:00:00,FUN/USD,0.0075437,0.007564,0.0075393,0.007564,170.43658859756894,22532.60029053
1656374400000,2022-06-28 00:00:00,FUN/USD,0.0078036,0.0078036,0.007556,0.007556,272.5613068996252,36072.16872679
1656288000000,2022-06-27 00:00:00,FUN/USD,0.007744,0.0078989,0.007744,0.0078989,48.15453794033487,6096.35999194
1656201600000,2022-06-26 00:00:00,FUN/USD,0.0078185,0.0078613,0.0077148,0.0077148,92.01102146914161,11926.55953092
1656115200000,2022-06-25 00:00:00,FUN/USD,0.0077727,0.0077727,0.007661,0.007661,23.768995616999998,3102.5969999999998
1656028800000,2022-06-24 00:00:00,FUN/USD,0.007664,0.0077832,0.007664,0.0077832,305.3568885776321,39232.82050797
1655856000000,2022-06-22 00:00:00,FUN/USD,0.0076073,0.007691,0.0075648,0.0076306,263.2903971354451,34504.54710448
1655769600000,2022-06-21 00:00:00,FUN/USD,0.007712,0.007815,0.007712,0.007815,113.12267863835761,14475.07084304
1655683200000,2022-06-20 00:00:00,FUN/USD,0.0076875,0.0076997,0.0076856,0.0076989,84.73674544046794,11006.34447005
1655596800000,2022-06-19 00:00:00,FUN/USD,0.007432,0.0076489,0.007432,0.0076283,338.9280528678403,44430.351830399995
1655510400000,2022-06-18 00:00:00,FUN/USD,0.0075687,0.0075687,0.0071464,0.0074254,864.3667747547547,116406.76256562
1655424000000,2022-06-17 00:00:00,FUN/USD,0.0076961,0.00771,0.0076961,0.00771,6.78095469918,879.501258
1655337600000,2022-06-16 00:00:00,FUN/USD,0.007876,0.0079741,0.0076668,0.0076668,372.5212809400363,48588.8872724
1655251200000,2022-06-15 00:00:00,FUN/USD,0.0078469,0.0078469,0.0053626,0.0078054,1030.2135971189145,131987.29048081
1655164800000,2022-06-14 00:00:00,FUN/USD,0.0083576,0.0083623,0.0077421,0.0078985,14214.47242288576,1799642.01087368
1655078400000,2022-06-13 00:00:00,FUN/USD,0.0084875,0.0084875,0.0055263,0.0078973,16395.00653774914,2076026.81141012
1654992000000,2022-06-12 00:00:00,FUN/USD,0.0085694,0.0086459,0.0085043,0.0085848,2856.187274956966,332702.83232655
1654905600000,2022-06-11 00:00:00,FUN/USD,0.0087795,0.0087795,0.0086098,0.0086177,1356.3631304018195,157392.70691737
1654819200000,2022-06-10 00:00:00,FUN/USD,0.008935,0.0090427,0.008935,0.0090427,166.69459795227112,18434.16213656
1654732800000,2022-06-09 00:00:00,FUN/USD,0.009127,0.009127,0.0090308,0.0090308,29.282035708482432,3242.46309391
1654646400000,2022-06-08 00:00:00,FUN/USD,0.0091193,0.0091203,0.0089418,0.0090617,214.66584274625987,23689.35660486
1654560000000,2022-06-07 00:00:00,FUN/USD,0.0089805,0.0089805,0.0089805,0.0089805,3.4005404680080002,378.658256
1654473600000,2022-06-06 00:00:00,FUN/USD,0.0090059,0.0090473,0.0090059,0.0090411,162.74027179533772,18000.0521834
1654387200000,2022-06-05 00:00:00,FUN/USD,0.0089828,0.0089828,0.0089795,0.0089795,325.795400243168,36282.13154888
1654300800000,2022-06-04 00:00:00,FUN/USD,0.0089649,0.0089651,0.0089649,0.0089651,56.9154276242444,6348.55468698
1654214400000,2022-06-03 00:00:00,FUN/USD,0.0089941,0.0089941,0.0088204,0.0088248,1469.2653449826723,166492.76414
1654041600000,2022-06-01 00:00:00,FUN/USD,0.0092339,0.0092339,0.0090158,0.0090158,2017.3807336146676,223760.59069796
1653955200000,2022-05-31 00:00:00,FUN/USD,0.0086881,0.0093184,0.0086881,0.0092155,3338.951399166079,362319.07103967003
1653868800000,2022-05-30 00:00:00,FUN/USD,0.008862,0.0092296,0.008325,0.0092296,8182.824589460351,886584.96462039
1653782400000,2022-05-29 00:00:00,FUN/USD,0.0091492,0.0091502,0.0080949,0.0089416,670.0456250808321,74935.7637426
1653696000000,2022-05-28 00:00:00,FUN/USD,0.0086918,0.0087856,0.0086918,0.0087856,318.02863769499083,36198.852405640006
1653609600000,2022-05-27 00:00:00,FUN/USD,0.0088118,0.0088118,0.0088118,0.0088118,0.8635564,98.0
1653523200000,2022-05-26 00:00:00,FUN/USD,0.0089696,0.0089696,0.0087935,0.0088322,3480.854626381782,394109.57931
1653436800000,2022-05-25 00:00:00,FUN/USD,0.0090724,0.0090724,0.0088961,0.0089805,5470.6190855161485,609166.42564625
1653350400000,2022-05-24 00:00:00,FUN/USD,0.0090589,0.0093561,0.0090024,0.0090391,1533.772446066203,169681.98670954
1653264000000,2022-05-23 00:00:00,FUN/USD,0.009088,0.0092824,0.0083922,0.0090743,5542.732741443287,610816.56342013
1653177600000,2022-05-22 00:00:00,FUN/USD,0.009157,0.0092148,0.0091,0.0092148,3103.6654975626902,336813.11559259996
1653091200000,2022-05-21 00:00:00,FUN/USD,0.0090816,0.00912,0.0090816,0.0090929,2509.0931585763683,275939.81662356
1653004800000,2022-05-20 00:00:00,FUN/USD,0.0089919,0.0094827,0.0086454,0.0090139,10094.884016999009,1119924.11908264
1652918400000,2022-05-19 00:00:00,FUN/USD,0.0088079,0.0089568,0.008721,0.0089061,1281.2436504021673,143861.35911366
1652832000000,2022-05-18 00:00:00,FUN/USD,0.0091665,0.0091824,0.0088186,0.008823,128.76874471036913,14594.666747180001
1652745600000,2022-05-17 00:00:00,FUN/USD,0.0084763,0.0095487,0.0081268,0.009219,222.622960196133,24148.276407
1652659200000,2022-05-16 00:00:00,FUN/USD,0.0090251,0.0090251,0.008922,0.0089296,203.84767719039968,22828.31002401
1652572800000,2022-05-15 00:00:00,FUN/USD,0.0080529,0.0092591,0.0080529,0.0092591,398.88578193506083,43080.40543196
1652486400000,2022-05-14 00:00:00,FUN/USD,0.0087258,0.0089535,0.0087258,0.0089535,1148.9656316878225,128325.86493414
1652400000000,2022-05-13 00:00:00,FUN/USD,0.0088469,0.0091326,0.0088469,0.0089204,1524.5710508027703,170908.37303291
1652313600000,2022-05-12 00:00:00,FUN/USD,0.0088775,0.0094341,0.0070268,0.0088331,2838.2439904987245,321319.1281089
1652227200000,2022-05-11 00:00:00,FUN/USD,0.0095933,0.0095933,0.008742,0.0090395,21214.58434776314,2346875.86124931
1652140800000,2022-05-10 00:00:00,FUN/USD,0.0094443,0.00975,0.0090739,0.0090739,282.0953926225116,31088.66007147
1652054400000,2022-05-09 00:00:00,FUN/USD,0.0101,0.0101,0.0095,0.0095,1771.6170465731798,186486.00490243998
1651968000000,2022-05-08 00:00:00,FUN/USD,0.010161,0.010325,0.010156,0.010324,124.69137768423836,12077.81651339
1651881600000,2022-05-07 00:00:00,FUN/USD,0.010357,0.010357,0.010357,0.010357,12.98663743883848,1253.89953064
1651795200000,2022-05-06 00:00:00,FUN/USD,0.01022,0.010338,0.010211,0.010338,158.26698683733258,15309.24616341
1651708800000,2022-05-05 00:00:00,FUN/USD,0.010449,0.010492,0.010286,0.010286,811.9349629614213,78935.92873434
1651622400000,2022-05-04 00:00:00,FUN/USD,0.010316,0.010562,0.010316,0.01056,509.1408029876256,48214.09119201
1651363200000,2022-05-01 00:00:00,FUN/USD,0.010216,0.010351,0.010159,0.01026,300.8031652085328,29318.04729128
1651276800000,2022-04-30 00:00:00,FUN/USD,0.010334,0.01038,0.010334,0.010351,2447.2345604019224,236424.94062428
1651190400000,2022-04-29 00:00:00,FUN/USD,0.010672,0.010673,0.010387,0.010387,395.2043493929493,38047.97818359
1651104000000,2022-04-28 00:00:00,FUN/USD,0.010521,0.010701,0.010519,0.010701,45.40421623477689,4242.98815389
1651017600000,2022-04-27 00:00:00,FUN/USD,0.010458,0.010542,0.010458,0.010542,190.56931592809232,18077.15005958
1650931200000,2022-04-26 00:00:00,FUN/USD,0.010806,0.010806,0.010509,0.010509,845.442374662182,80449.36479800001
1650844800000,2022-04-25 00:00:00,FUN/USD,0.010588,0.010752,0.010588,0.010752,336.04845787387393,31254.50687071
1650758400000,2022-04-24 00:00:00,FUN/USD,0.010787,0.010824,0.010787,0.010824,139.894961627784,12924.516040999999
1650672000000,2022-04-23 00:00:00,FUN/USD,0.01069,0.01069,0.01069,0.01069,49.999268,4677.2
1650585600000,2022-04-22 00:00:00,FUN/USD,0.010778,0.010778,0.010752,0.010752,45.6753212880384,4248.0767567
1650499200000,2022-04-21 00:00:00,FUN/USD,0.010757,0.01082,0.010757,0.01082,142.1960413912,13141.96316
1650412800000,2022-04-20 00:00:00,FUN/USD,0.010888,0.010999,0.010759,0.010759,1737.5896191037298,161501.03347
1650326400000,2022-04-19 00:00:00,FUN/USD,0.010781,0.010971,0.010778,0.010971,7057.54718503285,643291.1480296099
1650240000000,2022-04-18 00:00:00,FUN/USD,0.010699,0.010806,0.010674,0.010751,9182.20993223442,854079.61419723
