https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IDX
1650585600000,2022-04-22 00:00:00,IDX/USD,0.14677,0.1511,0.14373,0.1511,1993.113615336108,13190.69235828
1650499200000,2022-04-21 00:00:00,IDX/USD,0.15569,0.15943,0.14677,0.14677,3669.240383413848,24999.934478529998
1650412800000,2022-04-20 00:00:00,IDX/USD,0.15401,0.17339,0.14826,0.1557,7557.225007024116,48537.09060388
1650326400000,2022-04-19 00:00:00,IDX/USD,0.14999,0.15401,0.14253,0.14817,1015.367828059893,6852.7220629
1650240000000,2022-04-18 00:00:00,IDX/USD,0.15874,0.15905,0.14137,0.15,5832.9967673910005,38886.64511594
1650153600000,2022-04-17 00:00:00,IDX/USD,0.15872,0.15917,0.15814,0.15874,862.7707854120928,5435.11897072
1650067200000,2022-04-16 00:00:00,IDX/USD,0.15824,0.15872,0.15529,0.15872,997.5107290780672,6284.71981526
1649980800000,2022-04-15 00:00:00,IDX/USD,0.15908,0.16065,0.15529,0.15824,1979.285381116334,12508.12298481
1649894400000,2022-04-14 00:00:00,IDX/USD,0.15671,0.165,0.1551,0.15908,3871.9328051848906,24339.53234338
1649808000000,2022-04-13 00:00:00,IDX/USD,0.15312,0.15878,0.15035,0.15529,1239.9673691204184,7984.85008127
1649721600000,2022-04-12 00:00:00,IDX/USD,0.1626,0.16699,0.15,0.15313,3543.9691903829776,23143.53288306
1649635200000,2022-04-11 00:00:00,IDX/USD,0.1783,0.17866,0.1626,0.167,4809.487297678601,28799.3251358
1649548800000,2022-04-10 00:00:00,IDX/USD,0.1792,0.18252,0.17776,0.1783,1928.1741190895277,10814.21267016
1649462400000,2022-04-09 00:00:00,IDX/USD,0.17554,0.17834,0.16761,0.17834,2472.4623017021845,13863.756317719999
1649376000000,2022-04-08 00:00:00,IDX/USD,0.17426,0.17686,0.17108,0.17554,2522.226343739381,14368.38523265
1649289600000,2022-04-07 00:00:00,IDX/USD,0.18318,0.18671,0.17046,0.17427,3248.205044841013,18638.92261916
1649203200000,2022-04-06 00:00:00,IDX/USD,0.20084,0.20327,0.18262,0.18317,3582.114930099265,19556.23153409
1649116800000,2022-04-05 00:00:00,IDX/USD,0.20861,0.21352,0.19377,0.20327,3052.929694331005,15019.08640887
1649030400000,2022-04-04 00:00:00,IDX/USD,0.21658,0.22258,0.20569,0.20861,1227.0051930624606,5881.81387787
1648944000000,2022-04-03 00:00:00,IDX/USD,0.21651,0.22234,0.205,0.21658,2703.7481231259408,12483.83102376
1648857600000,2022-04-02 00:00:00,IDX/USD,0.23237,0.23968,0.2165,0.22246,6844.782787684978,30768.60014243
