https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTM
1655424000000,2022-06-17 00:00:00,QTM/USD,2.7833,2.7833,2.6775,2.7506,1047.248676688744,380.73463124
1655337600000,2022-06-16 00:00:00,QTM/USD,3.0078,3.0078,2.6409,2.7235,1128.3634316765852,414.30638211
1655251200000,2022-06-15 00:00:00,QTM/USD,2.7362,2.9497,2.5,2.9497,6666.050504450024,2259.90795825
1655164800000,2022-06-14 00:00:00,QTM/USD,2.6944,2.8232,2.5,2.7266,5345.198620340494,1960.3897235900001
1655078400000,2022-06-13 00:00:00,QTM/USD,3.05,3.05,2.6418,2.7398,59683.74607599194,21783.9791503
1654992000000,2022-06-12 00:00:00,QTM/USD,3.3069,3.3726,3.101,3.101,2183.9414399348,704.2700548
1654905600000,2022-06-11 00:00:00,QTM/USD,3.6829,3.7268,3.3407,3.4221,1468.461567936231,429.11123811
1654819200000,2022-06-10 00:00:00,QTM/USD,3.893,3.9206,3.639,3.6753,569.172244895808,154.86415936
1654732800000,2022-06-09 00:00:00,QTM/USD,3.97,4.0003,3.9288,3.932,465.6483177404,118.4253097
1654646400000,2022-06-08 00:00:00,QTM/USD,3.9884,4.0086,3.9043,3.9488,936.4449926159999,237.14672625
1654560000000,2022-06-07 00:00:00,QTM/USD,4.0429,4.0481,3.7791,3.9771,2706.0218439036303,680.4007553
1654473600000,2022-06-06 00:00:00,QTM/USD,3.9918,4.2432,3.9792,4.0323,52501.29802475646,13020.1865002
1654387200000,2022-06-05 00:00:00,QTM/USD,3.8618,3.9139,3.8603,3.8981,461.936126969414,118.50289294
1654300800000,2022-06-04 00:00:00,QTM/USD,3.8029,3.8665,3.7572,3.8386,3001.95705911218,782.0447713
1654214400000,2022-06-03 00:00:00,QTM/USD,3.9594,3.9594,3.7476,3.8373,2504.4011265377612,652.64668557
1654128000000,2022-06-02 00:00:00,QTM/USD,3.8468,3.9905,3.839,3.9812,1425.372825588712,358.02592826
1654041600000,2022-06-01 00:00:00,QTM/USD,4.1735,4.3045,3.7461,3.8568,114325.02163451702,29642.45530868
1653955200000,2022-05-31 00:00:00,QTM/USD,4.185,4.2421,4.0194,4.1789,78066.66858588994,18681.15259659
1653868800000,2022-05-30 00:00:00,QTM/USD,3.8686,4.1867,3.8477,4.1557,14104.091371525836,3393.91471269
1653782400000,2022-05-29 00:00:00,QTM/USD,3.7648,3.8726,3.6868,3.8605,2192.23748532145,567.8636149
1653696000000,2022-05-28 00:00:00,QTM/USD,3.7082,3.8193,3.7082,3.7933,1695.591784227278,446.99648966
1653609600000,2022-05-27 00:00:00,QTM/USD,3.8006,3.8896,3.62,3.7117,11604.357559701604,3126.42658612
1653523200000,2022-05-26 00:00:00,QTM/USD,4.0788,4.1522,3.6333,3.7796,34319.3836949124,9080.16289949
1653436800000,2022-05-25 00:00:00,QTM/USD,4.1056,4.2713,4.0012,4.0987,5930.499495522712,1446.92207176
1653350400000,2022-05-24 00:00:00,QTM/USD,4.1045,4.1274,3.8296,4.0982,8705.825197946127,2124.30462104
1653264000000,2022-05-23 00:00:00,QTM/USD,4.1111,4.5652,4.0621,4.0621,17622.379353679302,4338.24360643
1653177600000,2022-05-22 00:00:00,QTM/USD,3.9493,4.1315,3.883,4.1191,6904.113989779881,1676.12196591
1653091200000,2022-05-21 00:00:00,QTM/USD,3.8078,3.992,3.8053,3.894,3677.42112919434,944.38138911
1653004800000,2022-05-20 00:00:00,QTM/USD,3.9691,4.0504,3.7503,3.8538,6770.902009939272,1756.94172244
1652918400000,2022-05-19 00:00:00,QTM/USD,3.814,4.0315,3.6657,4.0039,7144.3889038419375,1784.35747742
1652832000000,2022-05-18 00:00:00,QTM/USD,4.2008,4.3577,3.7873,3.7988,14181.433134976543,3733.13497288
1652745600000,2022-05-17 00:00:00,QTM/USD,3.9732,4.2864,3.9571,4.2367,8264.258643655105,1950.63578815
1652659200000,2022-05-16 00:00:00,QTM/USD,4.2571,4.2571,3.8787,4.0048,14452.191152811569,3608.71732741
1652572800000,2022-05-15 00:00:00,QTM/USD,4.0771,4.2875,3.9496,4.2703,25277.293073881025,5919.3248890899995
1652486400000,2022-05-14 00:00:00,QTM/USD,3.9435,4.0945,3.676,4.084,19498.454086463797,4774.35212695
1652400000000,2022-05-13 00:00:00,QTM/USD,3.6253,4.2311,3.6253,3.8667,14217.160654347888,3676.82019664
1652313600000,2022-05-12 00:00:00,QTM/USD,3.9786,4.21,3.0967,3.622,56733.7454553737,15663.65142335
1652227200000,2022-05-11 00:00:00,QTM/USD,4.7371,5.0054,3.7908,3.9837,48948.58216455825,12287.21594612
1652140800000,2022-05-10 00:00:00,QTM/USD,4.4725,5.3151,4.2196,4.7687,59236.390098682845,12421.91584681
1652054400000,2022-05-09 00:00:00,QTM/USD,5.0862,5.172,4.4026,4.4227,77864.98795444278,17605.75846303
1651968000000,2022-05-08 00:00:00,QTM/USD,5.2062,5.2121,5.0197,5.038,9899.787074756921,1965.02323834
1651881600000,2022-05-07 00:00:00,QTM/USD,5.4201,5.4235,5.1143,5.2211,4797.27120010234,918.8238494
1651795200000,2022-05-06 00:00:00,QTM/USD,5.4801,5.4987,5.2457,5.4265,9498.71061747734,1750.43040956
1651708800000,2022-05-05 00:00:00,QTM/USD,5.9565,6.1125,5.2881,5.4905,39323.22801421562,7162.0486320400005
1651622400000,2022-05-04 00:00:00,QTM/USD,5.4137,5.9337,5.4079,5.9337,18172.288509964317,3062.55599541
1651536000000,2022-05-03 00:00:00,QTM/USD,5.5332,5.6341,5.2829,5.3642,4698.9598226604385,875.98520239
1651449600000,2022-05-02 00:00:00,QTM/USD,5.5902,5.6718,5.3339,5.5279,16507.992530624957,2986.30447921
1651363200000,2022-05-01 00:00:00,QTM/USD,5.3217,5.661,5.2647,5.5941,10180.790856842495,1819.91577856
1651276800000,2022-04-30 00:00:00,QTM/USD,5.8377,5.9358,5.231,5.3554,37766.14889671222,7051.97537004
1651190400000,2022-04-29 00:00:00,QTM/USD,6.1147,6.1453,5.4,5.8219,110907.40996114041,19050.03692285
1651104000000,2022-04-28 00:00:00,QTM/USD,6.1197,6.2447,5.981,6.0556,9715.67407895964,1604.4114669
1651017600000,2022-04-27 00:00:00,QTM/USD,6.0018,6.2256,5.9676,6.0934,10714.562278626785,1758.38813776
1650931200000,2022-04-26 00:00:00,QTM/USD,6.4812,6.6009,5.9352,6.0133,29649.346931612847,4930.62826262
1650844800000,2022-04-25 00:00:00,QTM/USD,6.3623,6.5134,5.9605,6.4744,47163.671207187916,7284.63968973
1650758400000,2022-04-24 00:00:00,QTM/USD,6.4377,6.5301,6.2644,6.3266,11904.42950608485,1881.64725225
1650672000000,2022-04-23 00:00:00,QTM/USD,6.5898,6.6079,6.379,6.4645,16017.351855692461,2477.74025148
1650585600000,2022-04-22 00:00:00,QTM/USD,6.5201,6.7625,6.4848,6.5976,20781.992445470303,3149.93216404
1650499200000,2022-04-21 00:00:00,QTM/USD,6.7643,7.2999,6.47,6.5516,101173.8643672052,15442.619263569999
1650412800000,2022-04-20 00:00:00,QTM/USD,6.8217,7.1129,6.6432,6.7573,40733.09338519437,6028.01316875
1650326400000,2022-04-19 00:00:00,QTM/USD,6.6873,6.8688,6.5702,6.8315,12395.301668876036,1814.43338489
1650240000000,2022-04-18 00:00:00,QTM/USD,6.5289,6.7142,6.1829,6.7043,14960.259803981584,2231.44247781
1650153600000,2022-04-17 00:00:00,QTM/USD,6.9018,6.9112,6.5266,6.5528,7791.978690037873,1189.10674674
1650067200000,2022-04-16 00:00:00,QTM/USD,6.6323,7.25,6.6256,6.9043,60297.52693237181,8733.32950949
1649980800000,2022-04-15 00:00:00,QTM/USD,6.5533,6.6971,6.5205,6.6268,7144.452640778128,1078.11502396
1649894400000,2022-04-14 00:00:00,QTM/USD,6.7717,6.9324,6.4131,6.5395,6322.388491902066,966.79998347
1649808000000,2022-04-13 00:00:00,QTM/USD,6.4417,6.7619,6.4219,6.7619,7940.544565136602,1174.30671337
1649721600000,2022-04-12 00:00:00,QTM/USD,6.214,6.5907,6.138,6.4559,22084.598180866826,3420.83957014
1649635200000,2022-04-11 00:00:00,QTM/USD,6.8284,6.898,6.0661,6.1743,30403.612775364873,4924.22019911
1649548800000,2022-04-10 00:00:00,QTM/USD,7.077,7.1597,6.8028,6.803,10825.11026465792,1591.22596864
1649462400000,2022-04-09 00:00:00,QTM/USD,6.8412,7.0927,6.8412,7.038,8558.95359664098,1216.10593871
