https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BSV
1655424000000,2022-06-17 00:00:00,BSV/USD,50.943,54.946,50.379,54.198,121380.3297895689,2239.57212055
1655337600000,2022-06-16 00:00:00,BSV/USD,55.23,58.686,49.895,51.009,150521.58580580287,2950.88289921
1655251200000,2022-06-15 00:00:00,BSV/USD,54.073,56.351,48.218,55.302,479705.4362701302,8674.2873001
1655164800000,2022-06-14 00:00:00,BSV/USD,46.466,63.879,44.183,54.021,1593696.804425906,29501.43100694
1655078400000,2022-06-13 00:00:00,BSV/USD,48.12,48.57,42.2,46.658,1050000.4255096163,22504.18846735
1654992000000,2022-06-12 00:00:00,BSV/USD,52.972,53.055,48.14,48.15,384189.5163887775,7979.01383985
1654905600000,2022-06-11 00:00:00,BSV/USD,57.28,57.548,50.852,52.851,122739.26081256384,2322.36401984
1654819200000,2022-06-10 00:00:00,BSV/USD,55.606,61.881,54.847,57.233,182932.84723454376,3196.28269066
1654732800000,2022-06-09 00:00:00,BSV/USD,56.856,57.811,55.341,55.736,52941.865267806,949.86840225
1654646400000,2022-06-08 00:00:00,BSV/USD,57.415,58.292,55.805,56.869,41199.29914391973,724.45970817
1654560000000,2022-06-07 00:00:00,BSV/USD,57.45,58.998,54.075,57.435,88559.0739079977,1541.90082542
1654473600000,2022-06-06 00:00:00,BSV/USD,56.286,59.227,56.26,57.546,65719.4606513127,1142.03351495
1654387200000,2022-06-05 00:00:00,BSV/USD,57.058,57.644,55.701,56.238,55667.51010473016,989.85579332
1654300800000,2022-06-04 00:00:00,BSV/USD,55.365,57.539,53.493,56.958,69668.66725628832,1223.15859504
1654214400000,2022-06-03 00:00:00,BSV/USD,54.098,59.603,53.721,55.327,253383.23841161936,4579.73933905
1654128000000,2022-06-02 00:00:00,BSV/USD,51.84,54.335,51.283,53.901,68324.75748355896,1267.59721496
1654041600000,2022-06-01 00:00:00,BSV/USD,54.23,55.685,50.644,51.947,117757.07726492263,2266.86964146
1653955200000,2022-05-31 00:00:00,BSV/USD,55.679,56.308,53.28,54.137,74843.41749785705,1382.48180538
1653868800000,2022-05-30 00:00:00,BSV/USD,52.804,56.528,52.6,55.746,230213.10182967072,4129.67929232
1653782400000,2022-05-29 00:00:00,BSV/USD,49.251,53.555,49.251,52.743,878563.6576268233,16657.4456824
1653696000000,2022-05-28 00:00:00,BSV/USD,48.01,49.685,47.525,49.255,31055.226162498602,630.49895772
1653609600000,2022-05-27 00:00:00,BSV/USD,48.876,49.26,46.99,47.809,48722.392691940855,1019.10503654
1653523200000,2022-05-26 00:00:00,BSV/USD,53.275,53.475,47.637,48.976,97111.08784006735,1982.83011761
1653436800000,2022-05-25 00:00:00,BSV/USD,53.115,55.091,51.453,53.319,182456.667142545,3421.98216663
1653350400000,2022-05-24 00:00:00,BSV/USD,50.962,53.769,49.103,53.048,71008.25651408704,1338.56613848
1653264000000,2022-05-23 00:00:00,BSV/USD,50.678,54.045,49.864,50.885,324115.91405187047,6369.57677217
1653177600000,2022-05-22 00:00:00,BSV/USD,48.666,51.154,48.32,50.744,836874.0298197723,16492.07846878
1653091200000,2022-05-21 00:00:00,BSV/USD,49.074,49.122,46.74,48.69,95122.7181912609,1953.63972461
1653004800000,2022-05-20 00:00:00,BSV/USD,51.036,52.177,48.031,49.089,78819.7350454197,1605.6496373
1652918400000,2022-05-19 00:00:00,BSV/USD,50.162,52.984,49.232,51.084,48304.31240773908,945.58594487
1652832000000,2022-05-18 00:00:00,BSV/USD,55.682,57.618,49.97,50.047,122900.04068374971,2455.69246276
1652745600000,2022-05-17 00:00:00,BSV/USD,53.623,56.042,53.184,55.65,99317.376841641,1784.67882914
1652659200000,2022-05-16 00:00:00,BSV/USD,54.898,55.238,51.155,53.615,68734.97155117511,1282.01010074
1652572800000,2022-05-15 00:00:00,BSV/USD,54.044,55.052,51.722,54.949,126797.21134329418,2307.54356482
1652486400000,2022-05-14 00:00:00,BSV/USD,51.968,56.499,48.974,54.088,139897.97570498183,2586.48823593
1652400000000,2022-05-13 00:00:00,BSV/USD,49.492,54.785,48.858,51.959,307702.89591464325,5922.03267797
1652313600000,2022-05-12 00:00:00,BSV/USD,53.062,54.381,44.837,49.629,468470.92514410574,9439.45929082
1652227200000,2022-05-11 00:00:00,BSV/USD,63.385,64.329,49.941,52.735,541943.4696101485,10276.73214393
1652140800000,2022-05-10 00:00:00,BSV/USD,60.322,65.693,59.481,63.422,198287.52830290888,3126.47863995
1652054400000,2022-05-09 00:00:00,BSV/USD,70.151,70.87,59.7,60.137,308984.95764518616,5138.01748749
1651968000000,2022-05-08 00:00:00,BSV/USD,70.395,71.036,68.574,70.044,91492.91366671871,1306.22057088
1651881600000,2022-05-07 00:00:00,BSV/USD,72.394,72.6,69.802,70.487,76351.51759010435,1083.19998851
1651795200000,2022-05-06 00:00:00,BSV/USD,73.792,73.808,70.827,72.441,139541.31618040783,1926.2753990200001
1651708800000,2022-05-05 00:00:00,BSV/USD,78.534,79.872,71.36,73.84,375414.389522432,5084.1602047999995
1651622400000,2022-05-04 00:00:00,BSV/USD,72.687,79.125,72.537,78.616,135036.4744065259,1717.67164962
1651536000000,2022-05-03 00:00:00,BSV/USD,73.936,75.073,71.126,72.72,117604.88354493359,1617.22887163
1651449600000,2022-05-02 00:00:00,BSV/USD,73.884,77.252,72.287,73.99,118960.88004234139,1607.79672986
1651363200000,2022-05-01 00:00:00,BSV/USD,71.743,74.941,71.361,73.952,997729.6889275004,13491.58493249
1651276800000,2022-04-30 00:00:00,BSV/USD,75.844,76.045,70.235,71.707,244371.9353920841,3407.92301159
1651190400000,2022-04-29 00:00:00,BSV/USD,78.285,79.662,75.204,75.914,151643.3465601763,1997.56759702
1651104000000,2022-04-28 00:00:00,BSV/USD,77.847,79.711,77.553,78.222,510629.482385718,6527.952269
1651017600000,2022-04-27 00:00:00,BSV/USD,76.498,78.5,76.001,77.921,34796.383503109704,446.5597657
1650931200000,2022-04-26 00:00:00,BSV/USD,80.794,81.265,75.827,76.546,58859.41247275879,768.94171443
1650844800000,2022-04-25 00:00:00,BSV/USD,80.28,80.865,76.788,80.677,85790.92922199453,1063.38769689
1650758400000,2022-04-24 00:00:00,BSV/USD,78.763,81.701,78.685,80.226,1999308.5498374596,24920.9551746
1650672000000,2022-04-23 00:00:00,BSV/USD,79.374,80.319,78.737,78.832,689685.9369512652,8748.80679104
1650585600000,2022-04-22 00:00:00,BSV/USD,81.705,83.763,79.009,79.418,207678.9162027609,2615.01065505
1650499200000,2022-04-21 00:00:00,BSV/USD,85.459,87.009,80.817,81.818,52013.021355614874,635.71611816
1650412800000,2022-04-20 00:00:00,BSV/USD,86.106,87.322,84.782,85.392,66272.18261275871,776.0935756599999
1650326400000,2022-04-19 00:00:00,BSV/USD,84.687,86.215,81.057,86.176,98580.79412091649,1143.94720248
1650240000000,2022-04-18 00:00:00,BSV/USD,83.574,84.707,80.87,84.632,117063.60672687872,1383.20737696
1650153600000,2022-04-17 00:00:00,BSV/USD,87.371,87.843,83.273,83.617,107499.22222560989,1285.61443517
1650067200000,2022-04-16 00:00:00,BSV/USD,85.689,87.855,85.06,87.327,70587.09974008107,808.30785141
1649980800000,2022-04-15 00:00:00,BSV/USD,84.874,86.198,84.306,85.76,43952.9866293504,512.51150454
1649894400000,2022-04-14 00:00:00,BSV/USD,86.904,87.818,83.498,84.756,51535.00386889932,608.03959447
1649808000000,2022-04-13 00:00:00,BSV/USD,82.846,87.626,82.116,86.856,140537.31846351118,1618.0496277
1649721600000,2022-04-12 00:00:00,BSV/USD,80.022,83.941,79.616,82.905,436676.988790557,5267.1972594
1649635200000,2022-04-11 00:00:00,BSV/USD,85.094,85.967,79.297,79.947,1137034.4988597166,14222.35354497
1649548800000,2022-04-10 00:00:00,BSV/USD,86.794,88.094,84.551,84.876,296241.51698891644,3490.2860289
1649462400000,2022-04-09 00:00:00,BSV/USD,85.977,87.26,85.665,86.887,1040766.0016384589,11978.38573824
1649376000000,2022-04-08 00:00:00,BSV/USD,89.701,90.858,85.501,86.063,294071.1566300674,3416.92895472
1649289600000,2022-04-07 00:00:00,BSV/USD,89.032,91.422,87.324,89.722,830673.4206212852,9258.30254142
1649203200000,2022-04-06 00:00:00,BSV/USD,95.53,96.923,88.669,88.986,395005.8209931673,4438.96591591
1649116800000,2022-04-05 00:00:00,BSV/USD,97.995,99.643,95.52,95.584,137277.15112892224,1436.19383086
1649030400000,2022-04-04 00:00:00,BSV/USD,100.44,100.53,95.3,97.96,88378.0798679024,902.18538044
1648944000000,2022-04-03 00:00:00,BSV/USD,99.188,101.79,96.353,100.48,581673.3393070528,5788.94645011
1648857600000,2022-04-02 00:00:00,BSV/USD,95.44,100.32,95.22,99.075,399584.240757552,4033.14903616
1648771200000,2022-04-01 00:00:00,BSV/USD,94.509,96.778,91.638,95.84,152400.3397789296,1590.15379569
1648684800000,2022-03-31 00:00:00,BSV/USD,97.83,99.801,93.253,94.431,580679.9509163776,6149.25131489
1648598400000,2022-03-30 00:00:00,BSV/USD,97.768,100.57,95.397,97.885,367448.99150053994,3753.88457374
1648512000000,2022-03-29 00:00:00,BSV/USD,95.353,100.0,94.354,97.778,399540.2106580918,4086.1974131
1648425600000,2022-03-28 00:00:00,BSV/USD,95.092,99.217,94.334,95.292,866090.5190324776,9088.80618554
1648339200000,2022-03-27 00:00:00,BSV/USD,90.26,95.0,89.476,95.0,54664.3094059,575.41378322
1648252800000,2022-03-26 00:00:00,BSV/USD,89.872,90.681,88.623,90.407,593393.6492924808,6563.58079897
1648166400000,2022-03-25 00:00:00,BSV/USD,90.95,93.546,88.927,89.848,495545.02753411036,5515.3707097999995
1648080000000,2022-03-24 00:00:00,BSV/USD,90.844,91.843,87.834,90.939,566393.0251193893,6228.27417411
1647993600000,2022-03-23 00:00:00,BSV/USD,91.583,93.645,88.865,90.864,579140.03149596,6373.7017025
1647907200000,2022-03-22 00:00:00,BSV/USD,84.87,92.233,84.585,91.74,915927.4874496977,9983.94906747
1647820800000,2022-03-21 00:00:00,BSV/USD,85.301,87.289,83.296,85.008,279898.75251850515,3292.61660689
1647734400000,2022-03-20 00:00:00,BSV/USD,83.385,87.998,80.776,85.165,847512.0102454262,9951.41208531
1647648000000,2022-03-19 00:00:00,BSV/USD,80.699,83.417,80.638,83.309,612142.3006217723,7347.85318059
1647561600000,2022-03-18 00:00:00,BSV/USD,77.846,80.615,76.748,80.587,317186.304563533,3935.94878285
1647475200000,2022-03-17 00:00:00,BSV/USD,78.291,78.675,76.968,77.958,416275.8837350202,5339.7455519
1647388800000,2022-03-16 00:00:00,BSV/USD,75.948,78.29,75.15,78.277,211123.5167071187,2697.13347097
1647302400000,2022-03-15 00:00:00,BSV/USD,75.625,76.844,74.15,76.01,56999.1979088433,749.89077633
1647216000000,2022-03-14 00:00:00,BSV/USD,75.354,75.862,73.959,75.627,100949.92679194568,1334.83976347
1647129600000,2022-03-13 00:00:00,BSV/USD,77.687,78.69,75.0,75.393,445229.30156207026,5905.44614967
1647043200000,2022-03-12 00:00:00,BSV/USD,77.782,79.516,77.782,77.823,153130.5073580424,1967.67674541
1646956800000,2022-03-11 00:00:00,BSV/USD,78.664,79.819,77.22,77.849,1151530.3566275935,14791.84519554
1646870400000,2022-03-10 00:00:00,BSV/USD,83.302,83.878,78.211,78.54,414324.45962906466,5275.33052749
1646784000000,2022-03-09 00:00:00,BSV/USD,78.715,84.046,78.474,83.311,831581.757852023,9981.65617808
