https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KAN
1659398400000,2022-08-02 00:00:00,KAN/USD,0.0014189,0.00143,0.001391,0.0014009,1517.8537083747335,1083484.6943927
1659312000000,2022-08-01 00:00:00,KAN/USD,0.001445,0.001452,0.0014154,0.0014299,2102.906637137832,1470666.92575553
1659225600000,2022-07-31 00:00:00,KAN/USD,0.0013809,0.001445,0.0013689,0.001445,4095.597400701284,2834323.46069293
1659139200000,2022-07-30 00:00:00,KAN/USD,0.001385,0.0013959,0.0013689,0.0013809,1968.1348064607055,1425255.12814882
1659052800000,2022-07-29 00:00:00,KAN/USD,0.0013891,0.0013959,0.0013823,0.001395,1554.6457689068502,1114441.41140276
1658966400000,2022-07-28 00:00:00,KAN/USD,0.0013435,0.001396,0.001343,0.0013891,2699.9464373978744,1943665.99769482
1658880000000,2022-07-27 00:00:00,KAN/USD,0.001294,0.001347,0.0012831,0.001347,2320.6844636979454,1722854.09331696
1658793600000,2022-07-26 00:00:00,KAN/USD,0.0013331,0.0013331,0.0012845,0.001294,3532.7511146864135,2730101.32510542
1658707200000,2022-07-25 00:00:00,KAN/USD,0.0013879,0.001389,0.001333,0.001333,4146.777132742261,3110860.56469787
1658620800000,2022-07-24 00:00:00,KAN/USD,0.0013549,0.001389,0.001345,0.0013879,1597.079498319252,1150716.54897273
1658534400000,2022-07-23 00:00:00,KAN/USD,0.00137,0.00137,0.001347,0.0013489,1384.7225006500903,1026556.82456082
1658448000000,2022-07-22 00:00:00,KAN/USD,0.0013699,0.001389,0.001358,0.0013799,2643.320157722508,1915588.20039315
1658361600000,2022-07-21 00:00:00,KAN/USD,0.0013759,0.0013759,0.001346,0.0013591,1412.702267032261,1039439.53133122
1658275200000,2022-07-20 00:00:00,KAN/USD,0.0013759,0.001376,0.00136,0.0013759,1543.413346141672,1121748.19837319
1658188800000,2022-07-19 00:00:00,KAN/USD,0.001354,0.001376,0.001354,0.0013759,1509.7393469913468,1097274.03662428
1658102400000,2022-07-18 00:00:00,KAN/USD,0.0012659,0.001359,0.0012571,0.001359,4374.912943364268,3219214.82219593
1658016000000,2022-07-17 00:00:00,KAN/USD,0.001265,0.001275,0.001257,0.0012659,937.9765247211748,740956.2561981
1657929600000,2022-07-16 00:00:00,KAN/USD,0.0012161,0.001272,0.001202,0.001265,5966.916317530882,4716929.89528133
1657843200000,2022-07-15 00:00:00,KAN/USD,0.0011839,0.001233,0.0011746,0.0012219,3140.4577777521645,2570143.03768898
1657756800000,2022-07-14 00:00:00,KAN/USD,0.0011409,0.001184,0.001133,0.0011839,2174.137023410387,1836419.48087709
1657670400000,2022-07-13 00:00:00,KAN/USD,0.001137,0.001143,0.0011201,0.0011409,1626.8195230155684,1425908.95171844
1657584000000,2022-07-12 00:00:00,KAN/USD,0.0011545,0.0011579,0.001137,0.0011371,797.7744125222387,701586.8547377
1657497600000,2022-07-11 00:00:00,KAN/USD,0.001176,0.0011789,0.0011481,0.0011547,2290.265738613548,1983429.23583056
1657411200000,2022-07-10 00:00:00,KAN/USD,0.0011829,0.001185,0.001169,0.0011761,744.4645260458208,632994.24032465
1657324800000,2022-07-09 00:00:00,KAN/USD,0.001173,0.001183,0.001167,0.001183,844.4007124427811,713779.13139711
1657238400000,2022-07-08 00:00:00,KAN/USD,0.001171,0.00118,0.0011641,0.0011731,1233.5178514203772,1051502.72902598
1657152000000,2022-07-07 00:00:00,KAN/USD,0.001151,0.001171,0.001147,0.0011641,1323.8489670862004,1137229.59117447
1657065600000,2022-07-06 00:00:00,KAN/USD,0.0011509,0.001157,0.001138,0.001151,597.1951823290887,518848.98551615
1656979200000,2022-07-05 00:00:00,KAN/USD,0.0011419,0.001155,0.0011351,0.0011509,1476.1526277189669,1282607.20107652
1656892800000,2022-07-04 00:00:00,KAN/USD,0.001124,0.001142,0.0011148,0.001141,874.305331086842,766262.34100512
1656806400000,2022-07-03 00:00:00,KAN/USD,0.0011239,0.001124,0.001114,0.001124,78.69601492433168,70014.24815332
1656720000000,2022-07-02 00:00:00,KAN/USD,0.0011241,0.001131,0.001114,0.001124,867.2085538893366,771537.85933215
1656633600000,2022-07-01 00:00:00,KAN/USD,0.0011191,0.001129,0.0011191,0.0011241,66.34801790363076,59023.23450194
1656547200000,2022-06-30 00:00:00,KAN/USD,0.001138,0.001145,0.00111,0.0011191,2200.2272305701667,1966068.47517663
1656460800000,2022-06-29 00:00:00,KAN/USD,0.0011571,0.0011571,0.001132,0.001138,1311.2452081778029,1152236.5625464
1656374400000,2022-06-28 00:00:00,KAN/USD,0.0011611,0.0011729,0.001157,0.001157,1090.0561400083332,942140.13829588
1656288000000,2022-06-27 00:00:00,KAN/USD,0.0011681,0.0011741,0.0011581,0.0011611,964.9050194818201,831026.62947362
1656201600000,2022-06-26 00:00:00,KAN/USD,0.0011951,0.001229,0.001166,0.0011729,4810.146754625867,4101071.4934145003
1656115200000,2022-06-25 00:00:00,KAN/USD,0.0011939,0.001202,0.0011831,0.0011951,1294.2485028183582,1082962.51595545
