https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MLN
1656201600000,2022-06-26 00:00:00,MLN/USD,24.743,27.994,24.639,24.865,1652.1846511075,66.4461955
1656115200000,2022-06-25 00:00:00,MLN/USD,24.645,27.556,24.13,24.836,1736.73247559168,69.92802688
1656028800000,2022-06-24 00:00:00,MLN/USD,23.936,25.42,23.0,24.656,1526.40673345184,61.90812514
1655942400000,2022-06-23 00:00:00,MLN/USD,23.599,24.499,22.998,23.948,1335.65297074656,55.77304872
1655856000000,2022-06-22 00:00:00,MLN/USD,23.625,24.867,23.106,23.68,1293.1103843071999,54.60770204
1655769600000,2022-06-21 00:00:00,MLN/USD,22.24,29.0,21.242,23.516,24517.171089836316,1042.57403852
1655683200000,2022-06-20 00:00:00,MLN/USD,19.447,35.831,18.712,22.369,73301.5091239666,3276.92382869
1655596800000,2022-06-19 00:00:00,MLN/USD,18.751,19.946,17.824,19.34,4036.4107498341996,208.70789813
1655510400000,2022-06-18 00:00:00,MLN/USD,20.525,20.65,17.399,18.696,32742.27460652088,1751.29838503
1655424000000,2022-06-17 00:00:00,MLN/USD,20.202,20.768,19.816,20.495,954.6992557556001,46.58205688
1655337600000,2022-06-16 00:00:00,MLN/USD,23.439,26.779,19.743,20.261,33697.796769450084,1663.18527069
1655251200000,2022-06-15 00:00:00,MLN/USD,22.271,23.355,20.0,23.347,12765.90493019767,546.78994861
1655164800000,2022-06-14 00:00:00,MLN/USD,21.979,23.518,20.975,22.419,2687.58099968157,119.87961103
1655078400000,2022-06-13 00:00:00,MLN/USD,23.539,23.557,20.223,21.836,3896.4692447419197,178.44244572
1654992000000,2022-06-12 00:00:00,MLN/USD,25.774,25.866,23.046,23.536,6739.224816152961,286.33688036
1654905600000,2022-06-11 00:00:00,MLN/USD,26.752,27.145,25.252,25.747,3324.1994779880406,129.11016732000002
1654819200000,2022-06-10 00:00:00,MLN/USD,27.106,27.464,26.206,26.736,3218.6664162552,120.38698445
1654732800000,2022-06-09 00:00:00,MLN/USD,26.846,27.756,26.525,27.155,1669.61185248545,61.48450939
1654646400000,2022-06-08 00:00:00,MLN/USD,27.084,38.759,26.3,26.866,27587.8921361526,1026.8701011
1654560000000,2022-06-07 00:00:00,MLN/USD,27.409,27.919,26.527,26.994,1197.98498042256,44.37967624
1654473600000,2022-06-06 00:00:00,MLN/USD,26.969,28.21,26.896,27.44,936.3708213608,34.12430107
1654387200000,2022-06-05 00:00:00,MLN/USD,27.751,27.751,26.635,26.883,987.35823687528,36.72797816
1654300800000,2022-06-04 00:00:00,MLN/USD,26.617,31.703,26.068,27.572,5541.367125463999,200.978062
1654214400000,2022-06-03 00:00:00,MLN/USD,27.801,29.623,26.262,26.844,4527.568633143121,168.66221998
1654128000000,2022-06-02 00:00:00,MLN/USD,26.825,27.891,26.375,27.838,389.2845500827,13.983926649999999
1654041600000,2022-06-01 00:00:00,MLN/USD,28.547,28.757,26.086,26.844,969.6275041476001,36.1208279
1653955200000,2022-05-31 00:00:00,MLN/USD,28.952,29.822,28.347,28.525,913.0986171002498,32.01046861
1653868800000,2022-05-30 00:00:00,MLN/USD,27.346,29.37,26.988,28.94,954.675328941,32.98809015
1653782400000,2022-05-29 00:00:00,MLN/USD,27.139,32.501,26.918,27.458,3089.40496325484,112.51383798
1653696000000,2022-05-28 00:00:00,MLN/USD,26.66,27.953,26.514,27.108,501.20263990655997,18.48910432
1653609600000,2022-05-27 00:00:00,MLN/USD,27.151,27.506,25.818,26.639,2426.2433182215,91.0786185
1653523200000,2022-05-26 00:00:00,MLN/USD,29.167,29.535,26.085,27.139,4220.71448385559,155.52210781
1653436800000,2022-05-25 00:00:00,MLN/USD,29.803,30.818,28.862,29.04,2127.7469548895997,73.26952324
1653350400000,2022-05-24 00:00:00,MLN/USD,30.033,30.232,28.573,29.769,427.99564198475997,14.37722604
1653264000000,2022-05-23 00:00:00,MLN/USD,30.895,31.591,29.948,30.042,1427.83987447062,47.52812311
