https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PAX
1655942400000,2022-06-23 00:00:00,PAX/USD,0.9991,0.9991,0.9986,0.9986,3095.6600000000003,3100.0
1655856000000,2022-06-22 00:00:00,PAX/USD,1.0004,1.0004,0.99921,0.99921,7.0241322383049,7.02968569
1655769600000,2022-06-21 00:00:00,PAX/USD,1.0004,1.0104,1.0004,1.0104,35.041029671496,34.68035399
1655596800000,2022-06-19 00:00:00,PAX/USD,1.0011,1.0011,1.0008,1.001,4546.12559058658,4541.58400658
1655510400000,2022-06-18 00:00:00,PAX/USD,1.0006,1.0006,1.0006,1.0006,1832.9195367066638,1831.82044444
1655424000000,2022-06-17 00:00:00,PAX/USD,1.0012,1.0019,1.0006,1.0006,14418.854393701244,14410.20826874
1655164800000,2022-06-14 00:00:00,PAX/USD,1.0014,1.0014,1.0014,1.0014,2.54207462898,2.5385207
1655078400000,2022-06-13 00:00:00,PAX/USD,1.0142,1.0143,1.0014,1.0015,114163.24063118923,113992.25225281001
1654646400000,2022-06-08 00:00:00,PAX/USD,1.0009,1.0025,1.0009,1.0009,16.045128640909,16.03070101
1654300800000,2022-06-04 00:00:00,PAX/USD,1.0016,1.0017,1.0015,1.0015,23284.875,23250.0
1654041600000,2022-06-01 00:00:00,PAX/USD,1.0011,1.0011,1.0011,1.0011,8.411515169937001,8.40227267
1653955200000,2022-05-31 00:00:00,PAX/USD,1.0014,1.0014,1.0014,1.0014,8.418076160262002,8.40630733
1653782400000,2022-05-29 00:00:00,PAX/USD,1.0008,1.0008,1.0008,1.0008,2.7798726204,2.7776505
1653696000000,2022-05-28 00:00:00,PAX/USD,1.0014,1.0014,1.0014,1.0014,9.968557449372,9.95462098
1653609600000,2022-05-27 00:00:00,PAX/USD,1.0017,1.0017,1.0006,1.0006,18.914014333637997,18.90267273
1653523200000,2022-05-26 00:00:00,PAX/USD,1.0006,1.0018,1.0006,1.0018,38.894202383498,38.82431861
1653350400000,2022-05-24 00:00:00,PAX/USD,1.0015,1.0015,1.0006,1.0006,157.20354858981202,157.10928302000002
1653264000000,2022-05-23 00:00:00,PAX/USD,1.0006,1.0015,1.0006,1.0015,42.578149597045005,42.51437803
1653177600000,2022-05-22 00:00:00,PAX/USD,1.002,1.002,1.0006,1.0008,151.044432634944,150.92369368
1653091200000,2022-05-21 00:00:00,PAX/USD,1.0006,1.0006,1.0006,1.0006,41.32071045973999,41.2959329
1653004800000,2022-05-20 00:00:00,PAX/USD,1.0012,1.0012,1.0012,1.0012,13.391674278236001,13.37562353
1652918400000,2022-05-19 00:00:00,PAX/USD,1.0006,1.0019,1.0006,1.0019,37.841471036321,37.76970859
1652832000000,2022-05-18 00:00:00,PAX/USD,1.0018,1.0018,1.0006,1.0006,82.610611054646,82.56107441
1652745600000,2022-05-17 00:00:00,PAX/USD,1.0016,1.0016,1.0006,1.0006,80.092433664212,80.04440702
1652659200000,2022-05-16 00:00:00,PAX/USD,1.0029,1.0029,1.0006,1.0006,412.669327634706,412.42187451
1652572800000,2022-05-15 00:00:00,PAX/USD,1.0013,1.0029,1.0007,1.0007,159.65917959744502,159.54749635000002
1652486400000,2022-05-14 00:00:00,PAX/USD,1.0034,1.0034,1.0029,1.0029,58.208598526958994,58.04028171
1652400000000,2022-05-13 00:00:00,PAX/USD,1.0042,1.0052,1.0016,1.0021,46992.35347793902,46893.87633763
1652313600000,2022-05-12 00:00:00,PAX/USD,1.0042,1.0499,1.0007,1.0035,222517.14523539235,221741.05155495
1652227200000,2022-05-11 00:00:00,PAX/USD,1.0009,1.003,1.0005,1.0017,102794.3649307793,102619.91108194
1652140800000,2022-05-10 00:00:00,PAX/USD,1.0008,1.0011,1.0004,1.0007,3430.0496720317665,3427.65031681
1652054400000,2022-05-09 00:00:00,PAX/USD,1.0011,1.0011,1.001,1.001,15205.028631532738,15189.83879274
1651968000000,2022-05-08 00:00:00,PAX/USD,1.001,1.0011,1.0009,1.001,330.7097819024999,330.37940249999997
1651881600000,2022-05-07 00:00:00,PAX/USD,1.001,1.001,1.0009,1.001,844.9253293981499,844.08124815
1651795200000,2022-05-06 00:00:00,PAX/USD,1.0008,1.0009,1.0007,1.0009,708.760803062728,708.12349192
1651708800000,2022-05-05 00:00:00,PAX/USD,1.0007,1.001,1.0006,1.0006,322.60101424181994,322.40756969999995
1651622400000,2022-05-04 00:00:00,PAX/USD,1.0007,1.0012,1.0007,1.0012,646.9707409378841,646.1953065700001
1651536000000,2022-05-03 00:00:00,PAX/USD,1.0006,1.0009,1.0006,1.0008,8878.327665274583,8871.23068073
1651449600000,2022-05-02 00:00:00,PAX/USD,1.0007,1.0008,1.0007,1.0008,12815.961764262405,12805.717190509999
1651363200000,2022-05-01 00:00:00,PAX/USD,1.0009,1.0009,1.0008,1.0008,2682.9757318535994,2680.8310669999996
1651104000000,2022-04-28 00:00:00,PAX/USD,1.0001,1.0001,1.0001,1.0001,15718.600402809994,15717.02869994
1651017600000,2022-04-27 00:00:00,PAX/USD,1.0007,1.0007,1.0007,1.0007,4.088596015199999,4.085736
1650844800000,2022-04-25 00:00:00,PAX/USD,1.0006,1.0009,1.0006,1.0009,196.61462329632496,196.43782925
1650585600000,2022-04-22 00:00:00,PAX/USD,1.0004,1.0005,1.0003,1.0004,3206.5725521744002,3205.290436
1650499200000,2022-04-21 00:00:00,PAX/USD,1.0005,1.0005,1.0005,1.0005,542.17095,541.9
1650412800000,2022-04-20 00:00:00,PAX/USD,1.0005,1.0005,1.0004,1.0005,1482.8762948336098,1482.13522722
1650326400000,2022-04-19 00:00:00,PAX/USD,1.0002,1.0002,1.0002,1.0002,59.2008378,59.189
1650240000000,2022-04-18 00:00:00,PAX/USD,1.0008,1.0008,1.0008,1.0008,5.775188877935999,5.77057242
1649030400000,2022-04-04 00:00:00,PAX/USD,1.0002,1.0002,1.0,1.0,2764.1766139399997,2764.1766139399997
1648944000000,2022-04-03 00:00:00,PAX/USD,1.001,1.001,1.001,1.001,59.305246,59.246
1648857600000,2022-04-02 00:00:00,PAX/USD,1.001,1.001,1.001,1.001,3.5635099199699996,3.55994997
1648684800000,2022-03-31 00:00:00,PAX/USD,1.0012,1.0012,1.0012,1.0012,4.0437378293920005,4.03889116
1648598400000,2022-03-30 00:00:00,PAX/USD,1.0001,1.0002,1.0001,1.0002,3847.334313,3846.565
1648512000000,2022-03-29 00:00:00,PAX/USD,1.0003,1.0011,1.0001,1.0001,2956.2888043205003,2955.993205
1648425600000,2022-03-28 00:00:00,PAX/USD,0.99977,1.0012,0.99968,1.001,1065.44137171472,1064.37699472
1648339200000,2022-03-27 00:00:00,PAX/USD,0.99998,1.0012,0.99998,1.0012,2835.746169793564,2832.34735297
1648252800000,2022-03-26 00:00:00,PAX/USD,1.0001,1.0001,0.99991,0.99991,6667.776063930399,6668.37621779
1648166400000,2022-03-25 00:00:00,PAX/USD,0.99992,0.99992,0.99988,0.99988,5192.750706270664,5193.37391114
1648080000000,2022-03-24 00:00:00,PAX/USD,1.0,1.0001,0.9998,1.0001,7958.414865330342,7957.61910342
1647993600000,2022-03-23 00:00:00,PAX/USD,1.0001,1.0001,1.0001,1.0001,3.654485131972,3.65411972
1647907200000,2022-03-22 00:00:00,PAX/USD,1.0001,1.0001,0.99973,0.99999,3458.0560857933333,3458.0906667
1647820800000,2022-03-21 00:00:00,PAX/USD,1.0002,1.0017,0.99991,1.0017,6178.861518667173,6168.37528069
1647734400000,2022-03-20 00:00:00,PAX/USD,1.0001,1.0002,1.0001,1.0001,11269.430627349697,11268.30379697
1647648000000,2022-03-19 00:00:00,PAX/USD,1.0,1.0,1.0,1.0,9.29298313,9.29298313
1647561600000,2022-03-18 00:00:00,PAX/USD,1.0002,1.0002,1.0002,1.0002,15938.927147999999,15935.74
1647475200000,2022-03-17 00:00:00,PAX/USD,1.0017,1.0017,1.0017,1.0017,9.374055739713,9.35814689
1647216000000,2022-03-14 00:00:00,PAX/USD,1.0009,1.0009,1.0008,1.0008,2217.8291630544,2216.056318
1647129600000,2022-03-13 00:00:00,PAX/USD,1.0005,1.0005,1.0005,1.0005,2.001,2.0
1646956800000,2022-03-11 00:00:00,PAX/USD,1.0002,1.0002,1.0002,1.0002,2.0004,2.0
1646870400000,2022-03-10 00:00:00,PAX/USD,1.0008,1.0009,1.0008,1.0008,10.811948684831998,10.803306039999999
1646784000000,2022-03-09 00:00:00,PAX/USD,1.0007,1.0007,1.0007,1.0007,3.6600061121299996,3.6574459
1646697600000,2022-03-08 00:00:00,PAX/USD,1.0006,1.0007,1.0005,1.0007,300.86331013719797,300.65285314
1646524800000,2022-03-06 00:00:00,PAX/USD,1.0007,1.0008,1.0007,1.0008,304.202781200808,303.95961351
1646438400000,2022-03-05 00:00:00,PAX/USD,1.0007,1.0007,1.0007,1.0007,3.9647640934899995,3.9619907
