https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XCH
1648684800000,2022-03-31 00:00:00,XCH/USD,1.0834,1.0899,1.0806,1.0836,8885.197576683791,8199.70245172
1648598400000,2022-03-30 00:00:00,XCH/USD,1.0784,1.087,1.0741,1.0835,6262.68054872053,5780.04665318
1648512000000,2022-03-29 00:00:00,XCH/USD,1.0713,1.0807,1.0672,1.0741,29270.38541173297,27251.08035726
1648425600000,2022-03-28 00:00:00,XCH/USD,1.073,1.0847,1.07,1.0712,39116.54182194179,36516.56256716
1648339200000,2022-03-27 00:00:00,XCH/USD,1.0755,1.0845,1.0725,1.0733,32885.04629501348,30639.19341751
1648252800000,2022-03-26 00:00:00,XCH/USD,1.0761,1.0767,1.073,1.0762,3554.459913515958,3302.78750559
1648166400000,2022-03-25 00:00:00,XCH/USD,1.0761,1.0813,1.0732,1.0762,23868.091471350454,22178.11881746
1648080000000,2022-03-24 00:00:00,XCH/USD,1.0744,1.0766,1.0662,1.0759,23691.616933435504,22020.277845
1647993600000,2022-03-23 00:00:00,XCH/USD,1.0714,1.0755,1.0682,1.0747,2171.935068682104,2020.96870632
1647907200000,2022-03-22 00:00:00,XCH/USD,1.0708,1.074,1.066,1.0701,31026.792290765898,28994.29239395
1647820800000,2022-03-21 00:00:00,XCH/USD,1.0718,1.0789,1.0692,1.0707,17576.968544251275,16416.33374825
1647734400000,2022-03-20 00:00:00,XCH/USD,1.0728,1.0732,1.0658,1.072,13598.49076089536,12685.15929188
1647648000000,2022-03-19 00:00:00,XCH/USD,1.0731,1.0733,1.0697,1.073,5452.59532873677,5081.63590749
1647561600000,2022-03-18 00:00:00,XCH/USD,1.0689,1.0802,1.0649,1.0733,42773.00441442125,39851.86286632
1647475200000,2022-03-17 00:00:00,XCH/USD,1.0624,1.0715,1.0608,1.0667,16196.169646762717,15183.434561510001
1647388800000,2022-03-16 00:00:00,XCH/USD,1.0626,1.0691,1.0485,1.061,57276.97758491045,53983.95625345
1647302400000,2022-03-15 00:00:00,XCH/USD,1.0652,1.0652,1.046,1.0484,13902.192358037979,13260.38950595
1647216000000,2022-03-14 00:00:00,XCH/USD,1.0676,1.0684,1.051,1.0652,2067.8090298509437,1941.24017072
1647129600000,2022-03-13 00:00:00,XCH/USD,1.0694,1.0711,1.0485,1.052,33833.690551259766,32161.30280538
1647043200000,2022-03-12 00:00:00,XCH/USD,1.0691,1.0716,1.0595,1.0625,3783.419776425625,3560.86567193
1646956800000,2022-03-11 00:00:00,XCH/USD,1.0756,1.0756,1.059,1.0663,19872.567710666644,18636.93867642
1646870400000,2022-03-10 00:00:00,XCH/USD,1.0789,1.0802,1.0467,1.0756,55491.660304403646,51591.35394608
1646784000000,2022-03-09 00:00:00,XCH/USD,1.0753,1.0795,1.0645,1.0788,52710.70137800894,48860.49441788
1646697600000,2022-03-08 00:00:00,XCH/USD,1.0794,1.0795,1.0517,1.0751,2679.8254043891325,2492.62896883
1646611200000,2022-03-07 00:00:00,XCH/USD,1.0825,1.0845,1.0442,1.0795,13719.006577401235,12708.66751033
1646524800000,2022-03-06 00:00:00,XCH/USD,1.0804,1.0835,1.0509,1.0826,4128.822134373762,3813.80208237
1646438400000,2022-03-05 00:00:00,XCH/USD,1.0769,1.0804,1.0405,1.0804,2096.578829880464,1940.55796916
1646352000000,2022-03-04 00:00:00,XCH/USD,1.0828,1.086,1.0395,1.077,60982.627348136724,56622.68091749
1646265600000,2022-03-03 00:00:00,XCH/USD,1.0859,1.0888,1.0669,1.0828,32943.896663914406,30424.72909486
1646179200000,2022-03-02 00:00:00,XCH/USD,1.0882,1.0906,1.0695,1.0862,3756.094312014176,3458.01354448
1646092800000,2022-03-01 00:00:00,XCH/USD,1.0862,1.0921,1.0652,1.0799,60183.62977753067,55730.74338136
1646006400000,2022-02-28 00:00:00,XCH/USD,1.05,1.0908,1.0238,1.0863,70007.21654257459,64445.56434003
1645920000000,2022-02-27 00:00:00,XCH/USD,1.0649,1.0801,1.035,1.05,37926.341096763,36120.324854059996
1645833600000,2022-02-26 00:00:00,XCH/USD,1.0796,1.08,1.0619,1.0799,2145.6794662794982,1986.92422102
1645747200000,2022-02-25 00:00:00,XCH/USD,1.0651,1.0797,0.99545,1.0796,34212.57243885583,31690.04486741
1645660800000,2022-02-24 00:00:00,XCH/USD,1.0774,1.0774,0.96609,1.0656,34438.54830353914,32318.45749206
1645574400000,2022-02-23 00:00:00,XCH/USD,1.065,1.0777,1.0454,1.0774,2167.109573529448,2011.42525852
1645488000000,2022-02-22 00:00:00,XCH/USD,1.0649,1.065,1.0392,1.065,2167.4438771139,2035.15857006
1645401600000,2022-02-21 00:00:00,XCH/USD,1.0599,1.065,1.0032,1.065,2311.25916143115,2170.19639571
1645315200000,2022-02-20 00:00:00,XCH/USD,1.0651,1.0788,0.99817,1.06,34884.4066188152,32909.81756492
1645228800000,2022-02-19 00:00:00,XCH/USD,1.0767,1.0835,1.0343,1.0652,25761.706682048232,24184.85418893
1645142400000,2022-02-18 00:00:00,XCH/USD,1.0595,1.083,1.0477,1.0495,27816.831114243065,26504.84146188
1645056000000,2022-02-17 00:00:00,XCH/USD,1.0825,1.083,1.0424,1.0595,55671.12255590724,52544.71218113
1644969600000,2022-02-16 00:00:00,XCH/USD,1.0798,1.0825,1.0714,1.0825,2339.016385788325,2160.75416701
1644883200000,2022-02-15 00:00:00,XCH/USD,1.0789,1.0834,1.0646,1.08,46125.5963203548,42708.88548181
1644796800000,2022-02-14 00:00:00,XCH/USD,1.0802,1.0804,1.0434,1.0789,13841.060220021262,12828.86293449
1644710400000,2022-02-13 00:00:00,XCH/USD,1.06,1.0803,1.045,1.0802,2931.439374553778,2713.79316289
1644624000000,2022-02-12 00:00:00,XCH/USD,1.079,1.0801,1.0419,1.06,27218.8494317886,25678.15984131
1644537600000,2022-02-11 00:00:00,XCH/USD,1.0634,1.0805,1.039,1.079,25888.57628123741,23993.11981579
1644451200000,2022-02-10 00:00:00,XCH/USD,1.081,1.0834,1.0633,1.0799,46227.60385572697,42807.30054239
1644364800000,2022-02-09 00:00:00,XCH/USD,1.0637,1.083,1.0634,1.0814,20577.483910412637,19028.55919217
1644278400000,2022-02-08 00:00:00,XCH/USD,1.082,1.0898,1.0609,1.0806,62517.52797277734,57854.4586089
